osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,tunnel,bridge
119996459,Gabriela Narutowicza,residential,False,True,137.465,"LINESTRING (20.4387109 52.0578913, 20.4386086 52.0579875, 20.4383437 52.0582364, 20.4377606 52.0587844, 20.4376101 52.0589258)",,,,
353420644,Bolesława Limanowskiego,residential,False,False,103.66499999999999,"LINESTRING (20.4387109 52.0578913, 20.4388745 52.0579582, 20.4395934 52.0582522, 20.439848 52.0583563, 20.4399734 52.0584076)",,,,
353420645,Gabriela Narutowicza,residential,False,False,116.964,"LINESTRING (20.4387109 52.0578913, 20.4388085 52.0578005, 20.4395912 52.0570727, 20.4396545 52.0570139)",,,,
579159499,Bolesława Limanowskiego,residential,False,True,66.53999999999999,"LINESTRING (20.4387109 52.0578913, 20.4385415 52.057823, 20.437897 52.0575632)",,,,
130353289,Polskiej Organizacji Wojskowej,residential,False,False,73.021,"LINESTRING (20.4447229 52.0517238, 20.444843 52.0517621, 20.445512 52.0519754, 20.4456709 52.0520261)",,,,
130353289,Polskiej Organizacji Wojskowej,residential,False,True,105.212,"LINESTRING (20.4447229 52.0517238, 20.4439502 52.051454, 20.4436742 52.051293, 20.4435591 52.0512397, 20.4434531 52.0511983)",,,,
"[579159469, 353420638]",1 Maja,tertiary,False,False,146.958,"LINESTRING (20.439533 52.0545824, 20.4394341 52.0546726, 20.4391904 52.0548948, 20.4383314 52.0556782)",3,50,,
"[579159470, 579159471]",1 Maja,tertiary,False,True,133.372,"LINESTRING (20.439533 52.0545824, 20.4396366 52.0544873, 20.4396722 52.0544547, 20.4399052 52.0542408, 20.4404585 52.0537404, 20.4405081 52.0536955, 20.4406249 52.0535885)","['2', '3']",50,,
579159483,Józefa Mireckiego,tertiary,False,False,108.296,"LINESTRING (20.439533 52.0545824, 20.4396773 52.0546403, 20.4397279 52.0546606, 20.4403752 52.0549201, 20.4408597 52.0551144)",2,,,
"[579159502, 579159503]",1 Maja,tertiary,False,True,43.803,"LINESTRING (20.4377625 52.0561995, 20.4379714 52.0560081, 20.4381195 52.0558724)",3,50,,
