osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,junction,tunnel,access
112324335,2,Wrocławska,tertiary,False,False,52.946,"LINESTRING (17.3847029 50.7018108, 17.3849426 50.7013595)",,,,
446594864,,Wrocławska,residential,False,False,84.69800000000001,"LINESTRING (17.3847029 50.7018108, 17.3845741 50.701791, 17.3835263 50.7016533)",,,,
112324284,1,Szpitalna,residential,False,True,132.493,"LINESTRING (17.3850059 50.7003699, 17.3850827 50.7003615, 17.3851411 50.7003552, 17.3852963 50.7003406, 17.3865118 50.7003067, 17.3866906 50.7002843, 17.386869 50.7002463)",,,,
112324337,1,Juliusza Słowackiego,tertiary,True,False,129.129,"LINESTRING (17.3850059 50.7003699, 17.3848987 50.700374, 17.3842924 50.7003532, 17.383735 50.7003341, 17.3835768 50.700319, 17.3834317 50.7002944, 17.3833481 50.7002773, 17.3831989 50.7002363)",,,,
"[1189014162, 1019108188]",2,Wrocławska,tertiary,False,True,110.254,"LINESTRING (17.3850059 50.7003699, 17.3850067 50.7004484, 17.38501 50.7007427, 17.3850053 50.7009083, 17.3849649 50.7012562, 17.3849426 50.7013595)",,,,
112324268,,Klubowa,residential,False,False,370.17,"LINESTRING (17.3814725 50.6993298, 17.381332 50.6993596, 17.3807665 50.6993821, 17.3795991 50.6993969, 17.3795231 50.6994193, 17.3794773 50.6994555, 17.3794403 50.6996356, 17.3793401 50.700314, 17.3792973 50.7003957, 17.3790674 50.7006682, 17.3790069 50.70074, 17.3787879 50.7008379, 17.3784357 50.700913, 17.3781959 50.7009702, 17.3780346 50.7010512)",,,,
112324337,1,Juliusza Słowackiego,tertiary,True,False,76.892,"LINESTRING (17.3814725 50.6993298, 17.3813881 50.6992429, 17.3813197 50.6991402, 17.381177 50.6987722, 17.3811348 50.6986768)",,,,
"[112324337, 1155225069]","['1', '2']",Juliusza Słowackiego,tertiary,True,False,83.08800000000001,"LINESTRING (17.3811348 50.6986768, 17.3810457 50.6984512, 17.3808913 50.6980602, 17.3808874 50.6980272, 17.380878 50.6979489)",,,,
"[112324267, 1189014172, 1189014173]","['1', '2']",Kasztanowa,tertiary,True,False,161.106,"LINESTRING (17.3828154 50.6963159, 17.3829835 50.6962982, 17.3830566 50.6962952, 17.3837068 50.6962677, 17.3842033 50.696245, 17.3843229 50.6962401, 17.3844274 50.6962358, 17.3846203 50.6962387, 17.3848304 50.696247, 17.3849358 50.6962558, 17.3850166 50.6962563, 17.3850948 50.6962489)",,,,
112324267,2,Kasztanowa,tertiary,True,False,171.32999999999998,"LINESTRING (17.380878 50.6979489, 17.3808683 50.6978629, 17.3808907 50.6977529, 17.3810569 50.6973897, 17.3811107 50.6973083, 17.381193 50.6972147, 17.3812617 50.6971448, 17.3813108 50.6970956, 17.3817115 50.6967453, 17.3818123 50.6966733, 17.3819293 50.696605)",,,,
