osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,access,bridge,width,junction
"[126503523, 305131741]",False,Szantowa,residential,True,212.245,"LINESTRING (21.7719711 54.0330365, 21.7720021 54.0330904, 21.7720181 54.0331203, 21.7720413 54.0331738, 21.7721018 54.0333137, 21.7721669 54.0334641, 21.7722289 54.0336072, 21.7725474 54.034337, 21.7727176 54.0343092, 21.7729297 54.0342682, 21.7731787 54.0342076, 21.7732818 54.0341698, 21.7734317 54.034122)",,,,,,
431549933,False,Kolejowa,residential,False,92.36500000000001,"LINESTRING (21.7719711 54.0330365, 21.7712854 54.0331835, 21.7706422 54.0333208)",2,50,,,,
126503525,False,Żeglarska,residential,True,259.078,"LINESTRING (21.7706422 54.0333208, 21.7706787 54.0333855, 21.7706981 54.0334154, 21.770816 54.0336234, 21.7712079 54.0344537, 21.7712251 54.0345047, 21.7712068 54.0345884, 21.7711192 54.0346504, 21.7710239 54.0346921, 21.7709279 54.0347079, 21.7695899 54.0348764)",,,,,,
"[431549933, 839903678]",False,Kolejowa,residential,False,224.928,"LINESTRING (21.7706422 54.0333208, 21.7704026 54.0333696, 21.7701621 54.0334185, 21.7696993 54.0335126, 21.7693117 54.0335967, 21.7688691 54.0336927, 21.7681471 54.0338494, 21.7678671 54.0339101, 21.7677125 54.0339468, 21.7675452 54.0339864, 21.7674064 54.034013)",2,50,,,,
431549933,False,Kolejowa,residential,True,92.36500000000001,"LINESTRING (21.7706422 54.0333208, 21.7712854 54.0331835, 21.7719711 54.0330365)",2,50,,,,
126503530,True,Żeglarska,residential,False,56.538,"LINESTRING (21.7691212 54.0351682, 21.7690937 54.0350076, 21.7691019 54.0349746, 21.7691357 54.034941, 21.7692267 54.0349235, 21.7695899 54.0348764)",1,,,,,
"[126503522, 1198265484]",False,Żeglarska,residential,False,88.54499999999999,"LINESTRING (21.7691212 54.0351682, 21.7681884 54.0352775, 21.7679279 54.0353119, 21.7677938 54.0353303)",2,,,,,
177692915,False,Kolejowa,residential,False,69.174,"LINESTRING (21.7648274 54.0342187, 21.7638024 54.0343756)",2,50,,,,
177692915,False,Kolejowa,residential,True,88.124,"LINESTRING (21.7648274 54.0342187, 21.7652182 54.0341666, 21.7659163 54.0341263, 21.7661629 54.0341161)",2,50,,,,
1124011919,False,Wincentego Witosa,living_street,True,53.596000000000004,"LINESTRING (21.7648274 54.0342187, 21.7648464 54.034263, 21.7649576 54.0344837, 21.7650391 54.0346389, 21.765049 54.0346617, 21.7650574 54.0346813)",,,,,,
126503525,False,Żeglarska,residential,False,259.078,"LINESTRING (21.7695899 54.0348764, 21.7709279 54.0347079, 21.7710239 54.0346921, 21.7711192 54.0346504, 21.7712068 54.0345884, 21.7712251 54.0345047, 21.7712079 54.0344537, 21.770816 54.0336234, 21.7706981 54.0334154, 21.7706787 54.0333855, 21.7706422 54.0333208)",,,,,,
126503528,True,Żeglarska,residential,False,54.473,"LINESTRING (21.7695899 54.0348764, 21.7695426 54.0349056, 21.7695128 54.0349261, 21.7694997 54.0349565, 21.7695219 54.0350453, 21.7695219 54.0350847, 21.7695061 54.0351117, 21.7694643 54.0351232, 21.7694005 54.0351313, 21.7691212 54.0351682)",1,,,,,
126503529,True,Wincentego Witosa,living_street,False,134.24599999999998,"LINESTRING (21.7666318 54.0351454, 21.7664853 54.0351693, 21.7664446 54.0351759, 21.7663744 54.0351771, 21.7660204 54.0351639, 21.7656818 54.0351427, 21.7654917 54.0351174, 21.7653566 54.0350778, 21.7652582 54.0350111, 21.7651764 54.0349229, 21.765132 54.0348541, 21.7650574 54.0346813)",,,,,,
173010839,False,Unii Europejskiej,residential,False,118.486,"LINESTRING (21.7666318 54.0351454, 21.7666083 54.0350828, 21.7662093 54.0342149, 21.7661629 54.0341161)",2,50,,,,
173010839,False,Unii Europejskiej,residential,True,77.434,"LINESTRING (21.7666318 54.0351454, 21.7666761 54.0352355, 21.7668255 54.0355724, 21.7668804 54.0356724, 21.7669432 54.0357546, 21.7669864 54.0358082)",2,50,,,,
173009883,False,Owsiana,residential,True,196.17200000000003,"LINESTRING (21.7633305 54.0362158, 21.7633208 54.0361518, 21.7632839 54.0359081, 21.7632452 54.0357341, 21.7631658 54.0353764, 21.7630132 54.0346815, 21.7629923 54.0345671, 21.762968 54.0344647)",,,,,,
935721879,False,Olsztyńska,tertiary,False,134.555,"LINESTRING (21.7633305 54.0362158, 21.7627821 54.0362192, 21.762121 54.036199, 21.7619839 54.0361897, 21.7612761 54.036144)",2,50,,,,
935721879,False,Olsztyńska,tertiary,True,84.633,"LINESTRING (21.7633305 54.0362158, 21.7644114 54.0361915, 21.7646257 54.0361893)",2,50,,,,
220872221,True,Stanisława Konarskiego,residential,False,117.371,"LINESTRING (21.7672226 54.0382839, 21.7672293 54.0380391, 21.7672321 54.0378122, 21.7672048 54.0376314, 21.7672023 54.0376091, 21.7671718 54.0373351, 21.767155 54.0372302)",,50,,,,
220872224,False,Stanisława Konarskiego,residential,True,47.704,"LINESTRING (21.7672226 54.0382839, 21.7672089 54.0383789, 21.7671696 54.0386817, 21.7671656 54.0387116)",,50,,,,
1085534438,False,Adama Mickiewicza,residential,True,105.95400000000001,"LINESTRING (21.7672226 54.0382839, 21.7673217 54.0382742, 21.7681269 54.038192, 21.7685736 54.0381482, 21.7686965 54.0381362, 21.7688219 54.038123)",,,,,,
220872222,False,3 Maja,residential,True,56.156,"LINESTRING (21.7679218 54.0370017, 21.7677494 54.0370546, 21.7672446 54.0372015, 21.767155 54.0372302)",,50,,,,
393028871,False,1 Maja,tertiary,False,19.579,"LINESTRING (21.7679218 54.0370017, 21.7678308 54.0368832, 21.7677985 54.0368412)",3,50,,,,
"[1085534440, 1054399475]",False,1 Maja,tertiary,True,137.864,"LINESTRING (21.7679218 54.0370017, 21.7679373 54.0370202, 21.7682028 54.0373372, 21.7682159 54.0373522, 21.7682519 54.0373934, 21.7687593 54.0380347, 21.7688219 54.038123)",2,50,,,,
935721879,False,Olsztyńska,tertiary,False,17.899,"LINESTRING (21.7612761 54.036144, 21.7610042 54.0361237)",2,50,,,,
173010849,True,Nadbrzeżna,living_street,False,205.934,"LINESTRING (21.7612761 54.036144, 21.7612878 54.0360641, 21.761293 54.0360284, 21.7613143 54.0359247, 21.7613276 54.0359125, 21.7614248 54.0358237, 21.7615947 54.0356711, 21.762093 54.0352233, 21.7623107 54.0350277, 21.762372 54.0349551, 21.7624167 54.0348846, 21.7624624 54.034787, 21.7625144 54.0346757, 21.7625196 54.0346697, 21.7625772 54.034492)",,20,,,,
935721879,False,Olsztyńska,tertiary,True,134.555,"LINESTRING (21.7612761 54.036144, 21.7619839 54.0361897, 21.762121 54.036199, 21.7627821 54.0362192, 21.7633305 54.0362158)",2,50,,,,
1054399475,False,1 Maja,tertiary,False,44.342,"LINESTRING (21.7691086 54.0384844, 21.7688852 54.0382107, 21.7688219 54.038123)",2,50,,,,
1054399475,False,1 Maja,tertiary,True,63.021,"LINESTRING (21.7691086 54.0384844, 21.7694579 54.0388465, 21.7695841 54.0389776)",2,50,,,,
839903678,False,Kolejowa,residential,True,4.745,"LINESTRING (21.7673373 54.0340262, 21.7674064 54.034013)",2,50,,,,
1161466798,False,Kolejowa,residential,False,77.382,"LINESTRING (21.7673373 54.0340262, 21.7672229 54.0340416, 21.7671294 54.0340486, 21.7668419 54.0340687, 21.7661629 54.0341161)",2,50,,,,
173010839,False,Unii Europejskiej,residential,True,118.486,"LINESTRING (21.7661629 54.0341161, 21.7662093 54.0342149, 21.7666083 54.0350828, 21.7666318 54.0351454)",2,50,,,,
177692915,False,Kolejowa,residential,False,88.124,"LINESTRING (21.7661629 54.0341161, 21.7659163 54.0341263, 21.7652182 54.0341666, 21.7648274 54.0342187)",2,50,,,,
1161466798,False,Kolejowa,residential,True,77.382,"LINESTRING (21.7661629 54.0341161, 21.7668419 54.0340687, 21.7671294 54.0340486, 21.7672229 54.0340416, 21.7673373 54.0340262)",2,50,,,,
177692915,False,Kolejowa,residential,True,25.718000000000004,"LINESTRING (21.7625772 54.034492, 21.7626831 54.0344882, 21.7627528 54.0344818, 21.762968 54.0344647)",2,50,,,,
"[431553929, 834604459, 1193996560, 1193996561, 177692917, 981612790]",False,Nadbrzeżna,living_street,"[False, True]",129.09300000000002,"LINESTRING (21.7625772 54.034492, 21.762492 54.0344603, 21.7624234 54.0343967, 21.7624075 54.0343378, 21.7624814 54.0340345, 21.7624983 54.0339715, 21.7625752 54.0336849, 21.7625969 54.0336173, 21.7626717 54.0333837)",,20,no,,,
177692915,False,Kolejowa,residential,True,55.384,"LINESTRING (21.762968 54.0344647, 21.7638024 54.0343756)",2,50,,,,
173009883,False,Owsiana,residential,False,196.172,"LINESTRING (21.762968 54.0344647, 21.7629923 54.0345671, 21.7630132 54.0346815, 21.7631658 54.0353764, 21.7632452 54.0357341, 21.7632839 54.0359081, 21.7633208 54.0361518, 21.7633305 54.0362158)",,,,,,
177692915,False,Kolejowa,residential,False,25.718000000000004,"LINESTRING (21.762968 54.0344647, 21.7627528 54.0344818, 21.7626831 54.0344882, 21.7625772 54.034492)",2,50,,,,
"[431553929, 834604459, 1193996560, 1193996561, 177692917, 981612790]",False,Nadbrzeżna,living_street,"[False, True]",129.093,"LINESTRING (21.7626717 54.0333837, 21.7625969 54.0336173, 21.7625752 54.0336849, 21.7624983 54.0339715, 21.7624814 54.0340345, 21.7624075 54.0343378, 21.7624234 54.0343967, 21.762492 54.0344603, 21.7625772 54.034492)",,20,no,,,
"[525179361, 981638534, 834604458, 70573357, 70573358, 1151535631]",False,"['Stanisława Moniuszki', 'Olsztyńska']",tertiary,True,110.392,"LINESTRING (21.7593381 54.0359578, 21.7594623 54.035971, 21.7598118 54.0360043, 21.7602353 54.0360396, 21.7603278 54.0360478, 21.7604412 54.0360614, 21.7606984 54.0360924, 21.7608282 54.0361086, 21.7608505 54.0361108, 21.7610042 54.0361237)",2,"['50', '30']",,movable,5,
173010855,True,3 Maja,residential,False,162.67100000000002,"LINESTRING (21.767155 54.0372302, 21.7671253 54.0372391, 21.7669839 54.0372833, 21.7665473 54.0374197, 21.7665351 54.0374234, 21.766426 54.0374566, 21.7658885 54.0376204, 21.7657799 54.0376465, 21.7656541 54.0376635, 21.765076 54.037742, 21.7648583 54.0377648)",,50,,,,
220872222,False,3 Maja,residential,False,56.156,"LINESTRING (21.767155 54.0372302, 21.7672446 54.0372015, 21.7677494 54.0370546, 21.7679218 54.0370017)",,50,,,,
"[935721877, 935721878]",False,Władysława Sikorskiego,residential,True,47.079,"LINESTRING (21.7646449 54.0366111, 21.7646369 54.0365619, 21.7646049 54.0362958, 21.7646257 54.0361893)",2,50,,,,
173093669,False,Olsztyńska,tertiary,True,122.89499999999998,"LINESTRING (21.7646257 54.0361893, 21.7647618 54.0361882, 21.7649597 54.0361889, 21.7652978 54.0362055, 21.7658006 54.0362403, 21.7659884 54.0362452, 21.7661109 54.0362464, 21.7662011 54.0362426, 21.766332 54.0362323, 21.766499 54.0362157)",2,50,,,,
"[935721877, 935721878]",False,Władysława Sikorskiego,residential,False,47.079,"LINESTRING (21.7646257 54.0361893, 21.7646049 54.0362958, 21.7646369 54.0365619, 21.7646449 54.0366111)",2,50,,,,
935721879,False,Olsztyńska,tertiary,False,84.633,"LINESTRING (21.7646257 54.0361893, 21.7644114 54.0361915, 21.7633305 54.0362158)",2,50,,,,
