osmid,name,highway,oneway,reversed,length,geometry,ref,bridge,junction,maxspeed
1175895162,Adama Mickiewicza,residential,False,True,60.355000000000004,"LINESTRING (16.6786121 54.3632235, 16.6778845 54.3633613, 16.6777257 54.3633905)",,,,
363890149,Basztowa,residential,True,False,127.75399999999999,"LINESTRING (16.6770844 54.3640979, 16.6772089 54.3641339, 16.6773366 54.3641645, 16.677551 54.3641859, 16.6781101 54.3642074, 16.6783455 54.3642048, 16.678591 54.3641892, 16.6790173 54.3641398)",,,,
1175895159,Lipowa,residential,False,False,13.71,"LINESTRING (16.6770844 54.3640979, 16.6771192 54.3640593, 16.6772337 54.3640157)",,,,
1175895161,Basztowa,residential,False,False,70.574,"LINESTRING (16.6770844 54.3640979, 16.67696 54.3640486, 16.6767795 54.3639772, 16.676597 54.3638904, 16.6764943 54.3638158, 16.6764159 54.3637424, 16.6763375 54.3636528)",,,,
1175895162,Adama Mickiewicza,residential,False,False,42.922,"LINESTRING (16.6763375 54.3636528, 16.6769669 54.3635323)",,,,
363890150,Basztowa,residential,False,False,169.21199999999996,"LINESTRING (16.6763375 54.3636528, 16.6762375 54.3635111, 16.6761819 54.3634321, 16.6761494 54.3633583, 16.6760839 54.3631655, 16.6759153 54.362687, 16.6759145 54.3626271, 16.6758776 54.3625079, 16.675878 54.3624651, 16.6759078 54.3624265, 16.6760283 54.3623472, 16.6762124 54.3622425)",,,,
1175895161,Basztowa,residential,False,True,70.574,"LINESTRING (16.6763375 54.3636528, 16.6764159 54.3637424, 16.6764943 54.3638158, 16.676597 54.3638904, 16.6767795 54.3639772, 16.67696 54.3640486, 16.6770844 54.3640979)",,,,
"[23806072, 1175895162]",Adama Mickiewicza,residential,False,True,140.084,"LINESTRING (16.6763375 54.3636528, 16.6761686 54.3636859, 16.6758012 54.3637555, 16.6755114 54.3637996, 16.6753136 54.3638225, 16.6749112 54.363835, 16.6742202 54.3638697)",,,,
1175895160,Jana Matejki,residential,False,True,56.463,"LINESTRING (16.6769669 54.3635323, 16.6772337 54.3640157)",,,,
1175895162,Adama Mickiewicza,residential,False,True,42.922,"LINESTRING (16.6769669 54.3635323, 16.6763375 54.3636528)",,,,
23806049,Jana Matejki,residential,False,False,135.858,"LINESTRING (16.6769669 54.3635323, 16.6769191 54.3634492, 16.6767274 54.3630686, 16.67667 54.3629591, 16.6765442 54.3626623, 16.6764453 54.3624468, 16.6764033 54.3623558)",,,,
1175895162,Adama Mickiewicza,residential,False,False,51.629999999999995,"LINESTRING (16.6769669 54.3635323, 16.677075 54.3635102, 16.6777257 54.3633905)",,,,
"[23806072, 1175895162]",Adama Mickiewicza,residential,False,False,140.08399999999997,"LINESTRING (16.6742202 54.3638697, 16.6749112 54.363835, 16.6753136 54.3638225, 16.6755114 54.3637996, 16.6758012 54.3637555, 16.6761686 54.3636859, 16.6763375 54.3636528)",,,,
