osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,lanes,junction,tunnel
196754894,Stefana Batorego,residential,False,True,137.91699999999997,"LINESTRING (17.865666 50.3577799, 17.8657563 50.357707, 17.8658027 50.3576464, 17.8658067 50.357601, 17.8657874 50.3575457, 17.8657573 50.3574921, 17.8654158 50.3570367, 17.8651801 50.3567326, 17.8651285 50.3566632)",,,,,
515996167,Powstańców Śląskich,secondary,False,False,100.80000000000001,"LINESTRING (17.865666 50.3577799, 17.8654941 50.3577541, 17.8653274 50.3577547, 17.8651773 50.3577713, 17.8649227 50.3578208, 17.8645885 50.3579007, 17.8644993 50.3579113, 17.8644024 50.3579121, 17.8642886 50.3579038)",416,50,,,
515996167,Powstańców Śląskich,secondary,False,True,100.8,"LINESTRING (17.8642886 50.3579038, 17.8644024 50.3579121, 17.8644993 50.3579113, 17.8645885 50.3579007, 17.8649227 50.3578208, 17.8651773 50.3577713, 17.8653274 50.3577547, 17.8654941 50.3577541, 17.865666 50.3577799)",416,50,,,
1188144795,Powstańców Śląskich,secondary,False,False,213.912,"LINESTRING (17.8642886 50.3579038, 17.8641969 50.3578825, 17.8641155 50.357853, 17.8639888 50.3577807, 17.8633869 50.3572786, 17.8632689 50.3571713, 17.8629836 50.3568658, 17.8626675 50.3564925, 17.8625495 50.3563625)",416,50,,,
196754907,Tadeusza Kościuszki,secondary,False,False,137.809,"LINESTRING (17.8625495 50.3563625, 17.862804 50.3562828, 17.8638315 50.3558775, 17.8641903 50.3557032)",416,50,2,,
1188144795,Powstańców Śląskich,secondary,False,True,213.91199999999998,"LINESTRING (17.8625495 50.3563625, 17.8626675 50.3564925, 17.8629836 50.3568658, 17.8632689 50.3571713, 17.8633869 50.3572786, 17.8639888 50.3577807, 17.8641155 50.357853, 17.8641969 50.3578825, 17.8642886 50.3579038)",416,50,,,
196754904,Wojciecha Korfantego,residential,False,False,23.218,"LINESTRING (17.8641903 50.3557032, 17.8644993 50.3556344)",,,,,
196754907,Tadeusza Kościuszki,secondary,False,False,33.705,"LINESTRING (17.8641903 50.3557032, 17.8643725 50.35557, 17.864477 50.3554627)",416,50,2,,
196754907,Tadeusza Kościuszki,secondary,False,True,137.809,"LINESTRING (17.8641903 50.3557032, 17.8638315 50.3558775, 17.862804 50.3562828, 17.8625495 50.3563625)",416,50,2,,
40739123,Piotra Skargi,primary,False,False,141.871,"LINESTRING (17.8629238 50.3519703, 17.8628018 50.3519489, 17.8626844 50.3519373, 17.8626191 50.3519322, 17.8623655 50.3519124, 17.862125 50.3518985, 17.861574 50.3518638, 17.8614899 50.3518567, 17.8614021 50.3518469, 17.8613163 50.351833, 17.8609578 50.3517621)",40;416,50,2,,
40739123,Piotra Skargi,primary,False,True,52.134,"LINESTRING (17.8629238 50.3519703, 17.8631027 50.3520129, 17.8632359 50.3520586, 17.8633308 50.3520953, 17.8634215 50.3521376, 17.8635473 50.3522099)",40;416,50,2,,
196754938,Wodna,unclassified,True,False,65.134,"LINESTRING (17.8606178 50.351741, 17.8606758 50.3518487, 17.860772 50.3520274, 17.8609075 50.3522968)",,,,,
258219730,Piotra Skargi,primary,False,True,24.374000000000002,"LINESTRING (17.8606178 50.351741, 17.8607223 50.351738, 17.860852 50.3517467, 17.8609578 50.3517621)",40,50,2,,
1188144794,Piastowska,primary,False,True,48.252,"LINESTRING (17.8606178 50.351741, 17.8605436 50.351747, 17.8599437 50.3517984)",40,50,2,,
40739125,Fryderyka Chopina,secondary,True,False,136.31199999999995,"LINESTRING (17.8619323 50.3509221, 17.8621401 50.3510995, 17.8625413 50.3515271, 17.8626174 50.3516082, 17.8628759 50.3519136, 17.8628916 50.3519322, 17.8629238 50.3519703)",416,,2,,
44800549,Głubczycka,secondary,False,False,184.354,"LINESTRING (17.8619323 50.3509221, 17.8622237 50.3506364, 17.862338 50.3504557, 17.8623285 50.3503178, 17.8620737 50.3499252, 17.8619213 50.3496961, 17.8617837 50.349484, 17.8617573 50.349405)",416,50,2,,
44800550,Rondo imienia Georga III von Oppersdorf,primary,True,False,7.452999999999999,"LINESTRING (17.8643895 50.3535097, 17.8643526 50.3534859, 17.8643333 50.3534547)",40;416,50,1,roundabout,
"[196754897, 436084463]",Plac Wolności,primary,False,False,67.738,"LINESTRING (17.8661036 50.3534949, 17.8660714 50.3535075, 17.8659793 50.353538, 17.8659236 50.3535493, 17.865859 50.3535591, 17.8657947 50.3535643, 17.8657295 50.3535654, 17.8656923 50.3535658, 17.865661 50.3535649, 17.8655663 50.3535627, 17.8653932 50.3535519, 17.8651737 50.3535349)",40,50,2,,
258019131,3 Maja,tertiary,False,True,196.21400000000003,"LINESTRING (17.8661036 50.3534949, 17.8661401 50.3535419, 17.866201 50.3536244, 17.8662752 50.3537251, 17.8664061 50.353923, 17.8665966 50.3541926, 17.8666838 50.3543166, 17.8668568 50.3545571, 17.8670418 50.3548326, 17.8672321 50.3551057)",,,2,,
258219715,Dworcowa,primary,False,True,70.038,"LINESTRING (17.8661036 50.3534949, 17.8662999 50.3534041, 17.8667232 50.3532118, 17.8669192 50.3531412)",40,50,2,,
