osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,bridge,maxspeed,junction
92114673,True,1,242,Plac Wojska Polskiego,secondary,False,130.473,"LINESTRING (17.2684799 53.1526332, 17.2674362 53.1536257)",,,
288026424,True,,,,residential,False,15.705,"LINESTRING (17.2684799 53.1526332, 17.2686603 53.152724)",,,
92114679,True,1,242,22 Stycznia,secondary,False,19.185000000000002,"LINESTRING (17.2670579 53.1538839, 17.2671252 53.1537885, 17.2671327 53.1537197)",,,
314591315,False,2,242,Stanisława Staszica,secondary,True,54.657,"LINESTRING (17.2670579 53.1538839, 17.2667518 53.1541125, 17.266534 53.1542618)",,,
92114679,True,1,242,22 Stycznia,secondary,False,21.747,"LINESTRING (17.2671059 53.153423, 17.2671891 53.1532339)",,,
288026424,True,,,,residential,False,142.248,"LINESTRING (17.2686603 53.152724, 17.2687026 53.1528072, 17.2686887 53.1529117, 17.2677291 53.1536188, 17.2674362 53.1536257)",,,
222140804,False,,,Wiejska,unclassified,True,55.819,"LINESTRING (17.2618305 53.1591506, 17.2620446 53.1596359)",,,
222140804,False,,,Wiejska,unclassified,False,207.072,"LINESTRING (17.2618305 53.1591506, 17.2616093 53.1586852, 17.2615197 53.1584252, 17.2615525 53.1581787, 17.2616512 53.1579584, 17.2618705 53.1578072, 17.2621956 53.1576703, 17.2622882 53.1576156, 17.2623156 53.1575708, 17.262292 53.157499)",,,
288775624,False,,,,unclassified,False,141.755,"LINESTRING (17.2618305 53.1591506, 17.2616211 53.1591549, 17.2613442 53.1591434, 17.2611195 53.1590924, 17.2609112 53.1590185, 17.2604263 53.1587827, 17.2603971 53.1587152, 17.2602081 53.1584929)",,,
169736540,True,,,Grunwaldzka,residential,False,220.75099999999998,"LINESTRING (17.2633688 53.1562303, 17.2619856 53.1560458, 17.2615434 53.1559869, 17.261087 53.155926, 17.2606105 53.1558624, 17.260137 53.1557993)",,,
288018761,False,2,242,Stanisława Staszica,secondary,False,39.618,"LINESTRING (17.2633688 53.1562303, 17.263388 53.1562016, 17.2634571 53.1560981, 17.2636689 53.155926)",,,
288018761,False,2,242,Stanisława Staszica,secondary,True,76.063,"LINESTRING (17.2633688 53.1562303, 17.2632023 53.1566397, 17.2631454 53.1567794, 17.2631054 53.1568958)",,,
169736548,False,,,,residential,False,32.183,"LINESTRING (17.260137 53.1557993, 17.2601779 53.1557632, 17.260408 53.1555598)",,,
169736548,False,,,,residential,True,69.021,"LINESTRING (17.260137 53.1557993, 17.2600713 53.1558534, 17.2599742 53.1559333, 17.2598697 53.1560194, 17.2598627 53.1560252, 17.2595277 53.1563011)",,,
169736548,False,,,,residential,False,69.021,"LINESTRING (17.2595277 53.1563011, 17.2598627 53.1560252, 17.2598697 53.1560194, 17.2599742 53.1559333, 17.2600713 53.1558534, 17.260137 53.1557993)",,,
