osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref
41510585,False,,Kazimierza Odnowiciela,residential,,False,90.25,"LINESTRING (18.9405331 50.3789122, 18.9404515 50.378243, 18.9404344 50.378103)",
41510585,False,,Kazimierza Odnowiciela,residential,,True,87.561,"LINESTRING (18.9405331 50.3789122, 18.940623 50.3795479, 18.9406416 50.3796966)",
41510588,False,,Kazimierza Odnowiciela,residential,,True,114.905,"LINESTRING (18.9405331 50.3789122, 18.940374 50.3789201, 18.9390952 50.3789839, 18.9389176 50.3789928)",
41510590,True,,Jesionowa,living_street,,False,54.19,"LINESTRING (18.9377508 50.3798825, 18.9376793 50.3793973)",
495359611,False,,Marszałka Józefa Piłsudskiego,residential,,False,63.403,"LINESTRING (18.9377508 50.3798825, 18.9368597 50.3799296)",
495359611,False,,Marszałka Józefa Piłsudskiego,residential,,True,52.736999999999995,"LINESTRING (18.9377508 50.3798825, 18.9383615 50.379835, 18.9384262 50.3798299, 18.9384895 50.3798292)",
41518957,False,,,living_street,20,True,44.442,"LINESTRING (18.9435075 50.3800139, 18.9436478 50.3799972, 18.9441236 50.3799405)",
148317578,False,2,Bytomska,tertiary,50,True,52.681,"LINESTRING (18.9435075 50.3800139, 18.9435428 50.3796942, 18.9435597 50.3795413)",
41518957,False,,,living_street,20,False,44.442,"LINESTRING (18.9441236 50.3799405, 18.9436478 50.3799972, 18.9435075 50.3800139)",
41519611,False,,,living_street,20,False,29.334,"LINESTRING (18.9440629 50.3787718, 18.944061 50.3790356)",
41519611,False,,,living_street,20,True,26.904,"LINESTRING (18.9440629 50.3787718, 18.9444406 50.3787489)",
448955732,False,,,living_street,,True,27.219,"LINESTRING (18.9440629 50.3787718, 18.9440481 50.3785272)",
41519611,False,,,living_street,20,True,29.334,"LINESTRING (18.944061 50.3790356, 18.9440629 50.3787718)",
41519614,False,,,living_street,,True,16.348,"LINESTRING (18.944061 50.3790356, 18.9440737 50.3791824)",
41519611,False,,,living_street,20,False,31.932000000000002,"LINESTRING (18.944061 50.3790356, 18.9437088 50.3790513, 18.9436118 50.3790559)",
41519611,False,,,living_street,20,False,26.904,"LINESTRING (18.9444406 50.3787489, 18.9440629 50.3787718)",
41519613,False,,,living_street,,False,46.694,"LINESTRING (18.9444406 50.3787489, 18.9444737 50.3791683)",
