osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,bridge,access,junction
40051270,Spółdzielcza,residential,False,False,167.984,"LINESTRING (22.2129734 51.2906194, 22.2128815 51.290604, 22.2128519 51.2906051, 22.2127622 51.2906086, 22.2115102 51.290698, 22.2110591 51.2907306, 22.2105755 51.2907655)",,,,,,
769745930,Kolejowa,secondary,False,False,44.73799999999999,"LINESTRING (22.2129734 51.2906194, 22.2131269 51.2904265, 22.2131828 51.29035, 22.2132217 51.2902965, 22.2132431 51.2902546)",2,826,50,,,
769745931,Kolejowa,secondary,False,True,124.29999999999998,"LINESTRING (22.2129734 51.2906194, 22.2128744 51.290751, 22.2128362 51.2908218, 22.2128087 51.2909039, 22.2128014 51.2909854, 22.2128198 51.2910632, 22.2128548 51.2911387, 22.2129073 51.2912074, 22.2129802 51.2912776, 22.2130649 51.2913408, 22.2131097 51.291372, 22.2134197 51.2915886)",,826,50,,,
40049400,Fortunata Nowickiego,residential,False,False,198.77000000000004,"LINESTRING (22.2132431 51.2902546, 22.2133696 51.2902976, 22.2146457 51.2908158, 22.2148565 51.2909052, 22.2152751 51.2910826, 22.2153084 51.2910967, 22.2154207 51.2911443, 22.2154403 51.2911526, 22.2154921 51.2911746, 22.2155127 51.2911833, 22.2156564 51.2911977)",,,,,,
355370870,Kolejowa,secondary,False,False,39.507,"LINESTRING (22.2132431 51.2902546, 22.2132707 51.2901752, 22.2132837 51.2901286, 22.2133285 51.2899036)",2,826,50,,,
769745930,Kolejowa,secondary,False,True,44.738,"LINESTRING (22.2132431 51.2902546, 22.2132217 51.2902965, 22.2131828 51.29035, 22.2131269 51.2904265, 22.2129734 51.2906194)",2,826,50,,,
1117894857,Armatnia Góra,secondary,False,True,8.035,"LINESTRING (22.2143493 51.2878501, 22.2144566 51.2878233)",2,830,50,,,
"[1079843976, 963968585]",Armatnia Góra,secondary,False,False,130.775,"LINESTRING (22.2143493 51.2878501, 22.2141803 51.2878666, 22.2140913 51.2878754, 22.2133714 51.2879465, 22.2129907 51.2879838, 22.2124916 51.2880327)",2,830,50,,,
"[1079843977, 355370870]",Kolejowa,secondary,False,True,245.97699999999998,"LINESTRING (22.2143493 51.2878501, 22.2143602 51.2878877, 22.2143679 51.2879204, 22.2143733 51.287946, 22.2143751 51.2879728, 22.2143745 51.2879858, 22.2143721 51.2880044, 22.2143715 51.288006, 22.2143645 51.2880241, 22.2143085 51.2880828, 22.2142379 51.2881471, 22.21417 51.2882131, 22.2141359 51.2882441, 22.2138503 51.2885091, 22.2138313 51.2885264, 22.2137144 51.2886402, 22.2136422 51.2887179, 22.2135871 51.2887935, 22.213546 51.2888638, 22.2135097 51.2889421, 22.2134815 51.2890271, 22.2134688 51.2890814, 22.2134482 51.2891682, 22.213447 51.2891752, 22.2134263 51.2892934, 22.2133704 51.2896143, 22.2133661 51.2896433, 22.2133355 51.289855, 22.2133285 51.2899036)",2,826,50,,,
40051770,Michała Elwira Andriollego,residential,False,False,84.827,"LINESTRING (22.2133285 51.2899036, 22.2132588 51.2899082, 22.2130643 51.2899225, 22.2125086 51.28993, 22.2121107 51.2899374)",,,,,,
