osmid,oneway,lanes,ref,name,highway,maxspeed,junction,reversed,length,geometry,tunnel,bridge
23756561,True,1,109,Rondo Księcia Warcisława III,secondary,50,roundabout,False,13.722999999999999,"LINESTRING (15.196747 53.9112216, 15.1966945 53.9112299, 15.1966231 53.9112316, 15.1965408 53.9112226)",,
23756561,True,1,109,Rondo Księcia Warcisława III,secondary,50,roundabout,False,17.118000000000002,"LINESTRING (15.1965408 53.9112226, 15.1964711 53.9112002, 15.1964044 53.9111637, 15.1963587 53.9111174)",,
162832544,True,1,,3 Maja,residential,,,False,72.62899999999999,"LINESTRING (15.1965408 53.9112226, 15.1964043 53.91125, 15.1963026 53.9112827, 15.1961736 53.9113396, 15.1960149 53.9114318, 15.1958955 53.9115233, 15.1957534 53.9116577)",,
23756561,True,1,109,Rondo Księcia Warcisława III,secondary,50,roundabout,False,21.052,"LINESTRING (15.1967699 53.9108843, 15.1968163 53.9108975, 15.1968796 53.9109301, 15.1969256 53.9109715, 15.1969521 53.9110294)",,
194640164,True,1,109,Starogrodzka,secondary,50,,False,78.749,"LINESTRING (15.1967699 53.9108843, 15.1970408 53.9108487, 15.1972038 53.9108246, 15.1973678 53.910784, 15.1979018 53.9106525)",,
23756562,False,,,Księdza Stanisława Ruta,residential,,,False,116.83200000000001,"LINESTRING (15.1961318 53.9153711, 15.1959203 53.9154043, 15.1947755 53.9155479, 15.1945622 53.9155722, 15.1943849 53.9155709)",,
"[194603931, 23756469]",False,,,3 Maja,residential,,,"[False, True]",188.49599999999998,"LINESTRING (15.1961318 53.9153711, 15.1960911 53.9152263, 15.1959396 53.9148051, 15.1959033 53.914662, 15.1958648 53.9145668, 15.1958572 53.9145412, 15.1958143 53.9144188, 15.1957197 53.9140997, 15.195706 53.9140635, 15.1956788 53.9139852, 15.1956254 53.913831, 15.1955994 53.9137709, 15.1955801 53.9137079)",,
298433353,False,,,3 Maja,living_street,20,,False,197.45,"LINESTRING (15.1961318 53.9153711, 15.1961779 53.9154685, 15.1962939 53.9158108, 15.1963707 53.9160375, 15.1963841 53.9160768, 15.1966572 53.9168828, 15.1966874 53.9169751, 15.1967319 53.917111)",,
"[194603931, 23756469]",False,,,3 Maja,residential,,,"[False, True]",188.496,"LINESTRING (15.1955801 53.9137079, 15.1955994 53.9137709, 15.1956254 53.913831, 15.1956788 53.9139852, 15.195706 53.9140635, 15.1957197 53.9140997, 15.1958143 53.9144188, 15.1958572 53.9145412, 15.1958648 53.9145668, 15.1959033 53.914662, 15.1959396 53.9148051, 15.1960911 53.9152263, 15.1961318 53.9153711)",,
162545047,True,,,3 Maja,residential,,,False,67.116,"LINESTRING (15.1955801 53.9137079, 15.1954734 53.9136682, 15.1954377 53.9135821, 15.1953954 53.9133053, 15.1953759 53.913143)",,
194603929,False,,,Adama Mickiewicza,residential,,,True,61.623999999999995,"LINESTRING (15.1955801 53.9137079, 15.195775 53.9136882, 15.1960793 53.9136608, 15.1963952 53.9136324, 15.1965093 53.9136208)",,
219786235,False,,,Adama Mickiewicza,residential,,,True,145.373,"LINESTRING (15.1955801 53.9137079, 15.1954409 53.9137202, 15.1953415 53.9137413, 15.1946238 53.9138977, 15.1941248 53.9139959, 15.1936492 53.9140875, 15.1934829 53.9141303)",,
23756561,True,1,109,Rondo Księcia Warcisława III,secondary,50,roundabout,False,17.027,"LINESTRING (15.1969319 53.9111197, 15.1969106 53.9111445, 15.1968471 53.9111884, 15.196747 53.9112216)",,
"[545528773, 545528774, 219717863]",True,1,,Wysoka Brama,tertiary,50,,False,72.539,"LINESTRING (15.1969319 53.9111197, 15.1969663 53.9112027, 15.1969991 53.9112721, 15.1971173 53.9114299, 15.1971834 53.9115188, 15.1972563 53.9115987, 15.1973342 53.9116689, 15.1973795 53.9117121)",building_passage,
