osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,bridge,junction,width,ref
146624163,False,2,Grodziska,secondary,50,False,85.339,"LINESTRING (19.4954066 51.664636, 19.4942962 51.6642974)",,,,
146624163,False,2,Grodziska,secondary,50,True,114.216,"LINESTRING (19.4954066 51.664636, 19.4959767 51.6648139, 19.4962639 51.6648975, 19.4964212 51.6649375, 19.4965595 51.6649681, 19.4967411 51.6650053, 19.4969255 51.6650396)",,,,
229466737,False,,Tylna,residential,,True,202.326,"LINESTRING (19.4954066 51.664636, 19.4954321 51.6645791, 19.4957502 51.6638682, 19.4958712 51.6635564, 19.4960237 51.6631439, 19.4960817 51.6629223, 19.4960958 51.6628687)",,,,
146624163,False,2,Grodziska,secondary,50,False,114.216,"LINESTRING (19.4969255 51.6650396, 19.4967411 51.6650053, 19.4965595 51.6649681, 19.4964212 51.6649375, 19.4962639 51.6648975, 19.4959767 51.6648139, 19.4954066 51.664636)",,,,
146624164,False,2,Pabianicka,secondary,50,False,10.501,"LINESTRING (19.4851355 51.661552, 19.4849982 51.6615112)",,,,
108566367,False,,Przyrzeczna,residential,,True,108.351,"LINESTRING (19.4851355 51.661552, 19.4855539 51.6612843, 19.4857899 51.6611862, 19.4864007 51.6609929)",,,,
"[441803904, 441803903]",False,2,Pabianicka,secondary,50,True,171.419,"LINESTRING (19.4851355 51.661552, 19.4854297 51.6616414, 19.4872018 51.662176, 19.48737 51.6622268)",yes,,,
38919789,False,,Plac 500-lecia,residential,,True,99.311,"LINESTRING (19.4917225 51.6635284, 19.4917821 51.6634516, 19.4918118 51.6634132, 19.4922966 51.6627883, 19.492304 51.6627788, 19.4923468 51.6627236)",,,,
146624163,False,2,Grodziska,secondary,50,True,197.039,"LINESTRING (19.4917225 51.6635284, 19.491873 51.6635736, 19.494104 51.6642439, 19.4942962 51.6642974)",,,,
708817160,False,2,Plac 500-lecia,secondary,50,False,152.44799999999998,"LINESTRING (19.4917225 51.6635284, 19.4912596 51.6633924, 19.4899005 51.662987, 19.4898848 51.6629823, 19.4897293 51.6629359)",,,,
"[38910504, 201579876, 201579877]",False,,Łódzka,tertiary,,True,336.32700000000006,"LINESTRING (19.4897293 51.6629359, 19.4896304 51.6630489, 19.4893656 51.6633514, 19.4893068 51.6634186, 19.4889068 51.6638997, 19.488832 51.6640001, 19.4887669 51.6641107, 19.4887197 51.6642292, 19.4886392 51.6644617, 19.4883571 51.6653304, 19.4883402 51.6653825, 19.4882107 51.6657811)",yes,,,
441803904,False,2,Pabianicka,secondary,50,False,180.825,"LINESTRING (19.4897293 51.6629359, 19.4895049 51.6628684, 19.4893569 51.6628239, 19.4875132 51.6622698, 19.48737 51.6622268)",,,,
708817160,False,2,Plac 500-lecia,secondary,50,True,152.448,"LINESTRING (19.4897293 51.6629359, 19.4898848 51.6629823, 19.4899005 51.662987, 19.4912596 51.6633924, 19.4917225 51.6635284)",,,,
873435381,False,,Plac 500-lecia,tertiary,,False,103.679,"LINESTRING (19.4897293 51.6629359, 19.4898214 51.6628235, 19.4900458 51.6625577, 19.4901288 51.6624542, 19.4903104 51.662214, 19.490398 51.662101)",,,,
38910254,True,,,tertiary,,False,12.979000000000001,"LINESTRING (19.4871233 51.6672695, 19.487081 51.6672287, 19.4870654 51.6671928, 19.4870631 51.6671618)",,roundabout,,
