osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,access
229581026,Dworcowa,tertiary,False,True,47.323,"LINESTRING (17.4280835 52.6326333, 17.4279884 52.6326041, 17.4279373 52.63258, 17.4278935 52.632533, 17.4277348 52.6322833)",,,,
229581028,Ignacego Jana Paderewskiego,secondary,False,False,17.043999999999997,"LINESTRING (17.4280835 52.6326333, 17.4280398 52.6327017, 17.4280058 52.6327789)",2,190,50,
267209984,Ignacego Jana Paderewskiego,secondary,False,True,58.068,"LINESTRING (17.4280835 52.6326333, 17.4284013 52.6323052, 17.4285212 52.6321837)",2,190,50,
173165615,Karniszewska,tertiary,False,False,9.416,"LINESTRING (17.4306356 52.6316178, 17.4307749 52.6316225)",2,,,
229581024,Doktora Juliana Domańskiego,secondary,False,False,61.672,"LINESTRING (17.4306356 52.6316178, 17.4305893 52.631639, 17.4305358 52.6316523, 17.4304328 52.6316732, 17.4297866 52.631819)",2,190,50,motor_vehicle
1086726401,Gnieźnieńska,secondary,False,True,38.377,"LINESTRING (17.4306356 52.6316178, 17.4306422 52.6315955, 17.4306413 52.6315641, 17.4306339 52.6315184, 17.4306093 52.6312737)",2,190,50,
352057096,,residential,False,True,153.005,"LINESTRING (17.4305808 52.6306723, 17.4305468 52.6305102, 17.4304356 52.6296603, 17.4303887 52.6293014)",,,,
1086726401,Gnieźnieńska,secondary,False,False,22.124000000000002,"LINESTRING (17.4305808 52.6306723, 17.4305625 52.6307257, 17.4305666 52.6308701)",2,190,50,
"[1086726400, 1086726401]",Gnieźnieńska,secondary,False,True,140.33499999999998,"LINESTRING (17.4305808 52.6306723, 17.4306919 52.6305504, 17.4317351 52.6297325, 17.4318243 52.6296626)",2,190,"['40', '50']",
225789273,Plac Powstańców Wielkopolskich,residential,True,False,73.961,"LINESTRING (17.4287902 52.6320485, 17.4289654 52.6323535, 17.4291508 52.6326766)",,,,
229581024,Doktora Juliana Domańskiego,secondary,False,True,71.929,"LINESTRING (17.4287902 52.6320485, 17.4290336 52.6319928, 17.42909 52.6319785, 17.4296404 52.6318504, 17.4297866 52.631819)",2,190,50,motor_vehicle
267209984,Ignacego Jana Paderewskiego,secondary,False,False,23.845000000000002,"LINESTRING (17.4287902 52.6320485, 17.4286991 52.6320793, 17.4286352 52.6321089, 17.42857 52.6321445, 17.4285212 52.6321837)",2,190,50,
225789273,Plac Powstańców Wielkopolskich,residential,True,False,78.476,"LINESTRING (17.4291508 52.6326766, 17.4289973 52.6327004, 17.4282396 52.632779, 17.4281562 52.6327877, 17.4280058 52.6327789)",,,,
225789263,,residential,True,False,12.681999999999999,"LINESTRING (17.4293101 52.6327371, 17.4292323 52.6327076, 17.4291508 52.6326766)",,,,
229581028,Ignacego Jana Paderewskiego,secondary,False,False,85.203,"LINESTRING (17.4280058 52.6327789, 17.4279684 52.6329058, 17.4278448 52.6335387)",2,190,50,
229581028,Ignacego Jana Paderewskiego,secondary,False,True,17.043999999999997,"LINESTRING (17.4280058 52.6327789, 17.4280398 52.6327017, 17.4280835 52.6326333)",2,190,50,
229581028,Ignacego Jana Paderewskiego,secondary,False,True,85.203,"LINESTRING (17.4278448 52.6335387, 17.4279684 52.6329058, 17.4280058 52.6327789)",2,190,50,
"[225789274, 361988459]","['Kościelna', 'Tadeusza Kościuszki']",residential,True,False,177.99099999999999,"LINESTRING (17.4278448 52.6335387, 17.4295268 52.6332647, 17.4293101 52.6327371)",,,,
421546269,Ignacego Jana Paderewskiego,secondary,False,False,51.707,"LINESTRING (17.4278448 52.6335387, 17.4278397 52.6336423, 17.4278473 52.6336971, 17.4278694 52.633772, 17.4279211 52.6338861, 17.4279748 52.6339932)",2,190,50,
238992842,"Armii ""Poznań""",residential,False,True,150.26,"LINESTRING (17.4303887 52.6293014, 17.430286 52.6293062, 17.4301813 52.6293134, 17.4301283 52.629317, 17.4292852 52.6293746, 17.4283823 52.6294363, 17.428176 52.6294504)",,,,
352057096,,residential,False,False,153.005,"LINESTRING (17.4303887 52.6293014, 17.4304356 52.6296603, 17.4305468 52.6305102, 17.4305808 52.6306723)",,,,
238992842,"Armii ""Poznań""",residential,False,False,150.26,"LINESTRING (17.428176 52.6294504, 17.4283823 52.6294363, 17.4292852 52.6293746, 17.4301283 52.629317, 17.4301813 52.6293134, 17.430286 52.6293062, 17.4303887 52.6293014)",,,,
238992842,"Armii ""Poznań""",residential,False,True,144.59,"LINESTRING (17.428176 52.6294504, 17.4280053 52.6294626, 17.4268629 52.6295441, 17.4262185 52.6296262, 17.4260655 52.6296581)",,,,
482228611,Słoneczna,residential,True,False,193.331,"LINESTRING (17.428176 52.6294504, 17.4282456 52.6296836, 17.428346 52.6300738, 17.4284585 52.6305114, 17.4286031 52.6310735, 17.4286272 52.6311673)",,,,
229581026,Dworcowa,tertiary,False,False,38.464,"LINESTRING (17.4260655 52.6296581, 17.4262132 52.6299922)",,,,
229581026,Dworcowa,tertiary,False,True,115.01599999999999,"LINESTRING (17.4260655 52.6296581, 17.4258611 52.628916, 17.4257835 52.628638)",,,,
238992842,"Armii ""Poznań""",residential,False,False,144.59,"LINESTRING (17.4260655 52.6296581, 17.4262185 52.6296262, 17.4268629 52.6295441, 17.4280053 52.6294626, 17.428176 52.6294504)",,,,
238992828,,residential,False,False,203.584,"LINESTRING (17.4318243 52.6296626, 17.432088 52.6298035, 17.4322376 52.6298504, 17.4323824 52.6298636, 17.4325673 52.6298528, 17.434481 52.6297235, 17.434717 52.6297466)",,,,
"[1086726400, 1086726401]",Gnieźnieńska,secondary,False,False,140.335,"LINESTRING (17.4318243 52.6296626, 17.4317351 52.6297325, 17.4306919 52.6305504, 17.4305808 52.6306723)",2,190,"['40', '50']",
238992822,Akacjowa,residential,False,False,45.658,"LINESTRING (17.434717 52.6297466, 17.4349563 52.6297707, 17.4353875 52.6297412)",,,,
238992828,,residential,False,True,203.584,"LINESTRING (17.434717 52.6297466, 17.434481 52.6297235, 17.4325673 52.6298528, 17.4323824 52.6298636, 17.4322376 52.6298504, 17.432088 52.6298035, 17.4318243 52.6296626)",,,,
361982139,Jarzębinowa,residential,False,False,121.938,"LINESTRING (17.434717 52.6297466, 17.4347159 52.6298781, 17.4347077 52.6308432)",,,,
361982144,Modrzewiowa,residential,False,False,49.059,"LINESTRING (17.4347077 52.6308432, 17.4354244 52.6309169)",,,,
361982139,Jarzębinowa,residential,False,True,121.938,"LINESTRING (17.4347077 52.6308432, 17.4347159 52.6298781, 17.434717 52.6297466)",,,,
1086726401,Gnieźnieńska,secondary,False,False,44.971,"LINESTRING (17.4305666 52.6308701, 17.4306093 52.6312737)",2,190,50,
238992811,Szkolna,residential,True,False,279.923,"LINESTRING (17.4305666 52.6308701, 17.4311144 52.6308398, 17.4321929 52.6307923, 17.432612 52.6307991, 17.4342774 52.6308364, 17.4347077 52.6308432)",,,,
1086726401,Gnieźnieńska,secondary,False,True,22.124000000000002,"LINESTRING (17.4305666 52.6308701, 17.4305625 52.6307257, 17.4305808 52.6306723)",2,190,50,
238992843,Ogrodowa,residential,True,False,102.051,"LINESTRING (17.4286272 52.6311673, 17.4284862 52.6311849, 17.428234 52.6312163, 17.4280556 52.6312574, 17.4272862 52.6314768, 17.427223 52.6314948)",,,,
1086726401,Gnieźnieńska,secondary,False,True,44.971,"LINESTRING (17.4306093 52.6312737, 17.4305666 52.6308701)",2,190,50,
238992843,Ogrodowa,residential,True,False,134.79500000000002,"LINESTRING (17.4306093 52.6312737, 17.4302686 52.6312811, 17.4296315 52.6312269, 17.4289833 52.6311624, 17.4286272 52.6311673)",,,,
1086726401,Gnieźnieńska,secondary,False,False,38.376999999999995,"LINESTRING (17.4306093 52.6312737, 17.4306339 52.6315184, 17.4306413 52.6315641, 17.4306422 52.6315955, 17.4306356 52.6316178)",2,190,50,
229581026,Dworcowa,tertiary,False,False,87.88899999999998,"LINESTRING (17.427223 52.6314948, 17.427289 52.6315973, 17.4276641 52.6321801, 17.4276994 52.6322304)",,,,
229581026,Dworcowa,tertiary,False,True,180.452,"LINESTRING (17.427223 52.6314948, 17.4268318 52.6309284, 17.4267096 52.6307471, 17.4262132 52.6299922)",,,,
