osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,geometry,access,junction
600426881,True,3,Aleja Armii Krajowej,tertiary,50,False,7.709,,"LINESTRING (18.6738353 50.0353149, 18.6738383 50.0353842)",,
1125956795,True,2,Aleja Zjednoczonej Europy,secondary,70,False,30.162,932,"LINESTRING (18.6738353 50.0353149, 18.6741083 50.0352862, 18.674253 50.0352754)",,
42717829,True,2,Aleja Armii Krajowej,secondary,50,False,36.492,,"LINESTRING (18.6738383 50.0353842, 18.6738494 50.0357123)",,
472472764,True,2,Aleja Zjednoczonej Europy,secondary,,False,13.514,932,"LINESTRING (18.6738383 50.0353842, 18.6736509 50.035401)",,
"[600426884, 600426885, 172533034, 397693265, 397693268, 397684537]",True,"['2', '3', '4']",Aleja Armii Krajowej,secondary,50,False,298.01500000000004,932,"LINESTRING (18.6737297 50.0380806, 18.6737088 50.0373891, 18.6737019 50.0370179, 18.6736842 50.0362685, 18.673674 50.0360165, 18.6736667 50.0358231, 18.6736648 50.0357575, 18.6736637 50.035717, 18.6736603 50.0356238, 18.6736509 50.035401)",,
"[172159753, 549940579, 549940583]",True,1,,secondary_link,50,False,155.048,,"LINESTRING (18.673908 50.0379963, 18.6739889 50.0381769, 18.6740271 50.0383101, 18.6740541 50.0383809, 18.6740816 50.0384345, 18.6741133 50.0384903, 18.6741645 50.0385626, 18.6746201 50.0391974, 18.6746633 50.0392975)",,
"[549940584, 549940585, 172551928]",True,"['1', '2']",Aleja Armii Krajowej,secondary,50,False,139.25300000000001,932,"LINESTRING (18.673908 50.0379963, 18.6739109 50.0381788, 18.6739469 50.0384884, 18.6739441 50.0385979, 18.6739388 50.0386695, 18.6739269 50.0387508, 18.6738304 50.0390977, 18.6737945 50.0391809, 18.6737651 50.0392355)",,
562711370,False,2,Aleja Armii Krajowej,secondary,50,False,12.902,924,"LINESTRING (18.6737692 50.0393515, 18.6737651 50.0392355)",,
"[562711368, 562711369, 562711366]",False,2,Aleja Armii Krajowej,secondary,50,True,116.54100000000003,924,"LINESTRING (18.6737692 50.0393515, 18.6737759 50.0396547, 18.6737872 50.0400461, 18.6737832 50.0401823, 18.6737701 50.0403993)",,
562711370,False,2,Aleja Armii Krajowej,secondary,50,True,12.902,924,"LINESTRING (18.6737651 50.0392355, 18.6737692 50.0393515)",,
"[549940601, 562711371, 397684551]",True,"['1', '2']",Aleja Armii Krajowej,secondary,50,False,128.543,924,"LINESTRING (18.6737651 50.0392355, 18.6737447 50.0391356, 18.6737506 50.0390422, 18.6737542 50.0388881, 18.6737428 50.0386004, 18.6737297 50.0380806)",,
42717238,False,2,,secondary_link,,True,61.291000000000004,,"LINESTRING (18.6746633 50.0392975, 18.6748286 50.0395336, 18.6749291 50.0397093, 18.6749707 50.039811)",,
"[549940578, 549940580]",True,1,,secondary_link,30,False,75.291,,"LINESTRING (18.6746633 50.0392975, 18.6745523 50.0392284, 18.67449 50.0392015, 18.6744269 50.0391857, 18.6743328 50.0391711, 18.6742232 50.0391676, 18.6741241 50.039179, 18.6740191 50.0392092, 18.6739389 50.0392469, 18.6737692 50.0393515)",,
"[42717830, 549940599]",True,1,Wodzisławska,secondary,50,False,21.996000000000002,924,"LINESTRING (18.6745167 50.0400017, 18.6747532 50.0400262, 18.6748201 50.0400355)",,
562711367,False,2,Aleja Armii Krajowej,secondary,50,False,14.375,924,"LINESTRING (18.6737631 50.0405285, 18.6737701 50.0403993)",,
42717732,False,1,Aleja Armii Krajowej,secondary,50,True,89.652,924,"LINESTRING (18.6737631 50.0405285, 18.6737613 50.0407689, 18.6737698 50.0409549, 18.6737951 50.0411397, 18.673816 50.0413335)",,
