osmid,oneway,name,highway,reversed,length,lanes,geometry,maxspeed,access,ref,junction
"[27357659, 729711813]",True,Wojska Polskiego,tertiary,False,79.94800000000001,3,"LINESTRING (18.7792138 54.0918545, 18.7788909 54.0919721, 18.7784613 54.0921283, 18.7783768 54.0921449, 18.778355 54.0921492, 18.7781385 54.0921916)",,,,
239943561,False,Plac Patriotów,residential,False,238.63199999999998,,"LINESTRING (18.7792138 54.0918545, 18.7791302 54.0917564, 18.7788525 54.0914475, 18.7786407 54.0912354, 18.7777448 54.0903383, 18.7775602 54.090149, 18.7773983 54.0899918)",,,,
"[1020122512, 1252077554]",False,Wojska Polskiego,tertiary,True,127.30099999999999,3,"LINESTRING (18.7792138 54.0918545, 18.779405 54.091816, 18.780132 54.0917022, 18.780396 54.0916553, 18.780558 54.0916227, 18.7806113 54.0916115, 18.7807636 54.0915781, 18.7808843 54.0915407, 18.7810525 54.0914833)",50,,,
199077039,False,Wojska Polskiego,tertiary,False,106.18599999999999,2,"LINESTRING (18.7823208 54.0908851, 18.7818888 54.0910929, 18.7814472 54.0913052, 18.7811731 54.0914365, 18.7810525 54.0914833)",50,,,
199077039,False,Wojska Polskiego,tertiary,True,121.43199999999999,2,"LINESTRING (18.7823208 54.0908851, 18.7826147 54.0907378, 18.7830071 54.0905464, 18.7837519 54.0901865)",50,,,
"[1146093824, 382552962]",False,Tczewskich Saperów,residential,False,398.36199999999997,,"LINESTRING (18.7823208 54.0908851, 18.782236 54.0908144, 18.7813552 54.0899764, 18.7808685 54.0895509, 18.7805568 54.0892694, 18.7800447 54.0888111, 18.7798326 54.0886035, 18.7790471 54.0878612)",,destination,,
729711814,True,Plac Jana Pawła II,primary,False,43.123,2,"LINESTRING (18.777316 54.0919258, 18.7779695 54.0918666)",50,,,
"[729711811, 729711819]",True,Aleja Solidarności,primary,False,127.74200000000002,"['2', '3']","LINESTRING (18.777316 54.0919258, 18.7772631 54.091788, 18.7772582 54.0917707, 18.7772076 54.0915916, 18.7770812 54.0911211, 18.7769448 54.0907987)",50,,91,
27357625,True,Plac Jana Pawła II,primary,False,43.031,2,"LINESTRING (18.7781385 54.0921916, 18.7774932 54.0922724)",50,,,
729711816,True,Plac Jana Pawła II,primary,False,37.782,3,"LINESTRING (18.7779695 54.0918666, 18.7781385 54.0921916)",50,,91,
"[697868715, 1157462222]",True,Wojska Polskiego,tertiary,False,81.179,2,"LINESTRING (18.7779695 54.0918666, 18.7782415 54.0918573, 18.7782612 54.0918566, 18.7792138 54.0918545)",50,,,
