osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,junction,bridge,lanes
23554181,Jerzego Popiełuszki,tertiary,False,False,65.147,"LINESTRING (20.1301886 54.1153899, 20.1302299 54.1153324, 20.1303344 54.115187, 20.1304435 54.1150511, 20.1307889 54.1149772)",,,,,
179375844,Mostowa,tertiary,False,True,42.362,"LINESTRING (20.1301886 54.1153899, 20.1301436 54.1154589, 20.1300041 54.115673, 20.1299567 54.1157458)",,,,,
754891406,Henryka Sienkiewicza,tertiary,True,False,77.988,"LINESTRING (20.1301886 54.1153899, 20.1306994 54.1155093, 20.1313234 54.1156087)",,,,,
23554181,Jerzego Popiełuszki,tertiary,False,True,70.348,"LINESTRING (20.13177 54.1147141, 20.1313317 54.1148394, 20.1309652 54.1149364, 20.1307889 54.1149772)",,,,,
142740356,Olsztyńska,tertiary,False,False,223.333,"LINESTRING (20.13177 54.1147141, 20.1318843 54.1145281, 20.1319702 54.1142766, 20.1320318 54.1141324, 20.132043 54.114106, 20.132159 54.1138338, 20.1322107 54.1137637, 20.1324852 54.1133911, 20.1330311 54.1130003, 20.1331333 54.1129074)",,,,,
179375844,Mostowa,tertiary,False,False,41.805,"LINESTRING (20.129747 54.1161011, 20.1299567 54.1157458)",,,,,
179375844,Mostowa,tertiary,False,True,17.539,"LINESTRING (20.129747 54.1161011, 20.1296084 54.1162363)",,,,,
16233095,Rondo Braniewskie,secondary,True,False,20.130000000000003,"LINESTRING (20.1268999 54.1174535, 20.1269331 54.1174766, 20.1269516 54.1175047, 20.1269536 54.1175349, 20.1269388 54.1175638, 20.1269088 54.1175883, 20.1268669 54.1176058)",507,50,roundabout,,
"[179375844, 179375841, 23523690, 729664188]",Mostowa,tertiary,False,False,222.569,"LINESTRING (20.1268999 54.1174535, 20.1271942 54.11732, 20.1276844 54.1170997, 20.1284525 54.1167792, 20.1289493 54.116565, 20.1293421 54.1163744, 20.1296084 54.1162363)",,,,yes,
16233095,Rondo Braniewskie,secondary,True,False,13.511000000000001,"LINESTRING (20.1267069 54.1174489, 20.1267534 54.1174354, 20.1268048 54.1174316, 20.1268555 54.1174379, 20.1268999 54.1174535)",507,50,roundabout,,
"[729664186, 729664187, 23524175]",Aleja Wojska Polskiego,secondary,False,False,286.365,"LINESTRING (20.1267069 54.1174489, 20.1265937 54.1173524, 20.126276 54.1170595, 20.1254035 54.1163781, 20.1250289 54.1160624, 20.1248221 54.1157771, 20.1247594 54.1156208, 20.1247227 54.1154479, 20.1246744 54.1152198)",507,"['40', '50']",,,
16233095,Rondo Braniewskie,secondary,True,False,15.74,"LINESTRING (20.1266695 54.1175753, 20.1266485 54.1175498, 20.1266419 54.1175217, 20.1266501 54.1174939, 20.1266725 54.1174688, 20.1267069 54.1174489)",507,50,roundabout,,
62382954,Braniewska,residential,False,False,150.01000000000002,"LINESTRING (20.1266695 54.1175753, 20.1265554 54.1176267, 20.1251559 54.1182566, 20.1248456 54.1183982)",,,,,
"[8486347, 729664189]",Henryka Dąbrowskiego,secondary,False,False,250.97700000000003,"LINESTRING (20.1268669 54.1176058, 20.1269734 54.1176877, 20.1272402 54.1178488, 20.1273184 54.1178914, 20.1279136 54.1182153, 20.1284749 54.1185695, 20.1288303 54.1189303, 20.1289859 54.1192188, 20.1289941 54.119292, 20.1290069 54.1194068)",507,"['40', '50']",,,
16233095,Rondo Braniewskie,secondary,True,False,14.443000000000001,"LINESTRING (20.1268669 54.1176058, 20.1268247 54.1176137, 20.1267804 54.1176144, 20.1267375 54.1176078, 20.1266995 54.1175944, 20.1266695 54.1175753)",507,50,roundabout,,
23524173,Morąska,secondary,False,True,10.288,"LINESTRING (20.129315 54.112402, 20.1293925 54.1123214)",507;513,,,,2
