osmid,highway,junction,oneway,reversed,length,geometry,lanes,name,maxspeed,width
23511044,residential,roundabout,True,False,33.851,"LINESTRING (16.3647402 52.2290228, 16.3647941 52.22903, 16.3648418 52.2290471, 16.3648785 52.2290724, 16.3649007 52.2291033, 16.3649063 52.229137, 16.3648946 52.2291701, 16.3648668 52.2291993, 16.3648256 52.2292218, 16.3647751 52.2292355)",,,,
179604887,residential,,False,False,42.822,"LINESTRING (16.3647402 52.2290228, 16.3647626 52.2289497, 16.3648309 52.2286418)",2,Kolejowa,,
23511044,residential,roundabout,True,False,9.35,"LINESTRING (16.3646141 52.2292127, 16.3645837 52.2291917, 16.3645631 52.2291667, 16.3645536 52.2291393)",,,,
781432668,residential,,False,True,135.73000000000002,"LINESTRING (16.3646141 52.2292127, 16.3644727 52.2292962, 16.3641043 52.2296295, 16.3638119 52.229928, 16.3636479 52.2301216, 16.3635374 52.2302345)",2,Kolejowa,,
23511044,residential,roundabout,True,False,11.658999999999999,"LINESTRING (16.3647751 52.2292355, 16.3647183 52.2292389, 16.3646627 52.229231, 16.3646141 52.2292127)",,,,
273833097,residential,,False,True,92.871,"LINESTRING (16.3647751 52.2292355, 16.3648197 52.2293311, 16.3648411 52.229401, 16.3649147 52.2296907, 16.3649555 52.2297941, 16.364973 52.2298353, 16.3650005 52.2299003, 16.3650642 52.2300507)",2,Nowy Świat,,
192566596,residential,,False,True,12.351,"LINESTRING (16.3645536 52.2291393, 16.3643765 52.2291632)",2,Żwirowa,,
23511044,residential,roundabout,True,False,20.453999999999997,"LINESTRING (16.3645536 52.2291393, 16.3645592 52.2291027, 16.3645844 52.2290693, 16.3646265 52.2290431, 16.3646805 52.2290269, 16.3647402 52.2290228)",,,,
166849663,tertiary,roundabout,True,False,3.279,"LINESTRING (16.3642301 52.225338, 16.3642062 52.2253636)",,Rondo księdza kanonika Czesława Tuszyńskiego,,
116998981,tertiary,,True,False,40.237,"LINESTRING (16.3685179 52.2248056, 16.3685127 52.2246943, 16.3684944 52.2245617, 16.3685144 52.2244449)",,Garbary,50,
116998988,tertiary,roundabout,True,False,11.626,"LINESTRING (16.3685179 52.2248056, 16.3685538 52.2247915, 16.3685946 52.2247838, 16.3686372 52.224783, 16.3686787 52.2247892)",,rondo Jana Pawła II,50,
282182222,tertiary,,False,True,84.341,"LINESTRING (16.3684927 52.2236871, 16.3684805 52.2237601, 16.3685112 52.2243812, 16.3685144 52.2244449)",,Garbary,50,
