osmid,lanes,name,highway,junction,oneway,reversed,length,geometry,maxspeed
101118093,1,Rondo księdza profesora Józefa Tischnera,tertiary,roundabout,True,False,11.693,"LINESTRING (20.0312382 49.4854506, 20.0312229 49.4854361, 20.0312122 49.4854201, 20.0312065 49.4854029, 20.031206 49.4853854, 20.0312107 49.4853682, 20.0312204 49.4853518)",
329129820,1,Świętej Anny,tertiary,,True,False,27.875999999999998,"LINESTRING (20.0312382 49.4854506, 20.0311503 49.4854476, 20.0310711 49.4854496, 20.0308535 49.4854634)",50
101118105,,Skotnica,residential,,False,True,320.63,"LINESTRING (20.0244056 49.4882067, 20.02425 49.48857, 20.0242874 49.4888029, 20.0242396 49.4889031, 20.0241841 49.4889413, 20.0240291 49.4889474, 20.0239297 49.4889038, 20.0238777 49.4888199, 20.0238443 49.4885971, 20.023747 49.4883004, 20.023513 49.4881143, 20.0234 49.48799, 20.0233949 49.4875643, 20.0232608 49.4872445, 20.0231436 49.4870852)",
"[119755692, 101118126]",,Szpitalna,residential,,False,"[False, True]",169.967,"LINESTRING (20.02667 49.48964, 20.026622 49.4897152, 20.0263486 49.4901298, 20.0262599 49.4903507, 20.0262123 49.4905744, 20.0261912 49.490781, 20.0261816 49.4910276, 20.0262141 49.4911133)",
"[366319537, 161888091, 161888092]",,Cypriana Kamila Norwida,residential,,False,True,497.842,"LINESTRING (20.02667 49.48964, 20.0265858 49.4896563, 20.02636 49.4897, 20.02568 49.48995, 20.0254766 49.4900413, 20.0252313 49.4901887, 20.0251335 49.4902673, 20.02474 49.49086, 20.0246288 49.4909161, 20.0245242 49.4909361, 20.0243825 49.4909499, 20.0241042 49.4908844, 20.0238088 49.4908095, 20.023712 49.4907737, 20.0235877 49.4906876, 20.0234263 49.4905066, 20.0229352 49.489897, 20.0226001 49.4895529, 20.0219777 49.4892815)",
101118172,,Ustronie,residential,,False,False,140.174,"LINESTRING (20.0204073 49.4894388, 20.0218947 49.4902485)",
175936245,,,residential,,False,False,90.385,"LINESTRING (20.0204073 49.4894388, 20.0195477 49.4888481)",
101118089,,Skotnica Górna,residential,,False,False,202.996,"LINESTRING (20.0219777 49.4892815, 20.0221759 49.4888278, 20.0224309 49.48838, 20.02248 49.48814, 20.02246 49.48796, 20.0223053 49.4876371, 20.0222567 49.4875842, 20.0222122 49.4875384)",
101118089,,Skotnica Górna,residential,,False,True,110.45,"LINESTRING (20.0219777 49.4892815, 20.0218498 49.4895812, 20.02178 49.48979, 20.0218384 49.4899048, 20.0219049 49.4901487, 20.0218947 49.4902485)",
101118339,,Cypriana Kamila Norwida,residential,,False,True,147.762,"LINESTRING (20.0219777 49.4892815, 20.0217 49.48917, 20.0214891 49.4890846, 20.0212866 49.4889482, 20.0206122 49.4884802, 20.0204809 49.4883891)",
"[366319537, 161888091, 161888092]",,Cypriana Kamila Norwida,residential,,False,False,497.842,"LINESTRING (20.0219777 49.4892815, 20.0226001 49.4895529, 20.0229352 49.489897, 20.0234263 49.4905066, 20.0235877 49.4906876, 20.023712 49.4907737, 20.0238088 49.4908095, 20.0241042 49.4908844, 20.0243825 49.4909499, 20.0245242 49.4909361, 20.0246288 49.4909161, 20.02474 49.49086, 20.0251335 49.4902673, 20.0252313 49.4901887, 20.0254766 49.4900413, 20.02568 49.48995, 20.02636 49.4897, 20.0265858 49.4896563, 20.02667 49.48964)",
