osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry,junction,width
511728089,Aleja Wczasów,unclassified,False,False,7.114,,,,"LINESTRING (21.5672152 53.6471987, 21.5671429 53.6471512)",,
"[627886084, 408321461]",Dworcowa,primary,True,False,358.879,2,58,50,"LINESTRING (21.5672152 53.6471987, 21.5667256 53.6474817, 21.5663149 53.6477398, 21.565981 53.6479407, 21.5657459 53.6480873, 21.5653867 53.6483081, 21.5648333 53.6486524, 21.5646999 53.6487369, 21.5643524 53.6489461, 21.5640687 53.6491249, 21.5638256 53.6492791, 21.5636919 53.6493887, 21.563644 53.649429, 21.563618 53.6494652, 21.5636073 53.6495083, 21.5635921 53.6495752)",,
"[408321457, 408321458]",Dworcowa,primary,False,True,634.3850000000001,,58,50,"LINESTRING (21.5561921 53.6539964, 21.5563628 53.6538903, 21.5578345 53.6529707, 21.5588653 53.6523278, 21.5598094 53.6517322, 21.5602078 53.6514904, 21.5615299 53.6506628, 21.5615822 53.6506301, 21.5625988 53.6499981, 21.5628161 53.649857)",,
174653109,,primary,True,False,14.592,,58,50,"LINESTRING (21.5633937 53.6495299, 21.5634491 53.6495295, 21.5635028 53.6495373, 21.5635515 53.6495529, 21.5635921 53.6495752)",roundabout,
"[1050758442, 288012563, 1050758444, 1050758445]",Dworcowa,primary,True,False,345.731,2,58,50,"LINESTRING (21.5633937 53.6495299, 21.5634746 53.6494853, 21.5635188 53.6494392, 21.5635678 53.6493936, 21.563641 53.6493216, 21.5637338 53.6492444, 21.5641277 53.6489929, 21.5646172 53.6486938, 21.5647545 53.6486083, 21.565306 53.6482619, 21.5660253 53.6478132, 21.5666185 53.647463, 21.5669622 53.6472589)",,
174653109,,primary,True,False,13.957999999999998,,58,50,"LINESTRING (21.5635921 53.6495752, 21.5636281 53.6496112, 21.5636429 53.6496521, 21.5636351 53.6496937)",roundabout,
174653109,,primary,True,False,17.578,,58,50,"LINESTRING (21.5632096 53.6496314, 21.5632333 53.6495945, 21.5632747 53.6495635, 21.5633299 53.6495412, 21.5633937 53.6495299)",roundabout,
174653101,Mazurska,tertiary,True,False,41.565,1,,50,"LINESTRING (21.5636351 53.6496937, 21.5636941 53.6497514, 21.5637385 53.6497944, 21.5638125 53.6498503, 21.5638517 53.6498922, 21.5638822 53.6499441, 21.5638836 53.6500261)",,
174653109,,primary,True,False,12.616,,58,50,"LINESTRING (21.5636351 53.6496937, 21.5636091 53.6497282, 21.5635675 53.6497568, 21.5635136 53.6497772)",roundabout,
174653109,,primary,True,False,15.247,,58,50,"LINESTRING (21.5632789 53.649756, 21.5632409 53.6497301, 21.5632158 53.6496993, 21.5632051 53.6496656, 21.5632096 53.6496314)",roundabout,
174653115,Dworcowa,primary,True,False,33.849,,58,50,"LINESTRING (21.5632789 53.649756, 21.5631803 53.6497463, 21.5631026 53.6497558, 21.5630154 53.6497815, 21.5629882 53.6497889, 21.5629108 53.6498177, 21.5628161 53.649857)",,
174653109,,primary,True,False,16.500999999999998,,58,50,"LINESTRING (21.5635136 53.6497772, 21.5634659 53.6497861, 21.563416 53.6497885, 21.5633665 53.649784, 21.5633199 53.649773, 21.5632789 53.649756)",roundabout,
"[408321457, 408321458]",Dworcowa,primary,False,False,634.3850000000001,,58,50,"LINESTRING (21.5628161 53.649857, 21.5625988 53.6499981, 21.5615822 53.6506301, 21.5615299 53.6506628, 21.5602078 53.6514904, 21.5598094 53.6517322, 21.5588653 53.6523278, 21.5578345 53.6529707, 21.5563628 53.6538903, 21.5561921 53.6539964)",,
408321459,Dworcowa,primary,True,False,36.659,,58,50,"LINESTRING (21.5628161 53.649857, 21.5628777 53.6497962, 21.5629595 53.649737, 21.5630596 53.6496982, 21.563101 53.6496824, 21.5631567 53.6496579, 21.5632096 53.6496314)",,
496966304,Mazurska,tertiary,True,False,37.185,1,,50,"LINESTRING (21.5638836 53.6500261, 21.5637763 53.6499306, 21.5636554 53.6498446, 21.5635136 53.6497772)",,
1105185427,Mazurska,tertiary,False,False,103.345,2,,50,"LINESTRING (21.5638836 53.6500261, 21.5641031 53.6506228, 21.564154 53.6508119, 21.5641878 53.6509375)",,
319279330,Boczna,residential,False,True,164.339,,,,"LINESTRING (21.5641878 53.6509375, 21.5640312 53.6509635, 21.5632608 53.6510912, 21.5629771 53.651222, 21.5620986 53.6516814)",,
1105185427,Mazurska,tertiary,False,True,103.345,2,,50,"LINESTRING (21.5641878 53.6509375, 21.564154 53.6508119, 21.5641031 53.6506228, 21.5638836 53.6500261)",,
319279330,Boczna,residential,False,False,164.339,,,,"LINESTRING (21.5620986 53.6516814, 21.5629771 53.651222, 21.5632608 53.6510912, 21.5640312 53.6509635, 21.5641878 53.6509375)",,
57011107,Aleja Wczasów,unclassified,False,False,98.41999999999999,,,,"LINESTRING (21.563907 53.6469718, 21.5635619 53.6469661, 21.5631689 53.6469036, 21.5625061 53.6467071)",,
"[627886083, 57011107, 627886085]",Aleja Wczasów,unclassified,False,True,216.548,,,,"LINESTRING (21.563907 53.6469718, 21.5643875 53.6469595, 21.5648388 53.6468878, 21.5654007 53.6468088, 21.5658435 53.6467302, 21.5659054 53.646731, 21.566149 53.6467343, 21.5663258 53.6467604, 21.5666137 53.6468844, 21.5668502 53.6469921, 21.566968 53.6470524)",,
614274312,Spacerowa,residential,False,False,188.39500000000004,,,,"LINESTRING (21.563907 53.6469718, 21.563901 53.6470249, 21.5637885 53.6471009, 21.5637487 53.6471434, 21.5637355 53.6471926, 21.5636962 53.6473771, 21.5636672 53.6474605, 21.563481 53.6475654, 21.5631091 53.6477636, 21.5630791 53.6477774, 21.5627336 53.6478465, 21.5625648 53.6479025, 21.5625183 53.6479116, 21.5623355 53.6479261, 21.5619513 53.6479585)",,4.5
614274312,Spacerowa,residential,False,True,188.395,,,,"LINESTRING (21.5619513 53.6479585, 21.5623355 53.6479261, 21.5625183 53.6479116, 21.5625648 53.6479025, 21.5627336 53.6478465, 21.5630791 53.6477774, 21.5631091 53.6477636, 21.563481 53.6475654, 21.5636672 53.6474605, 21.5636962 53.6473771, 21.5637355 53.6471926, 21.5637487 53.6471434, 21.5637885 53.6471009, 21.563901 53.6470249, 21.563907 53.6469718)",,4.5
57011107,Aleja Wczasów,unclassified,False,True,98.41999999999999,,,,"LINESTRING (21.5625061 53.6467071, 21.5631689 53.6469036, 21.5635619 53.6469661, 21.563907 53.6469718)",,
627886082,Dworcowa,primary,True,False,16.89,,58,50,"LINESTRING (21.5669622 53.6472589, 21.5671429 53.6471512)",,
627886079,,residential,True,False,22.964999999999996,,,,"LINESTRING (21.5669622 53.6472589, 21.566965 53.6471605, 21.5669664 53.64711, 21.566968 53.6470524)",,
627886080,Aleja Wczasów,unclassified,False,True,15.962,,,,"LINESTRING (21.566968 53.6470524, 21.5670357 53.6470841, 21.5670669 53.6471032, 21.5671429 53.6471512)",,
"[627886083, 57011107, 627886085]",Aleja Wczasów,unclassified,False,False,216.54799999999997,,,,"LINESTRING (21.566968 53.6470524, 21.5668502 53.6469921, 21.5666137 53.6468844, 21.5663258 53.6467604, 21.566149 53.6467343, 21.5659054 53.646731, 21.5658435 53.6467302, 21.5654007 53.6468088, 21.5648388 53.6468878, 21.5643875 53.6469595, 21.563907 53.6469718)",,
511728089,Aleja Wczasów,unclassified,False,True,7.114,,,,"LINESTRING (21.5671429 53.6471512, 21.5672152 53.6471987)",,
627886080,Aleja Wczasów,unclassified,False,False,15.962,,,,"LINESTRING (21.5671429 53.6471512, 21.5670669 53.6471032, 21.5670357 53.6470841, 21.566968 53.6470524)",,
