osmid,oneway,lanes,name,highway,reversed,length,geometry,junction,maxspeed,tunnel
146874810,False,2,Grunwaldzka,residential,False,178.602,"LINESTRING (18.207944 50.3472941, 18.2088086 50.347662, 18.2091996 50.3478353, 18.2096991 50.3480649, 18.2099492 50.3482527)",,,
150032934,False,,Bałtycka,residential,False,164.80599999999998,"LINESTRING (18.207944 50.3472941, 18.2075818 50.3474608, 18.2073328 50.3476064, 18.2070548 50.347948, 18.206647 50.348485)",,,
42430845,False,2,Konstantego Damrota,residential,False,84.72,"LINESTRING (18.2090374 50.3430734, 18.2099404 50.3435718)",,,
334288344,False,,Karola Miarki,residential,False,347.581,"LINESTRING (18.2090374 50.3430734, 18.2113106 50.3414735, 18.2114181 50.3413926, 18.2115107 50.3413316, 18.2116708 50.3411947, 18.212168 50.3406804)",,,
"[418566664, 1180634113]",False,,Karola Miarki,residential,True,127.05,"LINESTRING (18.2090374 50.3430734, 18.2083986 50.3435463, 18.2080554 50.3438365, 18.2078964 50.3439532)",,,
41565326,False,,Towarowa,residential,False,266.548,"LINESTRING (18.2052169 50.3426761, 18.2052674 50.3426457, 18.2053154 50.3426221, 18.2053833 50.3425631, 18.2054368 50.3425269, 18.2054852 50.3424695, 18.2055371 50.3423995, 18.2056247 50.3422872, 18.2057022 50.3421895, 18.2057703 50.3421167, 18.2058352 50.3420537, 18.2061839 50.3417572, 18.2063613 50.3416071, 18.2065204 50.3414608, 18.2068085 50.3411915, 18.2073311 50.3407042)",,,
498042069,False,,Mikołaja Reja,residential,False,242.694,"LINESTRING (18.2052169 50.3426761, 18.2050862 50.3424227, 18.2050391 50.3423191, 18.205002 50.3422348, 18.2049936 50.3422026, 18.20486 50.3418424, 18.2047533 50.3415547, 18.2047006 50.3414078, 18.2045762 50.3410683, 18.204498 50.340963, 18.2043045 50.3407389, 18.2041688 50.3406162)",,,
"[31645216, 498042069, 498042070]",False,,Mikołaja Reja,residential,True,71.47200000000001,"LINESTRING (18.2052169 50.3426761, 18.2052004 50.3427934, 18.2050672 50.3429323, 18.2049046 50.3430928, 18.204858 50.3431544, 18.2048358 50.343183, 18.2047945 50.3432486)",,,
498042069,False,,Mikołaja Reja,residential,True,242.69399999999996,"LINESTRING (18.2041688 50.3406162, 18.2043045 50.3407389, 18.204498 50.340963, 18.2045762 50.3410683, 18.2047006 50.3414078, 18.2047533 50.3415547, 18.20486 50.3418424, 18.2049936 50.3422026, 18.205002 50.3422348, 18.2050391 50.3423191, 18.2050862 50.3424227, 18.2052169 50.3426761)",,,
447990649,False,,,residential,False,45.007,"LINESTRING (18.2073311 50.3407042, 18.2068133 50.3404705)",,50,
