osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel
205477475,4,10 Lutego,secondary,50,False,False,9.157,"LINESTRING (18.5389442 54.5195281, 18.5388028 54.5195349)",
227983124,4,10 Lutego,tertiary,50,False,True,80.23299999999999,"LINESTRING (18.5389442 54.5195281, 18.5392436 54.5195138, 18.5393313 54.5195096, 18.5400103 54.5194772, 18.5401463 54.519471, 18.5401832 54.5194693)",
165879796,2,Obrońców Wybrzeża,residential,50,False,True,15.908,"LINESTRING (18.5386359 54.5162579, 18.5383903 54.5162698)",
"[469057851, 183274291, 165879796, 469057852]",2,Obrońców Wybrzeża,residential,"['50', '30']",False,False,74.582,"LINESTRING (18.5386359 54.5162579, 18.5387919 54.5162457, 18.5389205 54.5162367, 18.5389834 54.5162323, 18.5392322 54.5162148, 18.5392844 54.5162111, 18.539544 54.5161813, 18.5397739 54.516147)",
"[182811432, 363939147, 363939150]","['4', '3']",Władysława IV,secondary,50,True,False,157.28,"LINESTRING (18.5386359 54.5162579, 18.5386599 54.5163776, 18.5387974 54.5170546, 18.5388812 54.517468, 18.5388917 54.5175197, 18.5389026 54.5175737, 18.5389147 54.517663)",
170430539,2,Armii Krajowej,tertiary,50,False,True,15.699,"LINESTRING (18.5389147 54.517663, 18.5386743 54.5176845)",
165337207,3,Władysława IV,secondary,50,True,False,105.359,"LINESTRING (18.5389147 54.517663, 18.538933 54.5178232, 18.538931 54.5181409, 18.5389265 54.5184377, 18.53892 54.5186101)",
"[1204839118, 183287303]","['2', '3']",Armii Krajowej,tertiary,"['50', '30']",False,False,99.102,"LINESTRING (18.5389147 54.517663, 18.5390348 54.5176524, 18.5391062 54.517646, 18.5391332 54.5176436, 18.539724 54.517591, 18.5399438 54.5175714, 18.540291 54.5175405, 18.5404324 54.5175279)",
27398481,,Stefana Batorego,residential,30,True,False,121.363,"LINESTRING (18.53892 54.5186101, 18.5390612 54.5186055, 18.5391246 54.5186034, 18.5393687 54.5185814, 18.5399403 54.5185215, 18.5406442 54.5184587, 18.5407755 54.5184395)",
"[363939152, 363939139, 165337207]",3,Władysława IV,secondary,50,True,False,102.091,"LINESTRING (18.53892 54.5186101, 18.5389289 54.5187988, 18.5389397 54.5192723, 18.5389421 54.5193383, 18.5389442 54.5195281)",
27398811,2,Jana Kilińskiego,residential,50,False,True,15.72,"LINESTRING (18.5381459 54.5138197, 18.5379042 54.513837)",
