osmid,lanes,name,highway,maxspeed,junction,oneway,reversed,length,geometry,bridge
173485772,1,rondo Urlicha Shroedera,tertiary,50,roundabout,True,False,9.123999999999999,"LINESTRING (14.8227239 53.5675303, 14.8227321 53.5675711, 14.8227197 53.5676114)",
23595590,,Juliusza Słowackiego,tertiary,50,,False,False,71.18400000000001,"LINESTRING (14.827186 53.5673935, 14.8270805 53.5675579, 14.8269903 53.5676974, 14.8269749 53.5677212, 14.8268704 53.5678857, 14.826803 53.5679919)",
"[175853700, 85975903]",,"['Księdza Augustyna Kordeckiego', 'Pomorska']",residential,40,,False,"[False, True]",300.03200000000004,"LINESTRING (14.827186 53.5673935, 14.8271023 53.5673801, 14.8270572 53.5673729, 14.8268362 53.5673318, 14.8264819 53.5672643, 14.8261541 53.5672078, 14.8260338 53.5671955, 14.8259248 53.567193, 14.8257756 53.5673547, 14.8256655 53.5674269, 14.8255295 53.5674783, 14.8232416 53.5682096)",
380932917,3,Juliusza Słowackiego,tertiary,50,,False,True,44.316,"LINESTRING (14.827186 53.5673935, 14.8274164 53.5670628, 14.8274428 53.5670253)",
"[1031846721, 175851604]",2,Tadeusza Kościuszki,tertiary,40,,True,False,274.803,"LINESTRING (14.827105 53.5629446, 14.8271939 53.5628889, 14.8273353 53.5628158, 14.827428 53.562771, 14.8276435 53.5627072, 14.8278852 53.5626554, 14.8281548 53.5626133, 14.8282736 53.5626049, 14.8284361 53.5625899, 14.8285969 53.56256, 14.8290905 53.5624279, 14.8290996 53.5624248, 14.8295638 53.5623261, 14.8298665 53.5622511, 14.8300006 53.5622333, 14.8302554 53.5622383, 14.8304623 53.5622847, 14.8306695 53.5623775, 14.8307191 53.5624029, 14.8308523 53.5624785)",
"[173523195, 351595430, 351595431]",2,Szczecińska,tertiary,,,False,True,56.635000000000005,"LINESTRING (14.827105 53.5629446, 14.8269986 53.5629016, 14.8269613 53.5628864, 14.8265681 53.5627204, 14.8264055 53.56265)",yes
23595626,,Grenadierów,unclassified,,,False,False,9.312,"LINESTRING (14.8369304 53.5695413, 14.836959 53.5694593)",
"[381817024, 381817018, 794454366]",2,Nowogardzka,tertiary,50,,True,False,336.39099999999996,"LINESTRING (14.8369304 53.5695413, 14.8354663 53.5691725, 14.8347719 53.5689975, 14.8343677 53.5688957, 14.8337212 53.5687365, 14.8332159 53.5686081, 14.8331845 53.5686008, 14.8329206 53.5685401, 14.8324624 53.5684498, 14.8322823 53.5684228, 14.8322066 53.568422)",
119444530,,Józefa Sorysa,residential,,,False,False,60.980000000000004,"LINESTRING (14.8328414 53.5637977, 14.8329119 53.5638181, 14.8336748 53.5640338)",
175851989,1,Pocztowa,unclassified,50,,True,False,182.16400000000002,"LINESTRING (14.8328414 53.5637977, 14.832614 53.5641374, 14.832573 53.5641987, 14.8323741 53.5645117, 14.832309 53.5646141, 14.8322572 53.5647097, 14.8322316 53.5647707, 14.8322185 53.5648241, 14.8321645 53.5650425, 14.832113 53.5652339, 14.8320875 53.5653361, 14.8320799 53.5653633)",
254468197,2,Barnima I,tertiary,,,True,False,54.866,"LINESTRING (14.8277164 53.5632756, 14.8276088 53.5631976, 14.8274662 53.5631148, 14.82739 53.5630744, 14.8272641 53.5630118, 14.827105 53.5629446)",
