osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,tunnel
5344902,False,Szkolna,unclassified,50,False,198.485,"LINESTRING (22.0666297 51.1909878, 22.0664594 51.1909206, 22.0663573 51.1908803, 22.0661314 51.1907894, 22.0658171 51.1906598, 22.0656651 51.1905985, 22.0655116 51.1905365, 22.0652071 51.1904136, 22.0642347 51.1900218)",,
173194840,False,Nałęczowska,tertiary,,False,114.655,"LINESTRING (22.0666297 51.1909878, 22.0667229 51.1908967, 22.0668919 51.1907315, 22.0674384 51.1901971, 22.0675175 51.1901197)",,
173194840,False,Nałęczowska,tertiary,,True,43.184,"LINESTRING (22.0666297 51.1909878, 22.0664053 51.1912083, 22.0662964 51.1913152)",,
5344909,True,Targowa,residential,,False,209.448,"LINESTRING (22.0675175 51.1901197, 22.0673969 51.1900767, 22.0672309 51.1900137, 22.0671783 51.1899937, 22.0669631 51.1899121, 22.0668508 51.1898695, 22.0667473 51.1898302, 22.0666738 51.1898024, 22.0665979 51.1897719, 22.0664245 51.1897023, 22.0663962 51.1896909, 22.0663553 51.1896745, 22.0662276 51.1896232, 22.0658791 51.1894833, 22.0658261 51.189462, 22.0656752 51.1894014, 22.065541 51.1893475, 22.0654813 51.1893235, 22.0651331 51.189185, 22.0649704 51.1891203)",,
173194840,False,Nałęczowska,tertiary,,False,55.46000000000001,"LINESTRING (22.0675175 51.1901197, 22.0676414 51.1900021, 22.0676796 51.1899647, 22.0678188 51.1898286, 22.0679494 51.1897008)",,
173194840,False,Nałęczowska,tertiary,,True,114.655,"LINESTRING (22.0675175 51.1901197, 22.0674384 51.1901971, 22.0668919 51.1907315, 22.0667229 51.1908967, 22.0666297 51.1909878)",,
5344902,False,Szkolna,unclassified,50,False,14.59,"LINESTRING (22.0642347 51.1900218, 22.0640547 51.1899548)",,
5344902,False,Szkolna,unclassified,50,True,198.48499999999999,"LINESTRING (22.0642347 51.1900218, 22.0652071 51.1904136, 22.0655116 51.1905365, 22.0656651 51.1905985, 22.0658171 51.1906598, 22.0661314 51.1907894, 22.0663573 51.1908803, 22.0664594 51.1909206, 22.0666297 51.1909878)",,
537446384,False,Przechodnia,residential,,True,96.54100000000001,"LINESTRING (22.0642347 51.1900218, 22.0641852 51.1900709, 22.064068 51.1901871, 22.0639015 51.1903522, 22.0636282 51.190623, 22.0636109 51.1906382, 22.0634829 51.1907508)",,
5344902,False,Szkolna,unclassified,50,True,166.18900000000002,"LINESTRING (22.0605486 51.1885119, 22.0609763 51.1886888, 22.0614955 51.1889035, 22.0616009 51.1889471, 22.061791 51.1890257, 22.0619803 51.189104, 22.0623002 51.1892363, 22.062539 51.189335)",,
