osmid,name,highway,width,oneway,reversed,length,geometry,bridge,ref,maxspeed
39159742,Generała Władysława Sikorskiego,residential,4,False,False,284.075,"LINESTRING (15.2877781 51.1172274, 15.287712 51.1172378, 15.2875475 51.1172602, 15.2873046 51.1172858, 15.2867915 51.1173318, 15.286546 51.1173533, 15.2864882 51.1173578, 15.2864183 51.1173587, 15.2863566 51.1173477, 15.2863071 51.1173326, 15.2861675 51.1172844, 15.2856752 51.1171199, 15.2852969 51.1169935, 15.2848665 51.1168485, 15.2841752 51.116601, 15.2840492 51.1165577)",,,
186602084,Jarosława Dąbrowskiego,unclassified,,False,True,124.25099999999998,"LINESTRING (15.2877781 51.1172274, 15.2873821 51.1170261, 15.2871019 51.1168825, 15.2869162 51.1167924, 15.2867399 51.1167029, 15.2865625 51.1166209, 15.2863727 51.1165427)",,,
"[186603899, 287045694, 287045695]",Adama Mickiewicza,residential,4,False,False,87.026,"LINESTRING (15.2833725 51.1169977, 15.2833223 51.1170605, 15.2831618 51.117275, 15.2830982 51.1173942, 15.2830893 51.1174288, 15.2830823 51.1174655, 15.2830811 51.1175001, 15.2830823 51.11754, 15.2830872 51.1175899, 15.2831007 51.1176459, 15.2831371 51.1177397)",yes,,
186603899,Adama Mickiewicza,residential,4,False,True,68.354,"LINESTRING (15.2833725 51.1169977, 15.283491 51.1169457, 15.2835343 51.1169251, 15.2835741 51.1169029, 15.2836334 51.1168663, 15.2837228 51.116804, 15.2840492 51.1165577)",,,
213740039,Ignacego Łukasiewicza,residential,,False,True,131.414,"LINESTRING (15.2833725 51.1169977, 15.283309 51.1169736, 15.2829636 51.1168478, 15.2827288 51.1167577, 15.2824621 51.1166446, 15.2821999 51.1165158, 15.2818184 51.1163338)",,,
"[53508480, 1050706451]",Karola Miarki,residential,,False,"[False, True]",490.52000000000004,"LINESTRING (15.2831371 51.1177397, 15.2828466 51.1176083, 15.2821524 51.1171965, 15.281904 51.1170197, 15.2816348 51.1168414, 15.2816074 51.1168233, 15.2812904 51.1166109, 15.2810162 51.1164141, 15.2806159 51.1162044, 15.2806066 51.1161995, 15.2799354 51.1158541, 15.2798928 51.1158321, 15.279855 51.1158127, 15.2788257 51.1152425, 15.2786972 51.1151777, 15.278049 51.1148449, 15.2779353 51.1147865)",,,
287045695,Adama Mickiewicza,residential,4,False,False,82.88899999999998,"LINESTRING (15.2831371 51.1177397, 15.283143 51.1177653, 15.2831461 51.1177812, 15.283139 51.1178144, 15.28312 51.1178461, 15.2830972 51.1178686, 15.2829925 51.1179712, 15.2828458 51.118102, 15.2826527 51.1182685, 15.2825391 51.1183672)",,,
"[186603899, 287045694, 287045695]",Adama Mickiewicza,residential,4,False,True,87.026,"LINESTRING (15.2831371 51.1177397, 15.2831007 51.1176459, 15.2830872 51.1175899, 15.2830823 51.11754, 15.2830811 51.1175001, 15.2830823 51.1174655, 15.2830893 51.1174288, 15.2830982 51.1173942, 15.2831618 51.117275, 15.2833223 51.1170605, 15.2833725 51.1169977)",yes,,
287045695,Adama Mickiewicza,residential,4,False,True,82.88900000000001,"LINESTRING (15.2825391 51.1183672, 15.2826527 51.1182685, 15.2828458 51.118102, 15.2829925 51.1179712, 15.2830972 51.1178686, 15.28312 51.1178461, 15.283139 51.1178144, 15.2831461 51.1177812, 15.283143 51.1177653, 15.2831371 51.1177397)",,,
"[226390050, 364383093, 364383094]",Armii Krajowej,secondary,4,False,True,391.53800000000007,"LINESTRING (15.2825391 51.1183672, 15.2823426 51.1183019, 15.2809344 51.1178282, 15.2801211 51.1175162, 15.2799393 51.1174438, 15.2798475 51.1174003, 15.2797097 51.1173311, 15.2796064 51.1172768, 15.2794628 51.117205, 15.2793121 51.1171433, 15.2791342 51.1170964, 15.2789649 51.1170658, 15.2787377 51.1170238, 15.278664 51.1170118, 15.278555 51.1169946, 15.2782541 51.1169522, 15.2781308 51.1169349, 15.2778058 51.1168893, 15.2775428 51.1168539)",yes,357,50
