osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,width,tunnel
172896210,Dworcowa,residential,False,True,57.46,"LINESTRING (17.2259383 52.3961848, 17.2258727 52.3956696)",,,,
263783365,Doktora Romana Szymańskiego,residential,True,False,76.396,"LINESTRING (17.2259383 52.3961848, 17.2260459 52.3961945, 17.2270522 52.396285)",,,,
172896212,Doktora Romana Szymańskiego,residential,True,False,77.065,"LINESTRING (17.22838 52.396413, 17.2272581 52.3963049)",,,,
172896227,Średzka,tertiary,False,False,169.94500000000002,"LINESTRING (17.22838 52.396413, 17.2283472 52.3964971, 17.2282917 52.3966416, 17.2281051 52.3971874, 17.2280935 52.3972486, 17.2280869 52.3972836, 17.228072 52.3973618, 17.2280469 52.3975184, 17.2280338 52.3978079, 17.2280332 52.3978519, 17.228027 52.3979212)",2,,,
172896227,Średzka,tertiary,False,True,114.923,"LINESTRING (17.22838 52.396413, 17.2285914 52.3957886, 17.228678 52.3956674, 17.2289527 52.3954638)",2,,,
172896227,Średzka,tertiary,False,True,169.945,"LINESTRING (17.228027 52.3979212, 17.2280332 52.3978519, 17.2280338 52.3978079, 17.2280469 52.3975184, 17.228072 52.3973618, 17.2280869 52.3972836, 17.2280935 52.3972486, 17.2281051 52.3971874, 17.2282917 52.3966416, 17.2283472 52.3964971, 17.22838 52.396413)",2,,,
"[263783381, 173205534]","['Rynek', 'Poznańska']",tertiary,False,False,126.16300000000001,"LINESTRING (17.228027 52.3979212, 17.2278208 52.3979233, 17.2272814 52.3979395, 17.2270302 52.397948, 17.2268864 52.3979542, 17.2261709 52.3979865)",2,,,
431615743,Wrzesińska,tertiary,False,False,289.432,"LINESTRING (17.228027 52.3979212, 17.2281858 52.3979198, 17.2282447 52.3979204, 17.2296798 52.397932, 17.231235 52.3979445, 17.2320606 52.3979511, 17.2322925 52.397953)",2,40,,
611904870,Rynek,residential,False,False,69.558,"LINESTRING (17.228027 52.3979212, 17.2280309 52.3980129, 17.2280374 52.398055, 17.2281056 52.3984482, 17.2281222 52.3985438)",3,,,
194923118,Generała Józefa Hallera,residential,False,False,7.386,"LINESTRING (17.2214835 52.3981993, 17.2214627 52.3982645)",,,,
198088330,Poznańska,tertiary,False,False,65.185,"LINESTRING (17.2214835 52.3981993, 17.2211502 52.3981333, 17.2205697 52.3980183)",2,40,,
198088330,Poznańska,tertiary,False,True,58.849000000000004,"LINESTRING (17.2214835 52.3981993, 17.2216629 52.3982232, 17.2218294 52.3982397, 17.2219659 52.3982506, 17.2221246 52.3982571, 17.2223427 52.3982511)",2,40,,
172114157,Warszawska,residential,False,False,55.882,"LINESTRING (17.221836 52.3940783, 17.2226513 52.3940073)",,,,
172114157,Warszawska,residential,False,True,58.967,"LINESTRING (17.221836 52.3940783, 17.2211976 52.3941339, 17.220976 52.3941545)",,,,
