osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,ref,junction
188065207,2,Poznańska,tertiary,False,False,14.024,"LINESTRING (16.9850521 51.7769286, 16.9849471 51.7768205)",,,
188065207,2,Poznańska,tertiary,False,True,108.092,"LINESTRING (16.9850521 51.7769286, 16.9852273 51.7770218, 16.9855041 51.777121, 16.9857705 51.7772031, 16.9860064 51.7772852, 16.9861981 51.7773636, 16.9863738 51.7774477)",,,
242467400,,Świętego Idziego,living_street,True,False,159.40200000000002,"LINESTRING (16.9850521 51.7769286, 16.9853137 51.7768804, 16.9856871 51.7768742, 16.9861804 51.7769213, 16.9863397 51.7769514, 16.9864499 51.7770102, 16.9865336 51.7770899, 16.9865784 51.7774164, 16.9864874 51.7775096)",,,
30022052,1,Rynek,tertiary,True,False,14.159,"LINESTRING (16.983964 51.7739946, 16.9841685 51.7740088)",50,,
188065205,2,Powstańców Wielkopolskich,tertiary,False,False,3.903,"LINESTRING (16.983964 51.7739946, 16.9839103 51.7739833)",,,
94939097,,Świętego Ducha,tertiary,False,False,166.08800000000002,"LINESTRING (16.9821267 51.7740253, 16.9821802 51.7738629, 16.9822557 51.7735718, 16.9822837 51.7734941, 16.9823452 51.7734264, 16.9824395 51.7733663, 16.982567 51.7733257, 16.9830971 51.7731719, 16.9834627 51.7730668, 16.9835972 51.7730285)",,,
188065205,2,Powstańców Wielkopolskich,tertiary,False,False,281.20599999999996,"LINESTRING (16.9821267 51.7740253, 16.9818223 51.7740226, 16.9806658 51.7740744, 16.9804793 51.7740827, 16.9803009 51.7740898, 16.9801072 51.7740878, 16.9799742 51.7740794, 16.9797959 51.7740556, 16.979531 51.7740109, 16.9788616 51.7738799, 16.9783477 51.7737815, 16.9782416 51.7737565, 16.9781359 51.7737221)",,,
188065205,2,Powstańców Wielkopolskich,tertiary,False,True,68.39,"LINESTRING (16.9821267 51.7740253, 16.9826033 51.7740445, 16.9829285 51.7740331, 16.9831184 51.7740226)",,,
235756277,1,Jutrosińska,tertiary,True,False,123.646,"LINESTRING (16.9849362 51.7739352, 16.9850887 51.7738901, 16.9851355 51.7738273, 16.9851407 51.7738227, 16.9850416 51.773375, 16.9849362 51.7728987)",,,
954400754,1,Rynek,tertiary,True,False,51.843999999999994,"LINESTRING (16.9849362 51.7739352, 16.9850163 51.7742413, 16.9850652 51.7743945)",50,,
