osmid,name,highway,oneway,reversed,length,bridge,geometry,lanes,ref,maxspeed,junction
"[395686441, 149570243, 149570244, 100277214]",Generała Józefa Hallera,residential,False,False,177.351,yes,"LINESTRING (18.5293455 53.9698726, 18.5296876 53.969797, 18.5302535 53.9696474, 18.5302723 53.9696409, 18.5303702 53.9696102, 18.530531 53.9695434, 18.5307227 53.9694346, 18.5307688 53.9694084, 18.5309975 53.9692786, 18.5311357 53.9691963, 18.5313677 53.969058, 18.5314234 53.969031, 18.5314795 53.9690063, 18.5315463 53.968982)",,,,
162696968,Aleja Jana Pawła II,residential,False,False,135.07500000000002,,"LINESTRING (18.5310581 53.9634893, 18.5310751 53.963599, 18.5311317 53.9640322, 18.5311788 53.964625, 18.5311876 53.9647015)",,,,
162696973,Pomorska,tertiary,False,False,182.158,,"LINESTRING (18.5310581 53.9634893, 18.5312777 53.9634759, 18.5316263 53.9634534, 18.5327228 53.963378, 18.5335342 53.9633176, 18.5336277 53.9633118, 18.5337187 53.9633057, 18.5338239 53.9632996)",2,222,50,
"[649268089, 649268094, 28387343]",Pomorska,tertiary,False,True,220.911,,"LINESTRING (18.5310581 53.9634893, 18.530749 53.96351, 18.5298848 53.9635782, 18.5292602 53.9636379, 18.5288653 53.9636773, 18.5285367 53.9637101, 18.5282946 53.9637404, 18.5281377 53.9637562, 18.5280527 53.9637654, 18.5277246 53.9638028)","['2', '3']",222,50,
162567575,Lubichowska,tertiary,False,True,219.659,,"LINESTRING (18.5262386 53.9640636, 18.5263495 53.9641992, 18.5265628 53.9644405, 18.5268044 53.964713, 18.5269133 53.964841, 18.5269675 53.9649051, 18.5271729 53.9651623, 18.5273666 53.965767, 18.5273937 53.9658514, 18.5274053 53.9658964)",,,50,
649268090,Pomorska,tertiary,False,True,38.68,,"LINESTRING (18.5262386 53.9640636, 18.5264925 53.9640023, 18.526793 53.9639432)",3,222,50,
546273119,Tadeusza Kościuszki,residential,False,False,12.762,,"LINESTRING (18.5313047 53.9656284, 18.5314965 53.9656074)",,,,
"[758258032, 1201598508]",Tadeusza Kościuszki,residential,False,True,58.721999999999994,,"LINESTRING (18.5313047 53.9656284, 18.531022 53.9656637, 18.5307698 53.9656888, 18.530423 53.9657273)",2,,30,
946429909,Aleja Jana Pawła II,residential,False,True,82.155,,"LINESTRING (18.5313047 53.9656284, 18.5312408 53.9655097, 18.5312162 53.9650397, 18.5312183 53.9648956)",,,,
99290905,Ignacego Paderewskiego,residential,True,False,85.318,,"LINESTRING (18.5329025 53.9654682, 18.5328865 53.9655886, 18.5328697 53.9657152, 18.5328436 53.9659119, 18.5328393 53.9659803, 18.532828 53.9661575, 18.5328232 53.9662339)",,,20,
162696976,Tadeusza Kościuszki,residential,False,False,80.985,,"LINESTRING (18.5329025 53.9654682, 18.5330895 53.965453, 18.534129 53.9653689)",3,,50,
"[1217853120, 1217853121, 28692348]",Tadeusza Kościuszki,residential,False,True,93.27199999999999,,"LINESTRING (18.5329025 53.9654682, 18.5326634 53.9654878, 18.5322551 53.9655287, 18.5319933 53.9655549, 18.5314965 53.9656074)","['2', '3']",,50,
28801260,Chojnicka,residential,True,False,31.970999999999997,,"LINESTRING (18.5277027 53.9665569, 18.5275343 53.9665685, 18.5274605 53.9665736, 18.5272156 53.9665731)",1,,50,
162874645,Rondo Starogardzkich Strażaków,tertiary,True,False,20.45,,"LINESTRING (18.5277027 53.9665569, 18.5276494 53.9665098, 18.5275836 53.9663885)",1,,50,roundabout
28492418,Lubichowska,tertiary,True,False,30.663999999999994,,"LINESTRING (18.5275009 53.9661662, 18.5274688 53.9660943, 18.5274404 53.966013, 18.5274286 53.9659791, 18.5274053 53.9658964)",,,50,
162612386,,tertiary,True,False,21.820999999999998,,"LINESTRING (18.5275009 53.9661662, 18.5275167 53.9660871, 18.5275757 53.9660298, 18.5276461 53.9660025)",1,,50,roundabout
99290901,Plac Koszarowy,residential,True,False,90.029,,"LINESTRING (18.5328211 53.9663968, 18.5330729 53.9664071, 18.533502 53.9664057, 18.5335204 53.9668143)",,,,
"[99290435, 162696975, 241323416, 99290905, 292950943]","['Podgórna', 'Rynek', 'Ignacego Paderewskiego']","['residential', 'living_street']",True,False,201.933,,"LINESTRING (18.5328211 53.9663968, 18.5328408 53.9667243, 18.5328329 53.9668336, 18.5327861 53.9668635, 18.5327448 53.9668954, 18.5327036 53.9669607, 18.5327014 53.9669858, 18.5327269 53.9673105, 18.5327506 53.9676107, 18.5327719 53.9676473, 18.5328153 53.9676828, 18.5328888 53.9677308, 18.5329102 53.9677653, 18.5329214 53.9678212, 18.5329325 53.9679779, 18.5329451 53.9681587)",1,,20,
99000609,Księdza Kellera,residential,True,False,54.679,,"LINESTRING (18.5319879 53.9664319, 18.532408 53.9664083, 18.5326858 53.9663959, 18.5328211 53.9663968)",,,,
1151491960,Księdza Kellera,residential,True,False,45.88199999999999,,"LINESTRING (18.5319879 53.9664319, 18.5319197 53.9664513, 18.5316411 53.9664716, 18.5313611 53.9664834, 18.5312981 53.966476)",1,,20,
99290905,Ignacego Paderewskiego,residential,True,False,18.114,,"LINESTRING (18.5328232 53.9662339, 18.5328211 53.9663968)",,,20,
28784989,Plac 16 Dywizji,residential,True,False,75.436,,"LINESTRING (18.5328232 53.9662339, 18.5327406 53.9662383, 18.5319496 53.9662703, 18.5319631 53.9663406, 18.5319879 53.9664319)",,,,
162874647,Rondo Starogardzkich Strażaków,tertiary,True,False,54.864999999999995,,"LINESTRING (18.5279796 53.9661163, 18.5279619 53.9664295, 18.5279252 53.9665207, 18.5278062 53.9665712)",1,,50,roundabout
28784988,Rondo Starogardzkich Strażaków,tertiary,True,False,6.954,,"LINESTRING (18.5278062 53.9665712, 18.5277027 53.9665569)",1,,50,roundabout
99698691,2 Pułku Szwoleżerów Rokitniańskich,residential,False,False,96.69200000000001,,"LINESTRING (18.522219 53.9667874, 18.521792 53.9666419, 18.5209758 53.9663178)",2,,50,
162567573,Chojnicka,residential,False,True,328.915,,"LINESTRING (18.522219 53.9667874, 18.5227251 53.9668251, 18.5231836 53.9668433, 18.5234088 53.9668346, 18.5235415 53.9668291, 18.5242254 53.9667821, 18.5254451 53.9666979, 18.5266627 53.9666095, 18.5270422 53.9665802, 18.5272156 53.9665731)",2,,50,
258822369,Parkowa,residential,False,True,406.416,,"LINESTRING (18.522219 53.9667874, 18.522095 53.9675802, 18.5221035 53.9677914, 18.522221 53.9679015, 18.522311 53.9681231, 18.5223936 53.96835, 18.5224103 53.968427, 18.5224578 53.9686465, 18.5224278 53.968867, 18.522488 53.9690826, 18.5224368 53.9691634, 18.5223829 53.9692085, 18.5220733 53.9693204, 18.5219013 53.969356, 18.5215509 53.9693771, 18.5206158 53.9693567, 18.5204475 53.9693511)",,,,
"[98995058, 308430542]",Tadeusza Kościuszki,residential,True,False,118.902,,"LINESTRING (18.534129 53.9653689, 18.5341186 53.9653154, 18.5340803 53.965119, 18.5339484 53.9643977, 18.5339466 53.9643054)",,,50,
162696976,Tadeusza Kościuszki,residential,False,True,80.985,,"LINESTRING (18.534129 53.9653689, 18.5330895 53.965453, 18.5329025 53.9654682)",3,,50,
161991867,Tadeusza Kościuszki,residential,False,True,22.276,,"LINESTRING (18.5338239 53.9632996, 18.5338377 53.9633887, 18.5338548 53.9634991)",,,,
162696973,Pomorska,tertiary,False,True,182.158,,"LINESTRING (18.5338239 53.9632996, 18.5337187 53.9633057, 18.5336277 53.9633118, 18.5335342 53.9633176, 18.5327228 53.963378, 18.5316263 53.9634534, 18.5312777 53.9634759, 18.5310581 53.9634893)",2,222,50,
99698691,2 Pułku Szwoleżerów Rokitniańskich,residential,False,True,96.69200000000001,,"LINESTRING (18.5209758 53.9663178, 18.521792 53.9666419, 18.522219 53.9667874)",2,,50,
1180920038,Fryderyka Chopina,residential,True,False,54.465999999999994,,"LINESTRING (18.5207923 53.9667926, 18.5208064 53.9667105, 18.5208285 53.9665815, 18.5209372 53.9663784, 18.5209508 53.966357, 18.5209758 53.9663178)",2,,50,
258822369,Parkowa,residential,False,False,406.416,,"LINESTRING (18.5204475 53.9693511, 18.5206158 53.9693567, 18.5215509 53.9693771, 18.5219013 53.969356, 18.5220733 53.9693204, 18.5223829 53.9692085, 18.5224368 53.9691634, 18.522488 53.9690826, 18.5224278 53.968867, 18.5224578 53.9686465, 18.5224103 53.968427, 18.5223936 53.96835, 18.522311 53.9681231, 18.522221 53.9679015, 18.5221035 53.9677914, 18.522095 53.9675802, 18.522219 53.9667874)",,,,
162567581,Rycerska,residential,True,False,38.152,,"LINESTRING (18.5312981 53.966476, 18.5312757 53.9661927, 18.5311953 53.9661566)",1,,20,
395184146,Rycerska,residential,True,False,46.324,,"LINESTRING (18.5312972 53.9668926, 18.5312981 53.966476)",1,,20,
8079744,Chojnicka,residential,True,False,41.284000000000006,,"LINESTRING (18.5312972 53.9668926, 18.5309395 53.9668846, 18.5308031 53.9668808, 18.5306666 53.9668771)",1,,20,
99699123,Krzywa,residential,True,False,38.231,,"LINESTRING (18.5304995 53.9661794, 18.530383 53.9662239, 18.5302207 53.966468)",,,20,
"[758258033, 99699326]",,residential,False,True,50.553000000000004,,"LINESTRING (18.5304995 53.9661794, 18.5304624 53.9659181, 18.53045 53.9658192, 18.530431 53.9657545, 18.530423 53.9657273)",2,,50,
981932757,Wodna,residential,False,False,44.473,,"LINESTRING (18.532979 53.9684527, 18.5336564 53.9684182)",,,,
"[149570259, 149570260, 982288989]",Podgórna,"['living_street', 'residential']",True,False,38.312,yes,"LINESTRING (18.532979 53.9684527, 18.532997 53.9686518, 18.5330063 53.9687486, 18.533012 53.9687967)",1,,20,
162567574,Kanałowa,residential,False,False,98.348,,"LINESTRING (18.533012 53.9687967, 18.5322549 53.9688781, 18.5317832 53.9689288, 18.5316656 53.9689486, 18.5315463 53.968982)",,,,
