osmid,ref,name,highway,maxspeed,junction,oneway,reversed,length,geometry,lanes
27392731,92,Rondo NSZZ “Solidarność”,primary,50,roundabout,True,False,20.451,"LINESTRING (17.8658205 52.2899545, 17.8657604 52.2899553, 17.8657023 52.2899457, 17.8656511 52.2899264, 17.8656109 52.2898991, 17.8655849 52.2898659)",
108008558,92,Poznańska,primary,50,,True,False,31.564999999999998,"LINESTRING (17.8658205 52.2899545, 17.8656421 52.2899999, 17.8654058 52.2900809)",1
181131762,92,Poznańska,primary,50,,True,False,26.834,"LINESTRING (17.8654058 52.2900809, 17.8655248 52.289935, 17.8655462 52.2899104, 17.8655849 52.2898659)",2
35814941,,Kościelna,residential,,,True,False,79.327,"LINESTRING (17.8728308 52.2869877, 17.8727866 52.2869373, 17.8723665 52.2863335)",
35816894,,Warszawska,residential,,,True,False,92.753,"LINESTRING (17.8728308 52.2869877, 17.873218 52.2869047, 17.8734743 52.2868511, 17.8736437 52.2868149, 17.8739848 52.2867737, 17.8740932 52.2867607, 17.8741376 52.2867566)",
35823391,,Marcina ze Słupcy,residential,,,True,False,61.131,"LINESTRING (17.8723665 52.2863335, 17.871596 52.2866165)",
35815053,,Sukiennicza,residential,,,True,False,13.834,"LINESTRING (17.8716904 52.2867267, 17.871596 52.2866165)",
353179791,,Plac Wolności,residential,,,False,True,81.292,"LINESTRING (17.8716904 52.2867267, 17.8714163 52.2868264, 17.8707822 52.2870571, 17.8706632 52.2871004)",
35823394,,Adama Mickiewicza,residential,,,True,False,13.462,"LINESTRING (17.8705135 52.2870212, 17.8706632 52.2871004)",
35823395,,Bóżnicza,residential,,,True,False,59.25,"LINESTRING (17.8705135 52.2870212, 17.8704213 52.2870551, 17.8697669 52.2872957)",
35814940,,Poznańska,residential,,,True,False,3.25,"LINESTRING (17.8710273 52.2875867, 17.8710677 52.2875711)",
35823773,,21 Stycznia,residential,,,True,False,65.705,"LINESTRING (17.8710273 52.2875867, 17.8711048 52.2876786, 17.87147 52.2881119)",
353179790,,Plac Wolności,residential,,,True,False,61.726,"LINESTRING (17.8721371 52.2872099, 17.8720424 52.2871074, 17.8716904 52.2867267)",
936317669,,Warszawska,residential,,,True,False,53.262,"LINESTRING (17.8721371 52.2872099, 17.8722595 52.2871707, 17.8728308 52.2869877)",
35823394,,Adama Mickiewicza,residential,,,True,False,59.0,"LINESTRING (17.8700624 52.286568, 17.8705135 52.2870212)",
35815247,,Poznańska,residential,,,True,False,48.251,"LINESTRING (17.8697684 52.2880939, 17.8703488 52.2878444)",1
35815248,,Elektrowniana,residential,,,True,False,78.988,"LINESTRING (17.8697684 52.2880939, 17.8691412 52.2877363, 17.8689122 52.2876141)",
35817254,,Bóżnicza,residential,,,False,False,146.567,"LINESTRING (17.8689122 52.2876141, 17.8686282 52.2876621, 17.8682262 52.2876936, 17.8677079 52.2877033, 17.867422 52.2876972, 17.866773 52.2876722)",
35815247,,Poznańska,residential,,,True,False,244.71300000000002,"LINESTRING (17.8669292 52.2894454, 17.8670318 52.2893931, 17.8672076 52.2893067, 17.8676244 52.2891018, 17.8683749 52.2887533, 17.8696429 52.2881533, 17.8697684 52.2880939)",1
108008555,,Rondo Polskiej Organizacji Wojskowej,tertiary,50,roundabout,True,False,18.817,"LINESTRING (17.8669292 52.2894454, 17.8669732 52.2894414, 17.8670169 52.2894465, 17.8670554 52.2894601, 17.8670845 52.2894807, 17.8671009 52.2895059, 17.8671027 52.2895331, 17.8671 52.2895389)",1
108008555,,Rondo Polskiej Organizacji Wojskowej,tertiary,50,roundabout,True,False,6.758,"LINESTRING (17.8668541 52.2894833, 17.8668737 52.289467, 17.8668993 52.2894541, 17.8669292 52.2894454)",1
108008555,,Rondo Polskiej Organizacji Wojskowej,tertiary,50,roundabout,True,False,13.235,"LINESTRING (17.8668939 52.2895896, 17.8668657 52.2895732, 17.8668464 52.2895525, 17.8668377 52.2895293, 17.8668404 52.2895056, 17.8668541 52.2894833)",1
230492482,,Poznańska,tertiary,50,,True,False,71.147,"LINESTRING (17.8668939 52.2895896, 17.8667799 52.2896019, 17.8665725 52.2896438, 17.8663172 52.2897693, 17.8662539 52.289795, 17.8661741 52.2898198, 17.8660417 52.2898539, 17.8659789 52.2898792)",1
27392731,92,Rondo NSZZ “Solidarność”,primary,50,roundabout,True,False,6.309,"LINESTRING (17.8655849 52.2898659, 17.865576 52.289838, 17.8655773 52.2898097)",
