osmid,oneway,name,highway,reversed,length,lanes,maxspeed,geometry,ref,bridge,tunnel
224345531,True,Zamkowa,residential,False,38.154,,,"LINESTRING (16.8772915 50.5243751, 16.8777829 50.5242332)",,,
281426076,False,Kolejowa,tertiary,False,26.854,2,50,"LINESTRING (16.8772915 50.5243751, 16.8775437 50.5245557)",,,
167489651,False,Szpitalna,residential,True,311.658,,,"LINESTRING (16.8772915 50.5243751, 16.8772447 50.5243989, 16.8770838 50.5244805, 16.8769132 50.5246497, 16.8765673 50.5252967, 16.8761967 50.5258754, 16.8756165 50.5269379)",,,
281426076,False,Kolejowa,tertiary,True,215.692,2,50,"LINESTRING (16.8772915 50.5243751, 16.8771222 50.524253, 16.8763372 50.5236869, 16.8758785 50.5233447, 16.8756698 50.523204, 16.8754446 50.5230717, 16.8753583 50.5230376, 16.8752682 50.5230053, 16.8751924 50.5229809)",,,
940371456,False,Kolejowa,tertiary,False,112.607,2,50,"LINESTRING (16.8781613 50.525064, 16.878389 50.5251857, 16.8787346 50.5253496, 16.8794272 50.5256783)",,,
940371456,False,Kolejowa,tertiary,True,71.424,2,50,"LINESTRING (16.8781613 50.525064, 16.8779084 50.5248622, 16.8775437 50.5245557)",,,
28887259,False,,residential,False,24.716,,,"LINESTRING (16.8780503 50.52409, 16.8777829 50.5242332)",,,
"[692804065, 167489373]",False,Nauczycielska,"['residential', 'living_street']",True,262.796,,20,"LINESTRING (16.8780503 50.52409, 16.8779116 50.5239905, 16.877525 50.5237256, 16.8770687 50.5234154, 16.8768493 50.5232792, 16.876564 50.5230854, 16.8757727 50.5225664, 16.8757281 50.5225514, 16.875679 50.5225699, 16.8754741 50.522712)",,,
815857905,False,Zamkowa,residential,True,52.971999999999994,,,"LINESTRING (16.8780503 50.52409, 16.8781524 50.5240223, 16.8782543 50.5239394, 16.878335 50.5238581, 16.878471 50.5236988)",,,
28887259,False,,residential,True,24.716,,,"LINESTRING (16.8777829 50.5242332, 16.8780503 50.52409)",,,
281426081,True,,residential,False,40.801,,,"LINESTRING (16.8777829 50.5242332, 16.8777552 50.5243121, 16.8776625 50.5244849, 16.8775437 50.5245557)",,,
281426076,False,Kolejowa,tertiary,True,26.854,2,50,"LINESTRING (16.8775437 50.5245557, 16.8772915 50.5243751)",,,
940371456,False,Kolejowa,tertiary,False,71.424,2,50,"LINESTRING (16.8775437 50.5245557, 16.8779084 50.5248622, 16.8781613 50.525064)",,,
211148016,False,Ząbkowicka,secondary,True,22.895,2,50,"LINESTRING (16.8690714 50.527042, 16.8692571 50.5268733)",382,,
771064594,True,Kłodzka,tertiary,False,31.235999999999997,1,,"LINESTRING (16.8690714 50.527042, 16.8689431 50.5269127, 16.8688265 50.5268083)",,,
1090826295,False,Zamkowa,residential,False,60.257999999999996,,,"LINESTRING (16.8787276 50.5231842, 16.8786783 50.5233103, 16.8786309 50.5234314, 16.8785924 50.5235298, 16.878471 50.5236988)",,,
"[710053545, 281427659, 281427661, 1090826295, 227457691]",False,Zamkowa,residential,True,407.54699999999997,,,"LINESTRING (16.8787276 50.5231842, 16.8789336 50.5225357, 16.8789621 50.5224228, 16.8789537 50.522269, 16.8789444 50.5222084, 16.8789142 50.5220066, 16.8788436 50.5217336, 16.8786875 50.5216423, 16.878573 50.5215511, 16.8785031 50.5214861, 16.8783712 50.5213335, 16.8781077 50.5209518, 16.8779974 50.5208271, 16.8778457 50.5207343, 16.8776411 50.5206414, 16.8774379 50.5205654, 16.8773835 50.5205474, 16.8773022 50.5205226, 16.8766222 50.5203273, 16.8765194 50.5203082, 16.8764656 50.5202741)",,yes,
815857905,False,Zamkowa,residential,False,52.972,,,"LINESTRING (16.878471 50.5236988, 16.878335 50.5238581, 16.8782543 50.5239394, 16.8781524 50.5240223, 16.8780503 50.52409)",,,
1090826295,False,Zamkowa,residential,True,60.257999999999996,,,"LINESTRING (16.878471 50.5236988, 16.8785924 50.5235298, 16.8786309 50.5234314, 16.8786783 50.5233103, 16.8787276 50.5231842)",,,
211148016,False,Ząbkowicka,secondary,False,22.895,2,50,"LINESTRING (16.8692571 50.5268733, 16.8690714 50.527042)",382,,
