osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,bridge,ref,tunnel
274972451,2,Adama Mickiewicza,tertiary,50,False,True,122.118,"LINESTRING (21.6175201 50.0539831, 21.6173834 50.0539656, 21.6171472 50.0539365, 21.6166145 50.053865, 21.6161881 50.0538099, 21.6158436 50.0537654)",,,,
531410838,1,Rondo Druha OSP Władysława Sąsiadka,tertiary,50,True,False,14.244000000000002,"LINESTRING (21.6175201 50.0539831, 21.6175426 50.0539546, 21.6175797 50.0539332, 21.6176264 50.0539218, 21.6176763 50.0539222)",roundabout,,,
84966821,2,Grunwaldzka,tertiary,,False,False,38.382000000000005,"LINESTRING (21.6061649 50.0535546, 21.6063931 50.0534887, 21.6066331 50.0533872)",,,,
184531917,,Zielona,residential,,True,False,38.568,"LINESTRING (21.6061649 50.0535546, 21.6062026 50.0534833, 21.6062215 50.0534107, 21.6062026 50.0533285, 21.606086 50.0532414)",,,,
722355778,2,Grunwaldzka,tertiary,,False,False,33.593,"LINESTRING (21.6066331 50.0533872, 21.607009 50.0532055)",,,,
"[45079969, 272458285]",,Zielona,residential,,True,False,42.911,"LINESTRING (21.6066331 50.0533872, 21.6065354 50.0533843, 21.6064397 50.0533658, 21.606086 50.0532414)",,,,
84966821,2,Grunwaldzka,tertiary,,False,True,38.382000000000005,"LINESTRING (21.6066331 50.0533872, 21.6063931 50.0534887, 21.6061649 50.0535546)",,,,
36857155,2,Grunwaldzka,tertiary,,False,False,120.213,"LINESTRING (21.6091176 50.0522824, 21.6092104 50.0522803, 21.6092751 50.0522834, 21.6094319 50.0523073, 21.6096682 50.0523561, 21.6098306 50.0523973, 21.6099659 50.0524314, 21.6100636 50.0524629, 21.610274 50.0525404, 21.6105029 50.0526437, 21.6106439 50.0526987)",,,,
36857155,2,Grunwaldzka,tertiary,,False,True,19.242,"LINESTRING (21.6091176 50.0522824, 21.6090006 50.0522914, 21.6088516 50.0523096)",,,,
204519848,,Krakowska,residential,20,True,False,132.796,"LINESTRING (21.6091176 50.0522824, 21.6091199 50.0523601, 21.6088044 50.0526941, 21.6085845 50.0529072, 21.6084948 50.0530023, 21.6083903 50.0531132, 21.6081962 50.0533059)",,,,
204519808,,Polna,residential,,False,False,196.115,"LINESTRING (21.6077601 50.0512837, 21.6078247 50.0512631, 21.6079293 50.0512324, 21.6081509 50.0511544, 21.608526 50.0509765, 21.6087095 50.0508697, 21.6088472 50.0507853, 21.609012 50.0506398, 21.609174 50.0504263, 21.6092322 50.0503277, 21.609461 50.0499797)",,,,
"[272695448, 272695449, 366573052]",2,3 Maja,tertiary,,False,False,77.09300000000002,"LINESTRING (21.6077601 50.0512837, 21.6078979 50.0515341, 21.6080112 50.0517597, 21.6080654 50.0518287, 21.6081038 50.0518794, 21.6081586 50.0519243)",,yes,,
741239837,2,3 Maja,tertiary,50,False,False,119.77600000000001,"LINESTRING (21.6077601 50.0512837, 21.6077113 50.0511866, 21.6076323 50.05101, 21.6075559 50.0508948, 21.6074681 50.0508148, 21.6073781 50.0507419, 21.6072109 50.0506473, 21.6067655 50.0504783)",,,,
36857155,2,Grunwaldzka,tertiary,,False,False,19.242,"LINESTRING (21.6088516 50.0523096, 21.6090006 50.0522914, 21.6091176 50.0522824)",,,,
247865567,2,Grunwaldzka,tertiary,,False,True,137.772,"LINESTRING (21.6088516 50.0523096, 21.6086261 50.0523952, 21.6079384 50.0527399, 21.6073115 50.0530541)",,,,
