osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,bridge,geometry
358620449,4,25,primary,50,False,False,33.361,,"LINESTRING (18.2692249 52.2535753, 18.2691887 52.2538745)"
358620449,4,25,primary,50,False,True,33.361,,"LINESTRING (18.2691887 52.2538745, 18.2692249 52.2535753)"
"[197056969, 386177354, 386177355]",2,,tertiary,,False,False,206.524,yes,"LINESTRING (18.2691887 52.2538745, 18.2690044 52.2538705, 18.2689141 52.2538658, 18.2683166 52.2538389, 18.2678272 52.253815, 18.267792 52.2538131, 18.2669165 52.2537655, 18.2666902 52.2537494, 18.266533 52.2537296, 18.2663866 52.2536888, 18.2663054 52.2536574, 18.2662238 52.2536128)"
"[625531808, 624585136]",,,residential,,False,"[False, True]",281.77500000000003,,"LINESTRING (18.2638876 52.2555739, 18.2639304 52.2552696, 18.2639725 52.2551566, 18.2640605 52.2550577, 18.2641273 52.2550081, 18.26421 52.254965, 18.2644017 52.2548893, 18.2645565 52.2548461, 18.26466 52.254822, 18.264758 52.2547991, 18.2648476 52.254766, 18.2649605 52.2546945, 18.2655343 52.2541787, 18.2655521 52.2541639, 18.2656839 52.254054, 18.2658411 52.2539236, 18.2661238 52.2536957, 18.2662238 52.2536128)"
"[197056969, 386177354, 386177355]",2,,tertiary,,False,True,206.524,yes,"LINESTRING (18.2662238 52.2536128, 18.2663054 52.2536574, 18.2663866 52.2536888, 18.266533 52.2537296, 18.2666902 52.2537494, 18.2669165 52.2537655, 18.267792 52.2538131, 18.2678272 52.253815, 18.2683166 52.2538389, 18.2689141 52.2538658, 18.2690044 52.2538705, 18.2691887 52.2538745)"
"[624585136, 625531808]",,,residential,,False,"[False, True]",281.775,,"LINESTRING (18.2662238 52.2536128, 18.2661238 52.2536957, 18.2658411 52.2539236, 18.2656839 52.254054, 18.2655521 52.2541639, 18.2655343 52.2541787, 18.2649605 52.2546945, 18.2648476 52.254766, 18.264758 52.2547991, 18.26466 52.254822, 18.2645565 52.2548461, 18.2644017 52.2548893, 18.26421 52.254965, 18.2641273 52.2550081, 18.2640605 52.2550577, 18.2639725 52.2551566, 18.2639304 52.2552696, 18.2638876 52.2555739)"
