osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,access,tunnel,bridge,junction
233553101,2,Witolda Pileckiego,residential,50,False,False,9.608,"LINESTRING (14.8666324 52.9253302, 14.8665624 52.9252548)",,,,
233553068,2,Księdza Kardynała Stefana Wyszyńskiego,residential,50,False,True,111.012,"LINESTRING (14.8666324 52.9253302, 14.8665455 52.925454, 14.8664719 52.9255472, 14.8661066 52.9260097, 14.8660397 52.9260944, 14.8659108 52.9262281)",,,,
"[23589283, 233553075]",1,Kolegiacka,residential,50,True,False,69.64699999999999,"LINESTRING (14.8677506 52.9256609, 14.8677783 52.9256268, 14.8678115 52.9255861, 14.8679319 52.9254314, 14.8681658 52.9251475, 14.8682065 52.9250981)",destination,,,
976678463,1,Witolda Pileckiego,residential,50,True,False,83.495,"LINESTRING (14.8677506 52.9256609, 14.8667706 52.9253684, 14.8666703 52.9253407, 14.8666324 52.9253302)",,,,
233553093,,Pionierów,residential,,False,False,93.447,"LINESTRING (14.8680992 52.9257656, 14.8681262 52.9257318, 14.8681625 52.9256864, 14.8681675 52.9256802, 14.8686698 52.9250532, 14.8687053 52.9250088)",,,,
"[233553092, 233553093, 23589214]",1,Pionierów,residential,50,False,True,112.89999999999999,"LINESTRING (14.8680992 52.9257656, 14.868062 52.9258098, 14.8680483 52.9258261, 14.8679154 52.9259843, 14.8674564 52.926532, 14.8673875 52.9266064, 14.8673428 52.9266473, 14.8673225 52.926666)",,yes,,
785708646,2,Witolda Pileckiego,residential,50,False,True,107.34299999999999,"LINESTRING (14.8680992 52.9257656, 14.8687759 52.9259902, 14.8690532 52.9260823, 14.8695037 52.9262293)",,,,
976678463,1,Witolda Pileckiego,residential,50,True,False,26.108,"LINESTRING (14.8680992 52.9257656, 14.8679675 52.925726, 14.8677506 52.9256609)",,,,
23589289,,Adama Mickiewicza,residential,,False,False,99.308,"LINESTRING (14.8695037 52.9262293, 14.8695405 52.9261909, 14.869584 52.9261455, 14.8698764 52.92584, 14.8702283 52.9254504)",,,,
785708646,2,Witolda Pileckiego,residential,50,False,False,107.34299999999999,"LINESTRING (14.8695037 52.9262293, 14.8690532 52.9260823, 14.8687759 52.9259902, 14.8680992 52.9257656)",,,,
785708646,2,Witolda Pileckiego,residential,50,False,True,44.48,"LINESTRING (14.8695037 52.9262293, 14.8699786 52.926392, 14.8700811 52.9264264)",,,,
233553055,2,Bohaterów Warszawy,tertiary,50,False,False,41.559,"LINESTRING (14.8709197 52.9246555, 14.8703712 52.9244813)",,,,
233553055,2,Bohaterów Warszawy,tertiary,50,False,True,21.878,"LINESTRING (14.8709197 52.9246555, 14.8712149 52.9247394)",,,,
"[818794334, 818794335]",2,Adama Mickiewicza,residential,50,False,True,99.814,"LINESTRING (14.8709197 52.9246555, 14.8708422 52.9247409, 14.8707012 52.9248938, 14.8704134 52.9252324, 14.8702895 52.9253783, 14.8702283 52.9254504)",,,,
842342685,,Ratuszowa,residential,,True,False,4.973,"LINESTRING (14.8658697 52.9241552, 14.8658442 52.9241972)",,,,
909742263,2,Warszawska,residential,50,False,False,21.096,"LINESTRING (14.8638713 52.9245116, 14.8637705 52.9244786, 14.8635948 52.924421)",,,,
909742264,2,Mieczysława Niedziałkowskiego,residential,50,False,False,96.36,"LINESTRING (14.8638713 52.9245116, 14.8638886 52.9244905, 14.863932 52.9244377, 14.8644178 52.9238458, 14.8645088 52.9237349)",,,,
"[1261915731, 23589251, 1261915732, 1261915730]",1,Mariacka,residential,50,True,False,102.50300000000001,"LINESTRING (14.8645088 52.9237349, 14.8646377 52.9237747, 14.864943 52.923869, 14.8652398 52.9239607, 14.8653272 52.9239877, 14.8654652 52.9240303, 14.8657547 52.9241197, 14.8658147 52.9241382, 14.8658697 52.9241552)",,,,
23589254,,Mieczysława Niedziałkowskiego,residential,,False,True,101.84200000000001,"LINESTRING (14.8645088 52.9237349, 14.8646681 52.923523, 14.8650534 52.9230104, 14.865109 52.922947, 14.8651468 52.9229039)",,,,
909742264,2,Mieczysława Niedziałkowskiego,residential,50,False,True,96.36,"LINESTRING (14.8645088 52.9237349, 14.8644178 52.9238458, 14.863932 52.9244377, 14.8638886 52.9244905, 14.8638713 52.9245116)",,,,
233553081,,Młyńska,residential,,False,False,57.501000000000005,"LINESTRING (14.8628476 52.9241685, 14.8628556 52.9241199, 14.8628957 52.9238769, 14.8629561 52.9236558)",,,,
233901637,2,Warszawska,residential,50,False,True,57.421,"LINESTRING (14.8628476 52.9241685, 14.862908 52.9241889, 14.8631394 52.9242671, 14.8635948 52.924421)",,,,
1261842403,2,Młyńska,residential,50,False,True,96.828,"LINESTRING (14.8628476 52.9241685, 14.862788 52.9244386, 14.8627913 52.9246356, 14.8628276 52.9247788, 14.8628936 52.924946, 14.8629509 52.9250232)",,,,
233553098,2,Spadzista,residential,50,False,False,80.197,"LINESTRING (14.8635948 52.924421, 14.8635257 52.9244569, 14.8634545 52.9245033, 14.8632517 52.9246827, 14.8630557 52.9248937, 14.8629509 52.9250232)",,,,
233901637,2,Warszawska,residential,50,False,False,57.421,"LINESTRING (14.8635948 52.924421, 14.8631394 52.9242671, 14.862908 52.9241889, 14.8628476 52.9241685)",,,,
909742263,2,Warszawska,residential,50,False,True,21.096,"LINESTRING (14.8635948 52.924421, 14.8637705 52.9244786, 14.8638713 52.9245116)",,,,
23589263,1,Ratuszowa,residential,50,True,False,107.321,"LINESTRING (14.8652566 52.9249267, 14.8651868 52.9250133, 14.8648041 52.9254672, 14.864622 52.9256895, 14.8645662 52.9257575, 14.8645398 52.9257897)",,,,
23589268,,Warszawska,residential,,True,False,103.71000000000001,"LINESTRING (14.8652566 52.9249267, 14.8648321 52.9248053, 14.8643097 52.9246456, 14.8638713 52.9245116)",,,,
233553093,,Pionierów,residential,,False,True,93.447,"LINESTRING (14.8687053 52.9250088, 14.8686698 52.9250532, 14.8681675 52.9256802, 14.8681625 52.9256864, 14.8681262 52.9257318, 14.8680992 52.9257656)",,,,
1262139308,1,Władysława Andersa,residential,50,True,False,113.28800000000001,"LINESTRING (14.8687053 52.9250088, 14.8688566 52.9250526, 14.8696546 52.925284, 14.8701843 52.9254376, 14.8702283 52.9254504)",,,,
"[1262139309, 1262139310]",,Pionierów,residential,,False,False,102.68,"LINESTRING (14.8687053 52.9250088, 14.8687291 52.9249793, 14.8687676 52.9249316, 14.8688455 52.9248349, 14.8691965 52.9243995, 14.8692952 52.9242769, 14.8693718 52.9241774)",,,,
23589289,,Adama Mickiewicza,residential,,False,True,99.30799999999999,"LINESTRING (14.8702283 52.9254504, 14.8698764 52.92584, 14.869584 52.9261455, 14.8695405 52.9261909, 14.8695037 52.9262293)",,,,
"[818794334, 818794335]",2,Adama Mickiewicza,residential,50,False,False,99.814,"LINESTRING (14.8702283 52.9254504, 14.8702895 52.9253783, 14.8704134 52.9252324, 14.8707012 52.9248938, 14.8708422 52.9247409, 14.8709197 52.9246555)",,,,
233553065,1,Władysława Andersa,residential,50,True,False,25.543,"LINESTRING (14.8683606 52.9249109, 14.8685621 52.9249682, 14.8687053 52.9250088)",,,,
1262139307,1,Kolegiacka,residential,50,False,True,23.238,"LINESTRING (14.8683606 52.9249109, 14.8683278 52.9249507, 14.8682065 52.9250981)",destination,,,
"[23589248, 1250029240, 1249268911]","['1', '2']",Za Bramką,living_street,20,False,True,202.53300000000004,"LINESTRING (14.8627349 52.926097, 14.8628649 52.926192, 14.8629256 52.9262363, 14.8630764 52.9263465, 14.8630959 52.9263608, 14.8631049 52.9263673, 14.8631931 52.9264318, 14.8633006 52.9264891, 14.8633692 52.9265256, 14.8634048 52.9265445, 14.863471 52.9265798, 14.8636254 52.926662, 14.8636456 52.9266728, 14.8637901 52.926728, 14.8638957 52.9267683, 14.8639282 52.9267807, 14.8643343 52.92692, 14.8643612 52.9269268, 14.8643992 52.9269363, 14.8644956 52.9269605, 14.8645296 52.9269691, 14.8646125 52.9269899, 14.8646473 52.9269986, 14.8646735 52.9270052, 14.864873 52.9270553, 14.8650683 52.9271044, 14.8651102 52.9271149, 14.8651613 52.9271277)",,,,
233553101,2,Witolda Pileckiego,residential,50,False,True,9.608,"LINESTRING (14.8665624 52.9252548, 14.8666324 52.9253302)",,,,
431564475,1,Rynek Imienia Jana Pawła II,residential,50,True,False,94.18299999999999,"LINESTRING (14.8665624 52.9252548, 14.866464 52.9252044, 14.866213 52.9251279, 14.8659412 52.9250451, 14.8657445 52.9249836, 14.8656257 52.9249465, 14.8654748 52.9248993, 14.8653274 52.924855)",,,,
23589254,,Mieczysława Niedziałkowskiego,residential,,False,False,101.842,"LINESTRING (14.8651468 52.9229039, 14.865109 52.922947, 14.8650534 52.9230104, 14.8646681 52.923523, 14.8645088 52.9237349)",,,,
