osmid,name,highway,oneway,reversed,length,lanes,ref,geometry,maxspeed
1000632522,1 Maja,unclassified,False,False,31.727,,,"LINESTRING (16.1569258 53.1927596, 16.1573094 53.1929287)",
1029332064,1 Maja,unclassified,False,True,32.468,,,"LINESTRING (16.1569258 53.1927596, 16.1565236 53.1925947)",
1029332066,,residential,False,False,22.021,,,"LINESTRING (16.1569258 53.1927596, 16.1567471 53.1929262)",
171766058,1 Maja,unclassified,False,False,42.903,,,"LINESTRING (16.1523114 53.1921861, 16.1529542 53.1921626)",
173560149,1 Maja,residential,False,True,40.905,,,"LINESTRING (16.1523114 53.1921861, 16.1517026 53.1922339)",
231676583,Marii Konopnickiej,secondary,False,True,58.112,2,177,"LINESTRING (16.1523114 53.1921861, 16.152408 53.1927055)",
234771090,Marii Konopnickiej,secondary,False,False,93.717,2,177,"LINESTRING (16.1523114 53.1921861, 16.1522953 53.1920884, 16.1521644 53.1913479)",
171766058,1 Maja,unclassified,False,True,7.621,,,"LINESTRING (16.1547212 53.1921638, 16.1546069 53.192161)",
171766058,1 Maja,unclassified,False,False,130.58100000000002,,,"LINESTRING (16.1547212 53.1921638, 16.1553506 53.1922614, 16.1559247 53.1923668, 16.1560296 53.1924067, 16.1565236 53.1925947)",
173560161,Pocztowa,residential,False,False,181.39299999999997,,,"LINESTRING (16.1547212 53.1921638, 16.1546087 53.1930398, 16.1545062 53.19379)",
173560180,Zamkowa,residential,False,True,31.409,,,"LINESTRING (16.1513796 53.1939553, 16.1513213 53.193675)",40
970433333,Zamkowa,residential,False,False,41.218,,,"LINESTRING (16.1513796 53.1939553, 16.1511533 53.1943003)",40
173560140,Adama Mickiewicza,residential,False,True,106.589,,,"LINESTRING (16.1513796 53.1939553, 16.1528569 53.1938486, 16.1529299 53.1937977)",
1015822372,Klasztorna,residential,False,False,78.486,,,"LINESTRING (16.1513796 53.1939553, 16.1509964 53.1940467, 16.150544 53.1941171, 16.1502458 53.1941215)",
173560149,1 Maja,residential,False,False,45.024,,,"LINESTRING (16.1510325 53.1922865, 16.1517026 53.1922339)",
173560180,Zamkowa,residential,False,False,56.05,,,"LINESTRING (16.1510325 53.1922865, 16.1511365 53.1927867)",40
1029332062,1 Maja,residential,False,True,70.023,,,"LINESTRING (16.1510325 53.1922865, 16.1499854 53.1923412)",
1029332063,Zamkowa,residential,False,True,57.227,,,"LINESTRING (16.1510325 53.1922865, 16.1509375 53.191775)",40
172945409,Piaskowa,residential,False,False,50.891,,,"LINESTRING (16.1584584 53.1973792, 16.1577705 53.1975783)",
231676579,Wolności,secondary,False,False,6.86,2,177,"LINESTRING (16.1584584 53.1973792, 16.1584077 53.1973255)",
231676579,Wolności,secondary,False,True,109.198,2,177,"LINESTRING (16.1584584 53.1973792, 16.1592586 53.1982363)",
231676579,Wolności,secondary,False,False,109.198,2,177,"LINESTRING (16.1592586 53.1982363, 16.1584584 53.1973792)",
172945411,Fabryczna,residential,False,False,46.935,,,"LINESTRING (16.1592586 53.1982363, 16.1590955 53.1982976, 16.1586467 53.1984453)",
171766061,Zygmunta Augusta,residential,False,True,43.733,,,"LINESTRING (16.1508945 53.1915437, 16.1515315 53.1914487)",40
970433334,Zamkowa,residential,False,False,25.878,,,"LINESTRING (16.1508945 53.1915437, 16.1509375 53.191775)",40
970433334,Zamkowa,residential,False,True,27.423,,,"LINESTRING (16.1508945 53.1915437, 16.1508432 53.191299)",40
285970769,Podgórna,residential,False,False,106.633,,,"LINESTRING (16.1538548 53.1947693, 16.1537604 53.193812)",30
173560192,Szkolna,residential,False,False,196.37699999999998,,,"LINESTRING (16.1538548 53.1947693, 16.153503 53.1946867, 16.1531389 53.1945994, 16.1527618 53.1945304, 16.1524166 53.1945413, 16.1518097 53.1945885, 16.1514395 53.1945994, 16.1509942 53.1945428)",
173560192,Szkolna,residential,False,True,23.427,,,"LINESTRING (16.1538548 53.1947693, 16.1539597 53.194783, 16.1541984 53.1948142)",
171766061,Zygmunta Augusta,residential,False,False,43.629,,,"LINESTRING (16.1521644 53.1913479, 16.1515315 53.1914487)",40
234771090,Marii Konopnickiej,secondary,False,True,93.717,2,177,"LINESTRING (16.1521644 53.1913479, 16.1522953 53.1920884, 16.1523114 53.1921861)",
231676579,Wolności,secondary,False,True,18.815,2,177,"LINESTRING (16.1558425 53.1945892, 16.1559815 53.1947365)",
1029332067,Gdańska,unclassified,False,False,19.421,,,"LINESTRING (16.1558425 53.1945892, 16.156134 53.1945919)",
241565184,Wolności,secondary,False,False,130.28,2,177,"LINESTRING (16.1558425 53.1945892, 16.1557814 53.1945308, 16.1550689 53.1939596, 16.1549349 53.193881, 16.1548209 53.1938338, 16.1546708 53.1938045, 16.1545062 53.19379)",
"[173560188, 231843605]",Kwiatowa,residential,False,"[False, True]",411.99,,,"LINESTRING (16.1499786 53.197233, 16.1506884 53.1973597, 16.1516177 53.1975257, 16.1517164 53.1975441, 16.1519892 53.1975949, 16.1529165 53.1977694, 16.1544374 53.1982177, 16.1556414 53.198667)",
661411969,,residential,False,False,52.086,,,"LINESTRING (16.1499786 53.197233, 16.1499582 53.1972925, 16.1498242 53.1976922)",
"[661411969, 970433333]",Zamkowa,residential,False,True,307.566,,,"LINESTRING (16.1499786 53.197233, 16.1502441 53.1964186, 16.1502688 53.1963428, 16.1503141 53.1961822, 16.1505884 53.19521, 16.1509036 53.194696, 16.1509942 53.1945428)",40
172945409,Piaskowa,residential,False,True,191.812,,,"LINESTRING (16.1556414 53.198667, 16.1558723 53.1984695, 16.1560598 53.1982779, 16.1563812 53.198032, 16.157041 53.1977853, 16.1577705 53.1975783)",
"[173560188, 231843605]",Kwiatowa,residential,False,"[False, True]",411.99000000000007,,,"LINESTRING (16.1556414 53.198667, 16.1544374 53.1982177, 16.1529165 53.1977694, 16.1519892 53.1975949, 16.1517164 53.1975441, 16.1516177 53.1975257, 16.1506884 53.1973597, 16.1499786 53.197233)",
285970769,Podgórna,residential,False,True,106.633,,,"LINESTRING (16.1537604 53.193812, 16.1538548 53.1947693)",30
241565184,Wolności,secondary,False,False,55.811,2,177,"LINESTRING (16.1537604 53.193812, 16.1533239 53.1938287, 16.1531873 53.1938294, 16.1530494 53.1938194, 16.1529299 53.1937977)",
241565184,Wolności,secondary,False,True,49.744,2,177,"LINESTRING (16.1537604 53.193812, 16.1540306 53.193804, 16.1543887 53.1937935, 16.1545062 53.19379)",
970433334,Zamkowa,residential,False,False,27.423,,,"LINESTRING (16.1508432 53.191299, 16.1508945 53.1915437)",40
285894648,Stanisława Moniuszki,residential,False,False,34.785,,,"LINESTRING (16.1501367 53.1937139, 16.1501037 53.1934017)",
285894648,Stanisława Moniuszki,residential,False,True,45.651,,,"LINESTRING (16.1501367 53.1937139, 16.1500139 53.1941178)",
285970768,Tadeusza Kościuszki,residential,False,True,79.078,,,"LINESTRING (16.1501367 53.1937139, 16.1507696 53.193705, 16.1513213 53.193675)",
