osmid,lanes,name,highway,oneway,reversed,length,geometry,ref,maxspeed,width,bridge,junction
39718150,2,Nowy Rynek,residential,False,True,29.812,"LINESTRING (21.0892025 52.7007553, 21.0888267 52.7008968)",,,,,
39717792,,Zaułek,residential,False,True,47.197,"LINESTRING (21.0892025 52.7007553, 21.0892839 52.7007563, 21.0894121 52.7007686, 21.0898863 52.7008415)",,,,,
286314178,,Świętojańska,residential,False,True,85.94500000000001,"LINESTRING (21.0896025 52.7057031, 21.0894425 52.7055862, 21.0887883 52.7051081)",,,,,
1213276434,,Świętojańska,residential,False,False,72.84,"LINESTRING (21.0896025 52.7057031, 21.0902016 52.7061427, 21.0902917 52.7062078)",,,,,
1213276435,,Piotra Skargi,residential,True,False,75.774,"LINESTRING (21.0896025 52.7057031, 21.0895388 52.7057629, 21.0893517 52.705924, 21.0889337 52.7062506)",,,,,
39718150,2,Nowy Rynek,residential,False,False,29.812,"LINESTRING (21.0888267 52.7008968, 21.0892025 52.7007553)",,,,,
39716364,,Panny Marii,residential,False,True,191.373,"LINESTRING (21.0888267 52.7008968, 21.0888356 52.7010719, 21.0888759 52.7020449, 21.0888875 52.7024973, 21.0888892 52.7025627, 21.0888881 52.7026174)",,,,,
39718150,2,Nowy Rynek,residential,False,True,72.238,"LINESTRING (21.0888267 52.7008968, 21.0887171 52.7009041, 21.0885653 52.7009055, 21.0877554 52.7009131)",,,,,
39721831,,Stare Miasto,residential,False,False,68.484,"LINESTRING (21.0869553 52.7036005, 21.0876073 52.703263, 21.0877301 52.7032019)",,,,,
285490666,,Stare Miasto,residential,True,False,18.094,"LINESTRING (21.0869553 52.7036005, 21.0869358 52.7036377, 21.0869079 52.7036841, 21.0868522 52.7037503)",,,,,
39722202,,Romualda Traugutta,residential,False,False,411.7990000000001,"LINESTRING (21.0862258 52.703263, 21.0861411 52.7032788, 21.0859367 52.7033159, 21.0854436 52.7034053, 21.0850893 52.7034743, 21.0848467 52.7035474, 21.0846819 52.7036004, 21.0845734 52.703627, 21.084436 52.7036535, 21.0842986 52.70368, 21.0840406 52.7037109, 21.0838274 52.7037353, 21.0836121 52.7037403, 21.0834477 52.7037248, 21.0832156 52.7036924, 21.0829353 52.7036526, 21.0827127 52.7036298, 21.0824229 52.7036111, 21.0820333 52.7036044, 21.0816827 52.703603, 21.0809543 52.7036122, 21.0808954 52.7036127, 21.0805397 52.7036155, 21.0802683 52.7036178)",,,,,
"[495742953, 1070770477]",4,Ignacego Daszyńskiego,primary,False,"[False, True]",52.840999999999994,"LINESTRING (21.0862258 52.703263, 21.0863304 52.7033475, 21.0863948 52.7033995, 21.0867028 52.7036402)",61;618,50,8,,
