osmid,name,highway,oneway,reversed,length,maxspeed,geometry,lanes,width,ref,junction,bridge
39718517,Spółdzielcza,residential,False,False,60.392,,"LINESTRING (21.1039636 52.8646315, 21.1041716 52.8651599)",,,,,
432413718,Spółdzielcza,residential,False,True,60.346,,"LINESTRING (21.1039089 52.864398, 21.1036983 52.8638704)",,,,,
39717634,Ciechanowska,living_street,False,False,96.257,20,"LINESTRING (21.098315 52.8686436, 21.0997053 52.8684314)",,,,,
39713404,Ciechanowska,living_street,False,True,29.488,20,"LINESTRING (21.098315 52.8686436, 21.0983873 52.868811, 21.0983911 52.8688198, 21.0983993 52.8688387, 21.098426 52.8689002)",,,,,
360920108,Ciechanowska,living_street,True,False,166.31099999999998,20,"LINESTRING (21.098315 52.8686436, 21.0982088 52.8684016, 21.0980648 52.8680724, 21.0979899 52.8679012, 21.0978744 52.867637, 21.0978031 52.8674553, 21.0977937 52.8674313, 21.09775 52.86732, 21.0977433 52.8672538, 21.0977345 52.8671916)",,,,,
39722619,Warszawska,tertiary,False,False,92.011,,"LINESTRING (21.1084272 52.862938, 21.1077102 52.863541, 21.1076182 52.8636056)",2,,,,
691955588,Admirała Rickovera,living_street,False,False,126.006,20,"LINESTRING (21.0977345 52.8671916, 21.0978653 52.8671684, 21.0984239 52.8670172, 21.0992034 52.8668071, 21.0994653 52.8667565)",,,,,
691955589,Admirała Rickovera,living_street,False,True,47.358000000000004,20,"LINESTRING (21.0977345 52.8671916, 21.0976364 52.8671939, 21.0972221 52.8671908, 21.0970291 52.8671894)",,5.25,,,
39721531,Mikołaja Kopernika,living_street,False,True,52.757999999999996,,"LINESTRING (21.0947091 52.8675719, 21.0948252 52.8675612, 21.0950057 52.8675481, 21.095039 52.8675457, 21.0952565 52.8675403, 21.095492 52.867542)",,,,,
375248616,Mikołaja Kopernika,living_street,False,True,117.608,20,"LINESTRING (21.0957405 52.8693305, 21.0957112 52.8692672, 21.0956412 52.8691162, 21.0956121 52.8690536, 21.0955581 52.8689371, 21.0955389 52.8688937, 21.0955185 52.8688478, 21.0954924 52.8687581, 21.0954833 52.8685857, 21.0954843 52.868553, 21.0954923 52.8682926)",2,,,,
921355986,Ciechanowska,residential,False,True,133.027,50,"LINESTRING (21.0957405 52.8693305, 21.0968929 52.8691384, 21.0976562 52.8690243)",,,,,
375248616,Mikołaja Kopernika,living_street,False,False,267.3550000000001,20,"LINESTRING (21.0972495 52.8659978, 21.0970207 52.8659893, 21.096614 52.8659917, 21.0961901 52.8660024, 21.0961046 52.866011, 21.09602 52.86602, 21.0959873 52.8660252, 21.095951 52.8660309, 21.0958891 52.8660503, 21.0958302 52.8660799, 21.0957942 52.8661124, 21.0957809 52.8661256, 21.0957664 52.8661399, 21.0957463 52.8661685, 21.0957428 52.8661735, 21.0957239 52.8662215, 21.0957242 52.8662566, 21.0957246 52.8662953, 21.0957269 52.8665292, 21.0957278 52.8673322, 21.0957182 52.86737, 21.0956961 52.8674065, 21.0955953 52.8674697, 21.0955322 52.8675059, 21.095492 52.867542)",2,,,,
"[375248616, 39714357]",Mikołaja Kopernika,"['living_street', 'residential']",False,True,94.998,"['20', '50']","LINESTRING (21.0972495 52.8659978, 21.0973445 52.8659951, 21.097449 52.8659783, 21.0975559 52.865932, 21.0976525 52.8658608, 21.0977305 52.865774, 21.0977697 52.8657091, 21.0977878 52.8656112, 21.0978005 52.8655427, 21.0977816 52.865451, 21.0977474 52.8653201)",2,,,,
691955589,Admirała Rickovera,living_street,False,False,133.65200000000002,20,"LINESTRING (21.0972495 52.8659978, 21.0971744 52.8662018, 21.0971562 52.8662721, 21.097096 52.8665043, 21.0970424 52.8668362, 21.0970318 52.8670052, 21.0970291 52.8671894)",,5.25,,,
921355986,Ciechanowska,residential,False,True,123.942,50,"LINESTRING (21.098426 52.8689002, 21.1002154 52.8686251)",,,,,
39713404,Ciechanowska,living_street,False,False,29.488,20,"LINESTRING (21.098426 52.8689002, 21.0983993 52.8688387, 21.0983911 52.8688198, 21.0983873 52.868811, 21.098315 52.8686436)",,,,,
921355986,Ciechanowska,residential,False,False,53.482,50,"LINESTRING (21.098426 52.8689002, 21.0977262 52.869013, 21.0976562 52.8690243)",,,,,
670573042,Przasnyska,primary,False,False,22.924,50,"LINESTRING (21.1011834 52.8664829, 21.1012525 52.8666848)",2,,57,,
670573044,Przasnyska,primary,False,True,7.045,50,"LINESTRING (21.1011834 52.8664829, 21.101161 52.866421)",3,,57,,
