osmid,oneway,highway,reversed,length,name,geometry,junction,access,maxspeed,lanes,width
484660065,True,tertiary,False,44.314,,"LINESTRING (52.1230193 32.6935971, 52.1234767 32.6934939)",,,,,
482328320,False,tertiary,True,31.840000000000003,امام رضا,"LINESTRING (52.1230193 32.6935971, 52.1227775 32.6935462, 52.1226916 32.6935209)",,,,,
484950137,False,residential,True,111.093,,"LINESTRING (52.1230193 32.6935971, 52.1230704 32.6939115, 52.1232591 32.6945745)",,,,,
484950135,False,secondary,True,110.155,امام خمینی,"LINESTRING (52.1213732 32.6929008, 52.1203301 32.6933599)",,,,,
482327987,True,secondary,False,62.919999999999995,میدان فاطمه زهرا,"LINESTRING (52.1213732 32.6929008, 52.1213511 32.6928474, 52.1213466 32.6927909, 52.1213602 32.6927355, 52.1213908 32.6926851, 52.1214362 32.6926434, 52.1214933 32.6926134, 52.1215577 32.6925973, 52.1216249 32.6925962, 52.1216901 32.6926102, 52.1217485 32.6926382)",roundabout,,,,
273948914,False,tertiary,False,31.15,حسین خرازی,"LINESTRING (52.1272542 32.6867773, 52.1271681 32.6865067)",,,,,
273948914,False,tertiary,True,36.515,حسین خرازی,"LINESTRING (52.1272542 32.6867773, 52.1273565 32.6870942)",,,,,
273948889,True,tertiary,False,19.105,ایثار,"LINESTRING (52.1272542 32.6867773, 52.1272103 32.6867704, 52.1271559 32.6867695, 52.1271 32.6867735, 52.127052 32.6867817)",,,,,
274476011,False,residential,False,140.07,,"LINESTRING (52.1252782 32.6876021, 52.1246435 32.6864613)",,,,,
484937631,False,tertiary,True,48.883,ایثار,"LINESTRING (52.1252782 32.6876021, 52.125728 32.6873786)",,,,,
484952314,False,residential,False,30.408,,"LINESTRING (52.1252782 32.6876021, 52.1254361 32.6878411)",,,,,
484937631,False,tertiary,False,26.189,ایثار,"LINESTRING (52.1252782 32.6876021, 52.12514 32.6877115, 52.12509 32.6877746)",,,,,
274954662,False,residential,False,14.627,جنت,"LINESTRING (52.125058 32.6878106, 52.1249206 32.6878733)",,,,,
484937631,False,tertiary,True,4.999,ایثار,"LINESTRING (52.125058 32.6878106, 52.12509 32.6877746)",,,,,
"[484937630, 484937631]",False,tertiary,False,73.693,"['گلزار', 'ایثار']","LINESTRING (52.125058 32.6878106, 52.1250215 32.6879247, 52.1250152 32.688009, 52.1250132 32.688082, 52.1250505 32.6884027, 52.1250586 32.6884672)",,,,,
484937621,False,residential,True,36.635,,"LINESTRING (52.1250993 32.6887928, 52.1254151 32.6885981)",,no,,,
484937630,False,tertiary,False,19.225,گلزار,"LINESTRING (52.1250993 32.6887928, 52.1251271 32.6889641)",,,,,
484937630,False,tertiary,True,32.246,گلزار,"LINESTRING (52.1250993 32.6887928, 52.1250632 32.6885044)",,,,,
484937615,True,tertiary,False,7.714,میدان شهدا,"LINESTRING (52.1250651 32.6890968, 52.1250482 32.6890785, 52.1250386 32.6890569, 52.125037 32.6890338)",roundabout,,,,
484944362,False,tertiary,False,43.108999999999995,امام حسین,"LINESTRING (52.1250651 32.6890968, 52.1248792 32.6892214, 52.1247056 32.6893392)",,,,,
274475664,False,residential,False,100.343,ابوذر,"LINESTRING (52.1256673 32.6901567, 52.1266096 32.6897261)",,,,,
484937613,False,tertiary,False,6.989,گلزار,"LINESTRING (52.1256673 32.6901567, 52.125674 32.6902193)",,,,,
484937613,False,tertiary,True,36.368,گلزار,"LINESTRING (52.1256673 32.6901567, 52.125591 32.689836)",,,,,
