osmid,highway,maxspeed,oneway,reversed,length,name,geometry
94515941,residential,30,False,False,61.259,,"LINESTRING (59.0360652 35.1739854, 59.0366742 35.1737494)"
94515941,residential,30,False,True,60.972,,"LINESTRING (59.0360652 35.1739854, 59.0354522 35.1742081)"
94515948,residential,30,False,False,124.437,,"LINESTRING (59.0360652 35.1739854, 59.0354723 35.1729767)"
94515948,residential,30,False,True,115.677,,"LINESTRING (59.0360652 35.1739854, 59.0366125 35.1749246)"
94515947,residential,30,False,False,124.789,,"LINESTRING (59.0367127 35.1724795, 59.0372874 35.1734987)"
723683117,secondary,,False,False,63.967,امام رضا,"LINESTRING (59.0367127 35.1724795, 59.0360794 35.1727304)"
723683117,secondary,,False,True,61.227,امام رضا,"LINESTRING (59.0367127 35.1724795, 59.0373244 35.1722489)"
94515950,tertiary,,False,False,58.885,,"LINESTRING (59.040093 35.1756505, 59.0395205 35.1758984)"
94515950,tertiary,,False,True,59.533,,"LINESTRING (59.040093 35.1756505, 59.0406696 35.1753965)"
94515957,tertiary,,False,False,124.348,,"LINESTRING (59.0373244 35.1722489, 59.0367118 35.171249)"
723683117,secondary,,False,False,61.227,امام رضا,"LINESTRING (59.0373244 35.1722489, 59.0367127 35.1724795)"
799158804,tertiary,,False,True,123.164,,"LINESTRING (59.0373244 35.1722489, 59.037924 35.1732422)"
723683117,secondary,,False,True,122.00999999999999,امام رضا,"LINESTRING (59.0373244 35.1722489, 59.0380514 35.1719505, 59.0385279 35.171763)"
94515930,tertiary,,False,False,122.459,,"LINESTRING (59.0354522 35.1742081, 59.0348635 35.1732175)"
94515930,tertiary,,False,True,142.171,,"LINESTRING (59.0354522 35.1742081, 59.0361539 35.1753508)"
94515941,residential,30,False,False,60.972,,"LINESTRING (59.0354522 35.1742081, 59.0360652 35.1739854)"
94515930,tertiary,,False,False,142.171,,"LINESTRING (59.0361539 35.1753508, 59.0354522 35.1742081)"
"[799158805, 94515951]",residential,30,False,False,386.794,,"LINESTRING (59.0361539 35.1753508, 59.0349694 35.1758374, 59.0336784 35.1736875)"
94515940,residential,30,False,True,123.347,,"LINESTRING (59.037915 35.170736, 59.0367118 35.171249)"
799158803,residential,30,False,False,117.653,,"LINESTRING (59.037915 35.170736, 59.0373451 35.169786)"
799158803,residential,30,False,True,127.061,,"LINESTRING (59.037915 35.170736, 59.0385279 35.171763)"
94515941,residential,30,False,False,62.318,,"LINESTRING (59.0366742 35.1737494, 59.0372874 35.1734987)"
94515941,residential,30,False,True,61.259,,"LINESTRING (59.0366742 35.1737494, 59.0360652 35.1739854)"
94515963,tertiary,30,False,False,125.545,,"LINESTRING (59.0366742 35.1737494, 59.0360794 35.1727304)"
94515939,residential,30,False,False,21.267,,"LINESTRING (59.0314898 35.1718722, 59.0317036 35.1717945)"
94515948,residential,30,False,False,115.677,,"LINESTRING (59.0366125 35.1749246, 59.0360652 35.1739854)"
94515940,residential,30,False,False,61.406,,"LINESTRING (59.0355091 35.1717303, 59.0361103 35.1714784)"
94515940,residential,30,False,True,64.162,,"LINESTRING (59.0355091 35.1717303, 59.0348645 35.1719655)"
94515963,tertiary,30,False,False,126.951,,"LINESTRING (59.0355091 35.1717303, 59.0349053 35.1707008)"
94515963,tertiary,30,False,True,122.694,,"LINESTRING (59.0355091 35.1717303, 59.0360794 35.1727304)"
94515956,residential,30,False,False,123.837,,"LINESTRING (59.0330147 35.172574, 59.032418 35.1715728)"
94515956,residential,30,False,True,137.73,,"LINESTRING (59.0330147 35.172574, 59.0336784 35.1736875)"
712153279,residential,,False,False,170.409,,"LINESTRING (59.0330147 35.172574, 59.0313463 35.1732731)"
94515963,tertiary,30,False,False,139.756,,"LINESTRING (59.0342546 35.1695972, 59.0335906 35.1684636)"
94515963,tertiary,30,False,True,136.225,,"LINESTRING (59.0342546 35.1695972, 59.0349053 35.1707008)"
128389619,residential,30,False,False,63.604,,"LINESTRING (59.0342546 35.1695972, 59.0348998 35.1693758)"
94515939,residential,30,False,True,35.765,,"LINESTRING (59.0389234 35.1691799, 59.0385673 35.1693167)"
128389631,residential,30,False,False,114.867,,"LINESTRING (59.0389234 35.1691799, 59.039472 35.1701105)"
