osmid,name,highway,oneway,reversed,length,maxspeed,geometry,junction,ref,tunnel
205277332,جانبازان,secondary,False,False,19.318,,"LINESTRING (59.236191 33.3288026, 59.2362756 33.3286439)",,,
205277332,جانبازان,secondary,False,True,26.923,,"LINESTRING (59.236191 33.3288026, 59.2360705 33.3290228)",,,
548763219,امام رضا ۴,residential,False,False,68.324,30,"LINESTRING (59.236191 33.3288026, 59.2368757 33.3290268)",,,
205277332,جانبازان,secondary,False,False,47.323,,"LINESTRING (59.2358593 33.3294686, 59.2360471 33.329073)",,,
205277332,جانبازان,secondary,False,True,54.315,,"LINESTRING (59.2358593 33.3294686, 59.2356667 33.3299298)",,,
548763224,امام رضا ۸,residential,False,True,162.807,30,"LINESTRING (59.2358593 33.3294686, 59.2374768 33.3300319)",,,
548763229,سیدالشهدا 1,residential,False,False,40.347,30,"LINESTRING (59.2358593 33.3294686, 59.2354411 33.3293708)",,,
205277332,جانبازان,secondary,False,False,54.315,,"LINESTRING (59.2356667 33.3299298, 59.2358593 33.3294686)",,,
205277332,جانبازان,secondary,False,True,119.839,,"LINESTRING (59.2356667 33.3299298, 59.2356132 33.3301136, 59.2356007 33.3302641, 59.2356458 33.3304336, 59.2357634 33.3306903, 59.2359045 33.3309544)",,,
548763223,,residential,False,False,160.71200000000002,30,"LINESTRING (59.2356667 33.3299298, 59.2364117 33.3302145, 59.2365311 33.3302806, 59.2366639 33.3304196, 59.2369023 33.3308379)",,,
205277351,میدان امام حسین (ع),tertiary,True,False,7.525,,"LINESTRING (59.2313961 33.3300991, 59.2314224 33.330094, 59.2314494 33.3300948, 59.2314752 33.3301014)",roundabout,,
205277353,سیدالشهدا,tertiary,False,False,23.522,,"LINESTRING (59.2314752 33.3301014, 59.2316209 33.3299284)",,,
205277351,میدان امام حسین (ع),tertiary,True,False,15.053,,"LINESTRING (59.2314752 33.3301014, 59.2314981 33.3301134, 59.2315165 33.3301299, 59.2315292 33.3301498, 59.2315353 33.3301718, 59.2315343 33.3301943, 59.2315264 33.3302159)",roundabout,,
205277351,میدان امام حسین (ع),tertiary,True,False,12.553999999999998,,"LINESTRING (59.2313293 33.3301884, 59.2313303 33.3301658, 59.2313381 33.3301442, 59.2313525 33.3301251, 59.2313722 33.3301097, 59.2313961 33.3300991)",roundabout,,
205277379,,tertiary,True,False,89.64500000000001,,"LINESTRING (59.2313293 33.3301884, 59.2312318 33.3301332, 59.2304186 33.3299349)",,,
205277327,بلوار امام خمینی,tertiary,True,False,41.158,,"LINESTRING (59.2315264 33.3302159, 59.2316162 33.3302777, 59.2318845 33.3304334)",,,
205277351,میدان امام حسین (ع),tertiary,True,False,10.036000000000001,,"LINESTRING (59.2315264 33.3302159, 59.2315121 33.3302351, 59.2314924 33.3302504, 59.2314685 33.330261, 59.2314422 33.3302661)",roundabout,,
205277323,سید الشهدا,tertiary,False,True,16.914,,"LINESTRING (59.2313665 33.3302468, 59.2312619 33.3303713)",,,
205277351,میدان امام حسین (ع),tertiary,True,False,7.526,,"LINESTRING (59.2313665 33.3302468, 59.2313481 33.3302303, 59.2313354 33.3302103, 59.2313293 33.3301884)",roundabout,,
205277351,میدان امام حسین (ع),tertiary,True,False,7.521999999999999,,"LINESTRING (59.2314422 33.3302661, 59.2314152 33.3302653, 59.2313894 33.3302587, 59.2313665 33.3302468)",roundabout,,
38790645,جاده گازار,secondary,False,False,16.068,85,"LINESTRING (59.2381381 33.3304469, 59.2382989 33.3303937)",,,
38790645,جاده گازار,secondary,False,True,68.765,85,"LINESTRING (59.2381381 33.3304469, 59.2375395 33.3306385, 59.2374469 33.3306681)",,,
205277325,بلوار امام رضا,trunk,True,False,45.872,,"LINESTRING (59.2374469 33.3306681, 59.2373021 33.3310625)",,95,
38790645,جاده گازار,secondary,False,False,68.765,85,"LINESTRING (59.2374469 33.3306681, 59.2375395 33.3306385, 59.2381381 33.3304469)",,,
205277323,سید الشهدا,tertiary,False,False,6.169,,"LINESTRING (59.2309937 33.3306929, 59.2310317 33.3306474)",,,
205277323,سید الشهدا,tertiary,False,True,50.007,,"LINESTRING (59.2309937 33.3306929, 59.230686 33.3310619)",,,
205277396,بسیج ۶,residential,False,True,73.2,30,"LINESTRING (59.2309937 33.3306929, 59.2314784 33.3312119)",,,
836249011,,residential,False,True,86.732,30,"LINESTRING (59.2309937 33.3306929, 59.230518 33.3305877, 59.2301082 33.3304505)",,,
205277349,امام رضا ۱۲,residential,False,True,31.166,30,"LINESTRING (59.2372165 33.3307397, 59.2369023 33.3308379)",,,
1117120138,بلوار امام رضا,trunk,True,False,82.33500000000001,,"LINESTRING (59.2372165 33.3307397, 59.2374414 33.3301281, 59.2374768 33.3300319)",,95,
205277355,,secondary,True,False,22.088,,"LINESTRING (59.2359045 33.3309544, 59.2359784 33.3311432)",,,
205277332,جانبازان,secondary,False,False,119.83900000000001,,"LINESTRING (59.2359045 33.3309544, 59.2357634 33.3306903, 59.2356458 33.3304336, 59.2356007 33.3302641, 59.2356132 33.3301136, 59.2356667 33.3299298)",,,
205277325,بلوار امام رضا,trunk,True,False,59.133,,"LINESTRING (59.2373021 33.3310625, 59.2371154 33.3315709)",,95,
205277355,,secondary,True,False,25.363,,"LINESTRING (59.2359784 33.3311432, 59.2360369 33.331366)",,,
205277349,امام رضا ۱۲,residential,False,False,92.305,30,"LINESTRING (59.2359784 33.3311432, 59.2364402 33.3309886, 59.2369023 33.3308379)",,,
205277396,بسیج ۶,residential,False,False,73.2,30,"LINESTRING (59.2314784 33.3312119, 59.2309937 33.3306929)",,,
836249008,,residential,False,True,29.32,30,"LINESTRING (59.2314784 33.3312119, 59.2317566 33.3310874)",,,
205277396,بسیج ۶,residential,False,True,194.449,30,"LINESTRING (59.2314784 33.3312119, 59.2317184 33.3314868, 59.2317697 33.3316101, 59.2318761 33.331792, 59.2323854 33.332182, 59.2328716 33.3324705)",,,
1117120138,بلوار امام رضا,trunk,True,False,60.958000000000006,,"LINESTRING (59.2370233 33.3312636, 59.237038 33.3312239, 59.2372165 33.3307397)",,95,
758630429,جنت,residential,False,False,43.355,30,"LINESTRING (59.2280487 33.3310376, 59.2282934 33.3307056)",,,
205277359,سید الشهدا 16,residential,False,True,211.962,30,"LINESTRING (59.2280487 33.3310376, 59.2290161 33.3315101, 59.2296675 33.3318434, 59.2300062 33.3320166)",,,
205277350,میدان جانبازان,secondary,True,False,12.107,,"LINESTRING (59.2360369 33.331366, 59.2360641 33.3313942, 59.2360782 33.3314286, 59.2360775 33.3314649)",roundabout,,
205277347,,secondary,True,False,47.111,,"LINESTRING (59.2358594 33.3313764, 59.2359045 33.3309544)",,,
205277350,میدان جانبازان,secondary,True,False,18.266000000000002,,"LINESTRING (59.2358594 33.3313764, 59.2358981 33.3313511, 59.2359455 33.3313403, 59.2359943 33.3313455, 59.2360369 33.331366)",roundabout,,
205277350,میدان جانبازان,secondary,True,False,4.6,,"LINESTRING (59.235835 33.3314124, 59.2358594 33.3313764)",roundabout,,
548763220,بسیج ۲,residential,False,True,133.86200000000002,30,"LINESTRING (59.235835 33.3314124, 59.2357868 33.3313955, 59.2357533 33.3313709, 59.235658 33.3312599, 59.2355373 33.3310997, 59.2351592 33.3306851, 59.2350036 33.3304419)",,,
205277329,بسیج,tertiary,False,False,41.116,,"LINESTRING (59.2358293 33.3314536, 59.2354046 33.3315576)",,,
205277350,میدان جانبازان,secondary,True,False,4.612,,"LINESTRING (59.2358293 33.3314536, 59.235835 33.3314124)",roundabout,,
205277345,,secondary,True,False,11.786,,"LINESTRING (59.2360775 33.3314649, 59.2361797 33.3315277)",,,
