osmid,ref,name,highway,junction,oneway,reversed,length,maxspeed,geometry
203616662,68,میدان امام خمینی,trunk,roundabout,True,False,8.186,,"LINESTRING (58.8880032 32.7786908, 58.8879417 32.7786384)"
316546330,,بلوار بهشتی,tertiary,,True,False,28.646,40,"LINESTRING (58.8879417 32.7786384, 58.8876368 32.7786639)"
203616662,68,میدان امام خمینی,trunk,roundabout,True,False,29.957,,"LINESTRING (58.8879417 32.7786384, 58.8878868 32.7785707, 58.8878448 32.7784732, 58.8878305 32.7783903)"
203616662,68,میدان امام خمینی,trunk,roundabout,True,False,34.11,,"LINESTRING (58.8878305 32.7783903, 58.8878412 32.7783224, 58.8878753 32.7782742, 58.8879309 32.7782485, 58.8879973 32.778253, 58.8880744 32.7782862)"
203616663,68,,trunk,,True,False,49.047999999999995,,"LINESTRING (58.8878305 32.7783903, 58.887669 32.7780415, 58.8876348 32.7779812)"
203616662,68,میدان امام خمینی,trunk,roundabout,True,False,19.770000000000003,,"LINESTRING (58.8880744 32.7782862, 58.8881448 32.7783506, 58.8882023 32.7784269)"
317371836,,بلوار شهدای عبادی,tertiary,,True,False,322.471,,"LINESTRING (58.8880744 32.7782862, 58.8882755 32.7782284, 58.891194 32.7770517)"
203616662,68,میدان امام خمینی,trunk,roundabout,True,False,20.302,,"LINESTRING (58.8882023 32.7784269, 58.8882341 32.7785027, 58.8882502 32.778604)"
108756524,68,بلوار امام خمینی,trunk,,True,False,58.876,,"LINESTRING (58.8882502 32.778604, 58.8882754 32.7786832, 58.8883148 32.7787689, 58.8885111 32.7790839)"
203616662,68,میدان امام خمینی,trunk,roundabout,True,False,31.009,,"LINESTRING (58.8882502 32.778604, 58.8882346 32.7786557, 58.8882083 32.7786922, 58.8881516 32.7787176, 58.8880852 32.7787146, 58.8880032 32.7786908)"
464521470,,,residential,,False,False,115.742,,"LINESTRING (58.8882502 32.778604, 58.8884152 32.778595, 58.889375 32.7781923)"
316546332,,میدان شهید قهرمان,tertiary,roundabout,True,False,8.593,20,"LINESTRING (58.8839117 32.7801603, 58.8838904 32.7801945, 58.8838577 32.7802217)"
316546332,,میدان شهید قهرمان,tertiary,roundabout,True,False,19.602,20,"LINESTRING (58.8838577 32.7802217, 58.8838207 32.7802382, 58.8837796 32.7802455, 58.8837378 32.780243, 58.8836984 32.7802308, 58.8836646 32.78021)"
318086317,,رجائی,tertiary,,False,False,104.126,,"LINESTRING (58.8838577 32.7802217, 58.8841453 32.780457, 58.8843676 32.7806488, 58.8843837 32.7806669, 58.8846465 32.7808824)"
316546332,,میدان شهید قهرمان,tertiary,roundabout,True,False,8.442,20,"LINESTRING (58.8836239 32.7800874, 58.8836417 32.7800525, 58.8836711 32.7800237)"
316546332,,میدان شهید قهرمان,tertiary,roundabout,True,False,21.234,20,"LINESTRING (58.8838258 32.7800021, 58.8838548 32.7800153, 58.8838898 32.7800435, 58.8839122 32.7800797, 58.8839198 32.7801201, 58.8839117 32.7801603)"
316546333,,بلوار بهشتی,tertiary,,True,False,60.94,40,"LINESTRING (58.8838258 32.7800021, 58.8839283 32.779991, 58.8844219 32.7797899)"
