osmid,name,highway,oneway,reversed,length,ref,geometry,maxspeed,junction
382888681,خیابان سرو,tertiary,False,False,62.821,,"LINESTRING (53.2794748 31.1287446, 53.2795388 31.1281823)",,
181338342,خیابان شهید بهشتی,secondary,False,False,179.97000000000003,78,"LINESTRING (53.2794748 31.1287446, 53.2783507 31.1285609, 53.2780483 31.128506, 53.2780034 31.1284978, 53.2776208 31.1284275)",,
181338342,خیابان شهید بهشتی,secondary,False,True,192.717,78,"LINESTRING (53.2794748 31.1287446, 53.2799623 31.1288216, 53.2814629 31.1290725)",,
382888732,انقلاب,tertiary,False,False,21.493,,"LINESTRING (53.2825021 31.1280269, 53.2823872 31.1281933)",30,
318071462,خیابان طاووس,tertiary,False,False,170.796,,"LINESTRING (53.2825021 31.1280269, 53.2834167 31.1284263, 53.2835802 31.1284977, 53.2841005 31.1287249)",,
181338342,خیابان شهید بهشتی,secondary,False,True,135.982,78,"LINESTRING (53.2839122 31.1294854, 53.2853138 31.1297222)",,
318072076,کوچه ۵,residential,False,False,86.442,,"LINESTRING (53.2839122 31.1294854, 53.2841005 31.1287249)",30,
181338342,خیابان شهید بهشتی,secondary,False,False,219.618,78,"LINESTRING (53.2839122 31.1294854, 53.2838456 31.1294741, 53.2832356 31.1293711, 53.2828778 31.1293219, 53.2823248 31.1292358, 53.2821271 31.1291837, 53.2820554 31.1291716, 53.2816498 31.1291038)",,
318072076,کوچه ۵,residential,False,True,86.442,,"LINESTRING (53.2841005 31.1287249, 53.2839122 31.1294854)",30,
318071462,خیابان طاووس,tertiary,False,True,170.796,,"LINESTRING (53.2841005 31.1287249, 53.2835802 31.1284977, 53.2834167 31.1284263, 53.2825021 31.1280269)",,
382888681,خیابان سرو,tertiary,False,True,62.821,,"LINESTRING (53.2795388 31.1281823, 53.2794748 31.1287446)",,
382888172,,residential,False,True,275.824,,"LINESTRING (53.2795388 31.1281823, 53.2803658 31.1282461, 53.2807834 31.1282791, 53.2810766 31.1283091, 53.2811167 31.1282555, 53.2812946 31.1282748, 53.281475 31.1282748, 53.2819186 31.1282534, 53.2821943 31.1282083, 53.2823872 31.1281933)",30,
382888732,انقلاب,tertiary,False,True,21.493,,"LINESTRING (53.2823872 31.1281933, 53.2825021 31.1280269)",30,
382888172,,residential,False,False,275.824,,"LINESTRING (53.2823872 31.1281933, 53.2821943 31.1282083, 53.2819186 31.1282534, 53.281475 31.1282748, 53.2812946 31.1282748, 53.2811167 31.1282555, 53.2810766 31.1283091, 53.2807834 31.1282791, 53.2803658 31.1282461, 53.2795388 31.1281823)",30,
382888732,انقلاب,tertiary,False,False,123.209,,"LINESTRING (53.2823872 31.1281933, 53.282149 31.1284978, 53.2820314 31.1286481, 53.2816498 31.1291038)",30,
181338342,خیابان شهید بهشتی,secondary,False,True,37.999,78,"LINESTRING (53.2772301 31.1283573, 53.2776208 31.1284275)",,
181338342,خیابان شهید بهشتی,secondary,False,False,37.999,78,"LINESTRING (53.2776208 31.1284275, 53.2772301 31.1283573)",,
