osmid,highway,oneway,reversed,length,name,ref,geometry,junction
569437917,residential,False,True,14.656,,,"LINESTRING (53.7272097 29.8071202, 53.7273277 29.8070372)",
569437919,residential,False,False,112.314,,,"LINESTRING (53.7272097 29.8071202, 53.726348 29.8077993)",
894233513,tertiary,True,False,101.867,بلوار امام حسین,,"LINESTRING (53.7272097 29.8071202, 53.7264979 29.8064436)",
569414623,primary,True,False,48.37,بلوار شهدا,864,"LINESTRING (53.7238988 29.8039759, 53.7236337 29.8043451)",
888440779,tertiary,True,False,83.93,بلوار امام خمینی,,"LINESTRING (53.7226612 29.8057983, 53.7232525 29.8063519)",
569437914,residential,False,False,112.496,,,"LINESTRING (53.7251632 29.8051656, 53.7243131 29.805858)",
894233210,tertiary,True,False,47.599,بلوار امام حسین,,"LINESTRING (53.7251632 29.8051656, 53.7248424 29.8048404)",
67505145,residential,False,False,37.096,خیابان شریعتی,,"LINESTRING (53.7236577 29.809977, 53.7234165 29.8097172)",
67505145,residential,False,True,36.712,خیابان شریعتی,,"LINESTRING (53.7236577 29.809977, 53.7238944 29.8102355)",
569450211,residential,False,False,99.244,,,"LINESTRING (53.7236577 29.809977, 53.724464 29.8094228)",
67505143,tertiary,True,False,85.036,بلوار امام حسین,,"LINESTRING (53.729443 29.8092593, 53.7288474 29.8086956)",
388034322,residential,False,False,112.732,حر,,"LINESTRING (53.729443 29.8092593, 53.7285771 29.80994)",
388034322,residential,False,True,15.655,حر,,"LINESTRING (53.729443 29.8092593, 53.7295669 29.8091684)",
888440779,tertiary,True,False,72.295,بلوار امام خمینی,,"LINESTRING (53.7277291 29.8105666, 53.7282349 29.8110463)",
894234226,residential,False,False,9.321,خیابان حر,,"LINESTRING (53.7277291 29.8105666, 53.7276555 29.8106209)",
894234226,residential,False,True,83.785,خیابان حر,,"LINESTRING (53.7277291 29.8105666, 53.7283937 29.8100816)",
894234226,residential,False,False,15.215,خیابان حر,,"LINESTRING (53.7257294 29.812115, 53.7255948 29.8121863)",
894234226,residential,False,True,112.675,خیابان حر,,"LINESTRING (53.7257294 29.812115, 53.7265996 29.8114392)",
67505145,residential,False,False,133.791,خیابان شریعتی,,"LINESTRING (53.7257294 29.812115, 53.7251777 29.8116492, 53.7247913 29.8112319)",
894234226,residential,False,False,83.785,خیابان حر,,"LINESTRING (53.7283937 29.8100816, 53.7277291 29.8105666)",
1146450652,tertiary,True,False,43.44,میدان شهید سلیمانی,,"LINESTRING (53.7283937 29.8100816, 53.7280905 29.8097928)",
388034325,residential,False,True,10.761,,,"LINESTRING (53.7297219 29.8034466, 53.7298094 29.8033866)",
388034325,residential,False,False,172.126,,,"LINESTRING (53.7297219 29.8034466, 53.7290216 29.8039284, 53.7283405 29.8044258)",
888437949,residential,False,False,38.682,,,"LINESTRING (53.7260604 29.8060902, 53.7257387 29.8062978)",
569437915,tertiary,True,False,9.608,,,"LINESTRING (53.7260604 29.8060902, 53.7260485 29.8060699, 53.7260411 29.8060444, 53.726043 29.8060071)",roundabout
67505145,residential,False,False,62.104,خیابان شریعتی,,"LINESTRING (53.7223592 29.8085738, 53.7219542 29.8081397)",
67505145,residential,False,True,59.245,خیابان شریعتی,,"LINESTRING (53.7223592 29.8085738, 53.7227519 29.8089834)",
569450209,residential,False,True,83.854,امام حسن,,"LINESTRING (53.7223592 29.8085738, 53.7230395 29.8081045)",
569450203,tertiary_link,False,False,7.842,,,"LINESTRING (53.7266899 29.8096235, 53.7266292 29.8096704)",
569451561,residential,False,True,87.474,,,"LINESTRING (53.7266899 29.8096235, 53.7273329 29.8090689)",
888440779,tertiary,True,False,145.087,بلوار امام خمینی,,"LINESTRING (53.7266899 29.8096235, 53.7277291 29.8105666)",
569423398,residential,False,True,11.969,,,"LINESTRING (53.7317645 29.8053662, 53.7318598 29.8052973)",
569423553,residential,False,False,189.426,,,"LINESTRING (53.7317645 29.8053662, 53.7303294 29.8065287)",
887956816,tertiary,True,False,76.861,بلوار شهید باهنر,,"LINESTRING (53.7317645 29.8053662, 53.7312218 29.8048602)",
67505143,tertiary,True,False,73.493,بلوار امام حسین,,"LINESTRING (53.7315579 29.811288, 53.7310499 29.8107955)",
569437927,residential,False,False,113.105,,,"LINESTRING (53.7315579 29.811288, 53.7306644 29.8119465)",
569414623,primary,True,False,71.229,بلوار شهدا,864,"LINESTRING (53.7230918 29.8050966, 53.7226299 29.8055963)",
569421558,tertiary,True,False,59.921,بلوار شهید رجایی,,"LINESTRING (53.7283613 29.8046239, 53.7287815 29.8050207)",
569414620,tertiary,True,False,13.905999999999999,میدان بسیج,,"LINESTRING (53.7283613 29.8046239, 53.7283323 29.8046571, 53.7282949 29.8046833, 53.7282514 29.804701)",roundabout
569423132,tertiary,True,False,16.152,بلوار امام خمینی,,"LINESTRING (53.7225679 29.8058604, 53.7225076 29.8058404, 53.722449 29.8058404, 53.7224057 29.8058325)",
