osmid,oneway,highway,reversed,length,name,geometry,bridge,junction
121559113,True,secondary,False,16.889,,"LINESTRING (58.9875421 37.515756, 58.9873912 37.5156625)",,
121559139,False,secondary,False,43.214,شهرستانی,"LINESTRING (58.9875421 37.515756, 58.9878021 37.5160854)",,
121559090,False,tertiary,True,352.9530000000001,,"LINESTRING (58.9934143 37.5172498, 58.9925929 37.5174352, 58.9918837 37.517697, 58.9912733 37.5179619, 58.9909882 37.5181106, 58.9907338 37.5182623, 58.9904275 37.518466, 58.9902573 37.5185561, 58.9899498 37.5187664)",,
121559135,False,tertiary,True,67.05,شهید میناسرشت,"LINESTRING (58.9897122 37.5184891, 58.9890703 37.5188122)",,
121559139,False,secondary,True,266.989,شهرستانی,"LINESTRING (58.9897122 37.5184891, 58.9880965 37.5164586)",,
121559135,False,tertiary,False,145.536,شهید میناسرشت,"LINESTRING (58.9897122 37.5184891, 58.9908183 37.5178781, 58.9910695 37.5177448)",,
"[121559130, 121559139, 121559140]",False,secondary,False,37.282000000000004,شهرستانی,"LINESTRING (58.9897122 37.5184891, 58.9897202 37.518499, 58.9899109 37.5187204, 58.9899498 37.5187664)",yes,
121559140,False,secondary,False,117.175,شهرستانی,"LINESTRING (58.9899498 37.5187664, 58.9905741 37.5196966)",,
121559090,False,tertiary,False,352.953,,"LINESTRING (58.9899498 37.5187664, 58.9902573 37.5185561, 58.9904275 37.518466, 58.9907338 37.5182623, 58.9909882 37.5181106, 58.9912733 37.5179619, 58.9918837 37.517697, 58.9925929 37.5174352, 58.9934143 37.5172498)",,
121559090,False,tertiary,True,214.66000000000003,,"LINESTRING (58.9899498 37.5187664, 58.9892978 37.5191323, 58.9885902 37.5194117, 58.9882655 37.5195405, 58.9878867 37.5197766)",,
"[121559130, 121559139, 121559140]",False,secondary,True,37.282000000000004,شهرستانی,"LINESTRING (58.9899498 37.5187664, 58.9899109 37.5187204, 58.9897202 37.518499, 58.9897122 37.5184891)",yes,
121559135,False,tertiary,False,67.05,شهید میناسرشت,"LINESTRING (58.9890703 37.5188122, 58.9897122 37.5184891)",,
