osmid,highway,oneway,reversed,length,geometry,bridge,name,maxspeed,junction
523302858,residential,False,True,59.539,"LINESTRING (51.117781 35.5784628, 51.1183232 35.5781591)",,,,
523302356,residential,False,True,76.564,"LINESTRING (51.117781 35.5784628, 51.1177023 35.5783887, 51.1173735 35.5782218, 51.1171048 35.5780542)",,,,
"[902760228, 902760229]",tertiary,True,False,24.901,"LINESTRING (51.117781 35.5784628, 51.1180151 35.5785709, 51.1180197 35.5785742)",yes,,,
884685851,residential,False,True,62.175,"LINESTRING (51.1154703 35.5843792, 51.1160149 35.5840379)",,,,
315280531,residential,False,False,156.011,"LINESTRING (51.1154703 35.5843792, 51.1163522 35.5853856, 51.1165009 35.5855011)",,,,
522890048,tertiary,False,True,247.092,"LINESTRING (51.1154703 35.5843792, 51.1154513 35.5844785, 51.1154126 35.5845183, 51.1150418 35.5847342, 51.1145088 35.5850249, 51.1137964 35.5854169, 51.1134288 35.5856274, 51.1134072 35.5856466, 51.1133866 35.5856728, 51.1133632 35.5857253)",,,,
884689660,tertiary,True,False,259.09,"LINESTRING (51.1154703 35.5843792, 51.1153561 35.5842832, 51.1150971 35.5840361, 51.1144103 35.5833844, 51.1139801 35.5829253, 51.113588 35.5826276)",,,,
522890047,tertiary,True,False,174.713,"LINESTRING (51.1121607 35.5844955, 51.1133632 35.5857253)",,بلوار ۱۳ آبان,,
522890050,tertiary,False,False,33.112,"LINESTRING (51.1121607 35.5844955, 51.1124042 35.5842731)",,خیابان امام خمینی,,
522891010,tertiary,False,True,8.201,"LINESTRING (51.1121607 35.5844955, 51.1120946 35.584546)",,,,
315266928,tertiary,True,False,34.06,"LINESTRING (51.1129786 35.5854673, 51.1127493 35.5852243)",,بلوار ۱۳ آبان,,
315266929,living_street,False,False,95.36,"LINESTRING (51.1129786 35.5854673, 51.112196 35.5860421)",,سنائی,,
315266929,living_street,False,True,95.36,"LINESTRING (51.112196 35.5860421, 51.1129786 35.5854673)",,سنائی,,
315266928,tertiary,True,False,41.581,"LINESTRING (51.1127493 35.5852243, 51.1124664 35.5849295)",,بلوار ۱۳ آبان,,
315266930,living_street,False,False,80.835,"LINESTRING (51.1127493 35.5852243, 51.1120821 35.5857081)",,صائب تبریزی,,
315266930,living_street,False,True,80.835,"LINESTRING (51.1120821 35.5857081, 51.1127493 35.5852243)",,صائب تبریزی,,
