osmid,oneway,highway,reversed,length,geometry,maxspeed,name,junction,bridge
901663232,True,secondary,False,160.577,"LINESTRING (50.2997007 30.6279434, 50.3000255 30.6279929, 50.3009583 30.6279502, 50.3013653 30.6278838)",,,,
901663230,False,secondary,False,39.957,"LINESTRING (50.3027411 30.6281384, 50.303152 30.6282025)",30,,,
901663230,False,secondary,True,27.305,"LINESTRING (50.3027411 30.6281384, 50.3024605 30.6280937)",30,,,
548690369,False,residential,True,40.536,"LINESTRING (50.3027411 30.6281384, 50.3027138 30.6282486, 50.3026437 30.6283561, 50.3025345 30.6284439)",,,,
679069484,False,residential,False,13.646,"LINESTRING (50.3052741 30.6281766, 50.3053385 30.6280671)",30,فردوسی,,
679069259,True,secondary,False,20.107999999999997,"LINESTRING (50.3052741 30.6281766, 50.3053261 30.6281992, 50.3053659 30.6282358, 50.3053888 30.6282819, 50.3053907 30.6283123)",,میدان شهرداری,roundabout,
573495636,False,residential,False,220.806,"LINESTRING (50.3075409 30.6266208, 50.3060492 30.6251057)",,,,
573495636,False,residential,True,37.846,"LINESTRING (50.3075409 30.6266208, 50.3078529 30.6264116)",,,,
679069484,False,residential,True,59.552,"LINESTRING (50.3075409 30.6266208, 50.3070427 30.6269418)",30,فردوسی,,
573495641,False,residential,True,102.739,"LINESTRING (50.3075409 30.6266208, 50.3078522 30.627005, 50.3074384 30.6272892)",,حافظ ۱,,
330540795,False,residential,False,102.398,"LINESTRING (50.3023414 30.6308871, 50.3026069 30.6317792)",30,,,
330540795,False,residential,True,20.879,"LINESTRING (50.3023414 30.6308871, 50.3022882 30.630705)",30,,,
548688738,False,residential,True,44.311,"LINESTRING (50.3023414 30.6308871, 50.3025046 30.6308696, 50.3026631 30.6310874)",30,,,
330540795,False,residential,True,102.398,"LINESTRING (50.3026069 30.6317792, 50.3023414 30.6308871)",30,,,
551506906,False,residential,False,70.143,"LINESTRING (50.3026069 30.6317792, 50.3027755 30.6323931)",30,,,
679069474,False,residential,True,71.437,"LINESTRING (50.3026069 30.6317792, 50.3032932 30.6315262)",,,,
"[679069474, 679069396, 679069397]",False,residential,False,22.275,"LINESTRING (50.3026069 30.6317792, 50.3025422 30.631801, 50.3024661 30.6318266, 50.3023901 30.6318522)",,,,yes
548688928,False,residential,False,88.818,"LINESTRING (50.3014133 30.6283749, 50.300663 30.6288452)",30,,,
457203088,False,tertiary,False,247.962,"LINESTRING (50.3014133 30.6283749, 50.3015019 30.6286496, 50.3015765 30.6289115, 50.301699 30.6293416, 50.3017577 30.6295479, 50.3018251 30.6297844, 50.3020155 30.6304533, 50.3020384 30.6305389)",50,جاده منصوریه - کارخانه سیمان,,
