osmid,name,highway,junction,oneway,reversed,length,geometry,maxspeed,ref
395720214,میدان امام حسین,tertiary,roundabout,True,False,39.123999999999995,"LINESTRING (51.1829436 32.1336756, 51.1828798 32.1337207, 51.1828024 32.1337463, 51.1827194 32.1337496, 51.1826395 32.1337304, 51.182571 32.1336905)",,
395720214,میدان امام حسین,tertiary,roundabout,True,False,25.171999999999997,"LINESTRING (51.182571 32.1336905, 51.1825292 32.1336464, 51.1825022 32.1335946, 51.1824918 32.1335387, 51.1824989 32.1334824)",,
461584003,معلم,residential,,False,True,112.91,"LINESTRING (51.182571 32.1336905, 51.1825168 32.1338164, 51.1825219 32.1346978)",,
395720214,میدان امام حسین,tertiary,roundabout,True,False,28.61,"LINESTRING (51.1824989 32.1334824, 51.1825273 32.1334228, 51.1825751 32.1333727, 51.1826381 32.1333368, 51.1827107 32.1333179)",,
936252277,انقلاب,tertiary,,False,True,141.21,"LINESTRING (51.1824989 32.1334824, 51.1822387 32.1335395, 51.1817408 32.133834, 51.1812178 32.1341215)",,
315454800,امام حسین,residential,,True,False,33.059,"LINESTRING (51.1827107 32.1333179, 51.1826902 32.1330211)",,
395720214,میدان امام حسین,tertiary,roundabout,True,False,27.426000000000002,"LINESTRING (51.1827107 32.1333179, 51.1827835 32.1333175, 51.1828536 32.1333343, 51.1829152 32.1333671, 51.1829636 32.1334132)",,
315454800,امام حسین,residential,,True,False,50.633,"LINESTRING (51.1826902 32.1330211, 51.1829636 32.1334132)",,
882793646,امام حسین,residential,,False,False,70.441,"LINESTRING (51.1826902 32.1330211, 51.1823147 32.1325759, 51.1822885 32.1324924)",,
882793646,امام حسین,residential,,False,False,36.86,"LINESTRING (51.1815127 32.1305067, 51.181438 32.1301813)",,
"[802735107, 802735101, 802735102]",,residential,,False,True,192.20599999999996,"LINESTRING (51.1815127 32.1305067, 51.1816737 32.1304705, 51.1822584 32.1303637, 51.1823067 32.1303342, 51.1823282 32.1302865, 51.182245 32.1300389, 51.1821967 32.1300026, 51.1820921 32.1300185, 51.181438 32.1301813)",,
882793646,امام حسین,residential,,False,True,20.202,"LINESTRING (51.1815127 32.1305067, 51.1815716 32.1306814)",,
882793646,امام حسین,residential,,False,True,49.062,"LINESTRING (51.1812838 32.1295931, 51.1813863 32.1300257)",,
462127777,,residential,,False,False,135.687,"LINESTRING (51.1812838 32.1295931, 51.1803214 32.1298547, 51.1801736 32.1298785, 51.1798988 32.1299228)",,
882793646,امام حسین,residential,,False,False,41.166,"LINESTRING (51.1812838 32.1295931, 51.1812204 32.1292597, 51.1812258 32.1292275)",,
