osmid,oneway,highway,reversed,length,geometry,ref,name,maxspeed
23068644,True,secondary,False,106.056,"LINESTRING (56.8180388 30.189881, 56.8186936 30.1891133)",,,
23068644,True,secondary,False,18.995,"LINESTRING (56.8198353 30.1878077, 56.8199867 30.1876979)",,,
715663449,False,residential,False,167.069,"LINESTRING (56.8198353 30.1878077, 56.8201864 30.1873702, 56.8204878 30.1870054, 56.8205707 30.1868191, 56.8206117 30.1864989)",,,
"[356973152, 436087785]",True,trunk,False,233.815,"LINESTRING (56.8225752 30.1901373, 56.8217094 30.188971, 56.8213102 30.1883425)",86,"['کرمان - سیرجان', 'بلوار شهید حاج قاسم سلیمانی']",95
23068629,True,secondary,False,145.853,"LINESTRING (56.8169365 30.1889795, 56.8180388 30.189881)",,,40
595367266,False,residential,False,38.713,"LINESTRING (56.8169365 30.1889795, 56.8172309 30.1887419)",,,30
436087785,True,trunk,False,49.474,"LINESTRING (56.8207281 30.1869323, 56.8206117 30.1864989)",86,بلوار شهید حاج قاسم سلیمانی,
715663452,False,trunk_link,False,17.801,"LINESTRING (56.8207281 30.1869323, 56.820905 30.1868849)",,,
595367331,False,residential,False,48.143,"LINESTRING (56.8176761 30.1908957, 56.8179349 30.1912664)",,,30
118483861,True,secondary,False,130.849,"LINESTRING (56.8184406 30.189922, 56.8176761 30.1908957)",,کرمان - یزد,
595367342,False,residential,False,81.727,"LINESTRING (56.8184406 30.189922, 56.8190748 30.1904116)",,,30
118483861,True,secondary,False,240.37699999999998,"LINESTRING (56.8198702 30.1881484, 56.8195778 30.1885263, 56.8191031 30.1891175, 56.8184406 30.189922)",,کرمان - یزد,
436087785,True,trunk,False,69.765,"LINESTRING (56.8209233 30.1875366, 56.8207281 30.1869323)",86,بلوار شهید حاج قاسم سلیمانی,
118483861,True,secondary,False,83.469,"LINESTRING (56.8209233 30.1875366, 56.8206775 30.1875803, 56.8204779 30.187649, 56.8201633 30.1878662)",,کرمان - یزد,
592461983,True,secondary,False,59.402,"LINESTRING (56.8162532 30.188546, 56.8160816 30.1884022, 56.8159099 30.188197, 56.8158651 30.1881335)",,,40
386901045,False,tertiary,True,34.422,"LINESTRING (56.8168784 30.1890612, 56.8166908 30.1893249)",,شهرداری,
592461983,True,secondary,False,29.884,"LINESTRING (56.8168784 30.1890612, 56.8166492 30.1888796)",,,40
595367316,False,residential,False,48.94,"LINESTRING (56.8175192 30.189609, 56.8171558 30.1899173)",,,30
592461983,True,secondary,False,86.62499999999999,"LINESTRING (56.8175192 30.189609, 56.8172792 30.1894049, 56.8169318 30.1891059, 56.8168784 30.1890612)",,,40
23068644,True,secondary,False,10.328,"LINESTRING (56.8179782 30.1899577, 56.8180388 30.189881)",,,
592461983,True,secondary,False,58.733,"LINESTRING (56.8179782 30.1899577, 56.8175192 30.189609)",,,40
386901045,False,tertiary,False,69.215,"LINESTRING (56.8162539 30.1899393, 56.816631 30.189409)",,شهرداری,
386901045,False,tertiary,True,58.633,"LINESTRING (56.8162539 30.1899393, 56.8159344 30.1903885)",,شهرداری,
800792203,False,residential,True,60.919,"LINESTRING (56.8162539 30.1899393, 56.8168004 30.1902168)",,,
"[592815539, 592815534]",False,residential,False,146.062,"LINESTRING (56.8162539 30.1899393, 56.8155491 30.1895046, 56.8154673 30.1895939, 56.8153211 30.1897388, 56.8152139 30.1898454, 56.8150985 30.189908)",,,30
592815540,False,residential,True,96.485,"LINESTRING (56.8150985 30.189908, 56.8159344 30.1903885)",,,30
