osmid,oneway,highway,maxspeed,reversed,length,geometry,bridge,ref,name,junction
304989581,True,tertiary,40,False,71.74600000000001,"LINESTRING (51.4856941 32.6269582, 51.485642 32.626805, 51.4855782 32.6266296, 51.4855552 32.626546, 51.4855427 32.6265003, 51.4855241 32.6264016, 51.485511 32.6263327)",,,,
"[550468913, 550468914, 550468915]",False,tertiary_link,20,True,14.790999999999999,"LINESTRING (51.4856941 32.6269582, 51.485741 32.6269549, 51.4858282 32.6269458, 51.4858504 32.6269407)",yes,,,
304989581,True,tertiary,40,False,101.812,"LINESTRING (51.485511 32.6263327, 51.4855083 32.626142, 51.4855085 32.6259263, 51.4855164 32.6258142, 51.4855437 32.6256663, 51.4855869 32.6255411, 51.4856244 32.6254286)",,,,
550468916,False,residential,30,True,238.968,"LINESTRING (51.485511 32.6263327, 51.4854231 32.6263438, 51.4848921 32.6264297, 51.4848411 32.6264116, 51.4848196 32.6263845, 51.4848143 32.6259734, 51.4840686 32.6259801, 51.4839962 32.6259598, 51.4839721 32.6259259, 51.4839393 32.6255302)",,,,
304989582,True,trunk,30,False,18.13,"LINESTRING (51.4818836 32.625703, 51.4818377 32.6257433, 51.4817296 32.6257999)",,62,میدان ولیعصر,roundabout
304989577,True,trunk,60,False,107.572,"LINESTRING (51.4818434 32.6254885, 51.482989 32.6254179)",,62,الغدیر,
304989582,True,trunk,30,False,25.375,"LINESTRING (51.4818434 32.6254885, 51.4818869 32.6255424, 51.4819019 32.6256125, 51.4818836 32.625703)",,62,میدان ولیعصر,roundabout
304989576,True,trunk,60,False,21.539,"LINESTRING (51.4858538 32.6254147, 51.4856244 32.6254286)",,62,الغدیر,
304989579,True,tertiary,40,False,176.09,"LINESTRING (51.4858538 32.6254147, 51.4858092 32.6254708, 51.4857143 32.6256606, 51.4856431 32.6259104, 51.4856312 32.6261535, 51.4856866 32.6264166, 51.4857696 32.6266431, 51.4858289 32.6268263, 51.4858504 32.6269407)",,,,
304989576,True,trunk,60,False,137.885,"LINESTRING (51.4856244 32.6254286, 51.4849385 32.6254699, 51.4841558 32.6255171)",,62,الغدیر,
304989582,True,trunk,30,False,44.594,"LINESTRING (51.4817296 32.6257999, 51.4816651 32.6258146, 51.481613 32.6258229, 51.4815446 32.6258338, 51.4814697 32.6258338, 51.4813948 32.6258338, 51.4813297 32.6258174, 51.4812646 32.6257982)",,62,میدان ولیعصر,roundabout
308279996,True,secondary,50,False,22.145999999999997,"LINESTRING (51.4817296 32.6257999, 51.4816293 32.6259593, 51.4816239 32.6259775)",,,ولیعصر,
304989582,True,trunk,30,False,20.253,"LINESTRING (51.4812646 32.6257982, 51.4812092 32.6257653, 51.4811506 32.6257159, 51.4811213 32.6256665)",,62,میدان ولیعصر,roundabout
304989583,True,trunk,60,False,19.583,"LINESTRING (51.4811213 32.6256665, 51.4809129 32.625681)",,62,آیت الله ایزدی,
304989582,True,trunk,30,False,22.445999999999998,"LINESTRING (51.4811213 32.6256665, 51.4811115 32.6255925, 51.4811375 32.6255321, 51.4811799 32.62548)",,62,میدان ولیعصر,roundabout
304989582,True,trunk,30,False,5.586,"LINESTRING (51.4811799 32.62548, 51.4812328 32.6254568)",,62,میدان ولیعصر,roundabout
304989577,True,trunk,60,False,63.84,"LINESTRING (51.4848846 32.6252983, 51.4855647 32.6252591)",,62,الغدیر,
