osmid,oneway,highway,reversed,length,name,maxspeed,junction,geometry,lanes
196216878,True,secondary,False,35.505,,,,"LINESTRING (46.2999161 38.0777042, 46.3003177 38.0777491)",
80866544,True,primary,False,57.525999999999996,میدان دانشسرا,30,roundabout,"LINESTRING (46.2999161 38.0777042, 46.299955 38.0777345, 46.2999827 38.0777717, 46.2999972 38.0778133, 46.2999976 38.0778564, 46.2999837 38.0778981, 46.2999567 38.0779356, 46.2999182 38.0779663, 46.299871 38.0779881, 46.2998182 38.0779995, 46.2997634 38.0779999, 46.2997104 38.077989, 46.2996628 38.0779677)",
492276832,True,primary,False,34.667,خیابان تئاتر,,,"LINESTRING (46.2999292 38.0781984, 46.2996628 38.0779677)",
237666396,True,secondary,False,63.16799999999999,,,,"LINESTRING (46.2999292 38.0781984, 46.2999564 38.0780854, 46.2999947 38.077997, 46.3000781 38.0778961, 46.3001871 38.0778236, 46.3003177 38.0777491)",
80866544,True,primary,False,9.597999999999999,میدان دانشسرا,30,roundabout,"LINESTRING (46.2996628 38.0779677, 46.2996237 38.0779374, 46.299596 38.0779002)",
238300015,True,primary,False,17.916,خاقانی,50,,"LINESTRING (46.2997079 38.0776836, 46.2996477 38.0775296)",4
80866544,True,primary,False,19.177,میدان دانشسرا,30,roundabout,"LINESTRING (46.2997079 38.0776836, 46.2997608 38.0776722, 46.2998155 38.077672, 46.2998685 38.0776829, 46.2999161 38.0777042)",
746854555,False,primary,True,72.477,ارتش جنوبی,50,,"LINESTRING (46.2964699 38.0717559, 46.2965518 38.0711073)",6
173699537,True,primary,False,135.225,ارتش جنوبی,50,,"LINESTRING (46.2964699 38.0717559, 46.296357 38.0729227, 46.2963526 38.0729685)",6
174859164,True,primary,False,27.274,میدان ساعت,30,roundabout,"LINESTRING (46.2962633 38.0739491, 46.2963252 38.0739546, 46.2963832 38.0739725, 46.2964334 38.0740016, 46.2964723 38.0740399, 46.2964972 38.0740849)",
420101196,False,primary,False,49.645,امام خمینی,50,,"LINESTRING (46.2964972 38.0740849, 46.2970295 38.0739308)",
174859164,True,primary,False,38.181000000000004,میدان ساعت,30,roundabout,"LINESTRING (46.2964972 38.0740849, 46.2965065 38.0741334, 46.2964996 38.0741822, 46.2964769 38.0742278, 46.2964399 38.0742673, 46.2963912 38.0742979, 46.2963341 38.0743176, 46.2962725 38.0743249)",
173699543,True,primary,False,104.271,امام خمینی,50,,"LINESTRING (46.2960361 38.0740919, 46.2959001 38.0740905, 46.2948459 38.0740545)",3
174859164,True,primary,False,27.278,میدان ساعت,30,roundabout,"LINESTRING (46.2960361 38.0740919, 46.2960589 38.0740462, 46.2960959 38.0740067, 46.2961446 38.0739761, 46.2962017 38.0739565, 46.2962633 38.0739491)",
173699543,True,primary,False,56.413,امام خمینی,50,,"LINESTRING (46.2948459 38.0740545, 46.2943075 38.0740392, 46.294202 38.0740338)",3
173699581,True,residential,False,110.191,مقصودیه,30,,"LINESTRING (46.2948459 38.0740545, 46.2948618 38.0739257, 46.294864 38.0738548, 46.2948651 38.073794, 46.2948596 38.0737243, 46.2948487 38.0736593, 46.2948255 38.0735985, 46.2947898 38.0735237, 46.2947504 38.0734408, 46.2947175 38.0733775, 46.2946728 38.073301, 46.2946145 38.0732054, 46.2945522 38.0731138)",
173699557,True,primary,False,192.192,ارک جدید,30,,"LINESTRING (46.2939475 38.0715671, 46.2961342 38.0717221)",4
173699570,True,primary,False,20.753999999999998,میدان شهدا,20,roundabout,"LINESTRING (46.2964265 38.0776313, 46.2965363 38.0776621, 46.296627 38.0777246)",
173699563,True,primary,False,31.597,,,,"LINESTRING (46.296627 38.0777246, 46.2967626 38.0778083, 46.2969098 38.0778808, 46.2969238 38.0778851)",
173699570,True,primary,False,52.169,میدان شهدا,20,roundabout,"LINESTRING (46.296627 38.0777246, 46.2966836 38.0778072, 46.296694 38.0779007, 46.2966567 38.0779898, 46.2965777 38.0780601, 46.2964699 38.0781)",
173699563,True,primary,False,28.074,,,,"LINESTRING (46.2993417 38.0777324, 46.2996606 38.0777054)",
238305965,True,primary_link,False,35.502,,,,"LINESTRING (46.2993417 38.0777324, 46.2994869 38.0776684, 46.2995681 38.0776077, 46.2996477 38.0775296)",
80866544,True,primary,False,4.798,میدان دانشسرا,30,roundabout,"LINESTRING (46.2996606 38.0777054, 46.2997079 38.0776836)",
173699564,True,primary,False,127.632,ارتش شمالی,50,,"LINESTRING (46.2962725 38.0743249, 46.2962795 38.0744829, 46.2962839 38.0745826, 46.2963241 38.075472)",4
174859164,True,primary,False,38.181,میدان ساعت,30,roundabout,"LINESTRING (46.2962725 38.0743249, 46.2962105 38.0743194, 46.2961525 38.0743015, 46.2961024 38.0742724, 46.2960635 38.0742341, 46.2960385 38.0741891, 46.2960292 38.0741406, 46.2960361 38.0740919)",
173699570,True,primary,False,122.166,میدان شهدا,20,roundabout,"LINESTRING (46.2964699 38.0781, 46.2959962 38.0781359, 46.2950806 38.0782052)",
173699570,True,primary,False,127.588,میدان شهدا,20,roundabout,"LINESTRING (46.2950174 38.0779247, 46.2954321 38.0778326, 46.2964265 38.0776313)",
578748291,True,residential,False,112.84500000000001,کوی نوبر,30,,"LINESTRING (46.2950244 38.0696214, 46.2947554 38.0698018, 46.2945807 38.069951, 46.2944841 38.0700709, 46.294392 38.070198, 46.2943058 38.0703512, 46.2942682 38.0704232)",
173699581,True,residential,False,44.732,مقصودیه,30,,"LINESTRING (46.2940823 38.0722687, 46.2940595 38.0722087, 46.2940109 38.0720863, 46.2939575 38.0719549, 46.2939442 38.0718822)",
299842104,False,residential,True,109.952,ادیب,30,,"LINESTRING (46.2940823 38.0722687, 46.2940197 38.0722919, 46.2939071 38.0723256, 46.2937837 38.0723531, 46.2936308 38.0723742, 46.2928503 38.0724228)",
173699583,True,residential,False,55.279,عزب دفتریلر اول,30,,"LINESTRING (46.2966058 38.0706269, 46.2959779 38.070574)",
746854555,False,primary,False,53.627,ارتش جنوبی,50,,"LINESTRING (46.2966058 38.0706269, 46.2965518 38.0711073)",6
746854555,False,primary,True,32.991,ارتش جنوبی,50,,"LINESTRING (46.2966058 38.0706269, 46.2966381 38.0703313)",6
173699583,True,residential,False,96.002,عزب دفتریلر اول,30,,"LINESTRING (46.2959779 38.070574, 46.2958741 38.0705486, 46.2957195 38.0705342, 46.29549 38.0705389, 46.2950309 38.0705431, 46.2949548 38.0705443, 46.2948875 38.0705404)",
