osmid,highway,oneway,reversed,length,geometry,junction,name,ref
295767081,residential,False,False,83.663,"LINESTRING (49.218191 35.5756464, 49.218692 35.5762789)",,,
295767180,residential,False,True,31.562,"LINESTRING (49.218191 35.5756464, 49.2184878 35.5754971)",,,
295767081,residential,False,True,69.53200000000001,"LINESTRING (49.2203646 35.5782451, 49.220045 35.577939, 49.2198885 35.577755)",,,
295767121,tertiary,True,False,16.593,"LINESTRING (49.2203646 35.5782451, 49.2203946 35.5782279, 49.2204292 35.578218, 49.2204659 35.5782161, 49.2205017 35.5782224, 49.2205341 35.5782364)",roundabout,,
295767086,residential,False,True,86.605,"LINESTRING (49.2203398 35.5783777, 49.2195568 35.5788261)",,,
295767121,tertiary,True,False,6.413,"LINESTRING (49.2203398 35.5783777, 49.2203266 35.578351, 49.2203225 35.5783223)",roundabout,,
295767086,residential,False,False,86.605,"LINESTRING (49.2195568 35.5788261, 49.2203398 35.5783777)",,,
295767079,residential,False,True,204.44299999999998,"LINESTRING (49.2195568 35.5788261, 49.2200014 35.5793797, 49.2203421 35.5797781, 49.2208375 35.5803408)",,,
295767086,residential,False,True,313.473,"LINESTRING (49.2195568 35.5788261, 49.218128 35.5795463, 49.2181367 35.5796384, 49.2184694 35.5800775, 49.2185522 35.5801868, 49.2190155 35.580795)",,,
523603696,residential,False,False,47.583999999999996,"LINESTRING (49.2265559 35.5789456, 49.2267823 35.5792254, 49.2268278 35.5793107)",,,
523603697,residential,False,True,142.393,"LINESTRING (49.2265559 35.5789456, 49.2264509 35.5785522, 49.2262509 35.5782061, 49.2259312 35.5777842)",,,
523603710,tertiary,False,True,116.148,"LINESTRING (49.2265559 35.5789456, 49.2260444 35.5791677, 49.2255243 35.579345, 49.2253935 35.5793868)",,,
295767083,tertiary,False,False,62.726,"LINESTRING (49.2210262 35.578805, 49.2207903 35.5785564, 49.2206196 35.5784381, 49.2205642 35.5783876)",,آزادی,
295767083,tertiary,False,True,151.712,"LINESTRING (49.2210262 35.578805, 49.2214897 35.5793635, 49.2218932 35.5799711)",,آزادی,
568105159,residential,False,False,71.974,"LINESTRING (49.2210262 35.578805, 49.2205662 35.5790713, 49.2203791 35.5791818)",,,
523603710,tertiary,False,False,36.147,"LINESTRING (49.2250215 35.5795057, 49.2253935 35.5793868)",,,
523603710,tertiary,False,True,24.197,"LINESTRING (49.2250215 35.5795057, 49.2247542 35.5795152)",,,
523603715,residential,False,False,191.208,"LINESTRING (49.2250215 35.5795057, 49.2249917 35.5802258, 49.225014 35.5812247)",,,
523603694,residential,False,False,72.213,"LINESTRING (49.2247542 35.5795152, 49.2246944 35.5801628)",,,
523603710,tertiary,False,False,24.197,"LINESTRING (49.2247542 35.5795152, 49.2250215 35.5795057)",,,
523603710,tertiary,False,True,30.883,"LINESTRING (49.2247542 35.5795152, 49.2244132 35.5795301)",,,
295767066,tertiary,False,False,12.172,"LINESTRING (49.2231836 35.5795328, 49.2230666 35.5795869)",,طالقانی,
1007351462,trunk,False,False,30.659,"LINESTRING (49.2231836 35.5795328, 49.2233702 35.579763)",,امام خمینی,37
1007351462,trunk,False,True,248.337,"LINESTRING (49.2231836 35.5795328, 49.222891 35.57919, 49.2223824 35.5786434, 49.2219415 35.5781684, 49.221537 35.577746)",,امام خمینی,37
523603699,tertiary,False,True,23.989,"LINESTRING (49.2278514 35.5796523, 49.2277775 35.5798595)",,,
523603696,residential,False,True,108.348,"LINESTRING (49.2278514 35.5796523, 49.2273183 35.5793311, 49.2268557 35.5793632, 49.2268278 35.5793107)",,,
523603716,tertiary,True,False,58.65,"LINESTRING (49.2235451 35.5796971, 49.2239179 35.5801287)",,کنارگذر,
1058857778,tertiary_link,False,True,17.432,"LINESTRING (49.2235451 35.5796971, 49.2233702 35.579763)",,,
523603710,tertiary,False,False,81.186,"LINESTRING (49.2235451 35.5796971, 49.2241584 35.5795412, 49.2244132 35.5795301)",,,
523603699,tertiary,False,False,23.989,"LINESTRING (49.2277775 35.5798595, 49.2278514 35.5796523)",,,
523603699,tertiary,False,True,217.005,"LINESTRING (49.2277775 35.5798595, 49.2276213 35.5801837, 49.2273994 35.580528, 49.2272966 35.5806282, 49.2271733 35.5806984, 49.2269884 35.5807252, 49.226635 35.5807319, 49.2262815 35.5807686, 49.2261336 35.5808288, 49.2260432 35.5808923)",,,
523603707,residential,False,True,101.256,"LINESTRING (49.2277775 35.5798595, 49.2273449 35.5798292, 49.2266698 35.5799257)",,,
