osmid,bridge,ref,highway,oneway,reversed,length,geometry,name,junction
582658174,yes,32,trunk,False,True,19.895,"LINESTRING (46.8327748 37.8395603, 46.8326267 37.8396957)",,
175857786,,32,trunk,True,False,110.733,"LINESTRING (46.8327748 37.8395603, 46.8331608 37.8391906, 46.8335218 37.8387597)",,
175847298,,,secondary,False,True,54.526,"LINESTRING (46.8381652 37.8451635, 46.8379511 37.8447032)",طالقانی شرقی,
503329493,,,residential,False,False,69.736,"LINESTRING (46.8381652 37.8451635, 46.8374653 37.8454599)",کشاورز,
582663976,,16,primary,True,False,9.263,"LINESTRING (46.8309276 37.8455565, 46.8308476 37.8455022)",میدان امام حسین,roundabout
175857756,,,secondary,False,True,34.225,"LINESTRING (46.8346508 37.8416734, 46.8348582 37.8414128)",امام خمینی,
175857712,,,residential,False,True,100.748,"LINESTRING (46.8346508 37.8416734, 46.8348901 37.8417453, 46.8346794 37.8424292)",,
175857756,,,secondary,False,False,56.873999999999995,"LINESTRING (46.8346508 37.8416734, 46.8343956 37.8419571, 46.834251 37.8420741)",امام خمینی,
175847298,,,secondary,False,False,54.526,"LINESTRING (46.8379511 37.8447032, 46.8381652 37.8451635)",طالقانی شرقی,
175847298,,,secondary,False,True,74.899,"LINESTRING (46.8379511 37.8447032, 46.8376833 37.8444105, 46.8373897 37.844201)",طالقانی شرقی,
175857676,,,residential,False,True,114.46499999999999,"LINESTRING (46.8379511 37.8447032, 46.8381889 37.8442784, 46.8382824 37.843839, 46.8382687 37.8437201)",هلال احمر,
582663976,,16,primary,True,False,6.349,"LINESTRING (46.8311236 37.8454538, 46.8311056 37.8455091)",میدان امام حسین,roundabout
175847294,,,secondary,False,True,140.363,"LINESTRING (46.8325545 37.8395096, 46.8327802 37.8397338, 46.8330116 37.8400335, 46.8332378 37.8406323)",طالقانی غربی,
316206575,,,tertiary,False,False,84.33,"LINESTRING (46.8325545 37.8395096, 46.8324271 37.8393392, 46.8320873 37.8388471)",جاده خیرآباد - بستان آباد,
