osmid,name,highway,maxspeed,oneway,reversed,length,junction,geometry,bridge
619754875,سید جمال الدین اسدآبادی,secondary,50,False,True,135.858,,"LINESTRING (55.3718346 37.2257139, 55.37205 37.2269236)",
367481904,میدان مرکزی,secondary,,True,False,35.758,roundabout,"LINESTRING (55.3718346 37.2257139, 55.3717338 37.2257102, 55.3716391 37.2256821, 55.3715598 37.2256324, 55.3715034 37.2255657)",
367484333,بعثت شرقی,residential,,False,False,27.105,,"LINESTRING (55.3745573 37.2265606, 55.3742561 37.2266042)",
684010293,بهشت ۴,residential,,True,False,18.303,,"LINESTRING (55.3745573 37.2265606, 55.3744146 37.2264415)",
367484333,بعثت شرقی,residential,,False,True,58.078,,"LINESTRING (55.3745573 37.2265606, 55.3748879 37.2264898, 55.375198 37.2264525)",
619754875,سید جمال الدین اسدآبادی,secondary,50,False,False,135.858,,"LINESTRING (55.37205 37.2269236, 55.3718346 37.2257139)",
619754875,سید جمال الدین اسدآبادی,secondary,50,False,True,7.089,,"LINESTRING (55.37205 37.2269236, 55.3720614 37.2269867)",
684004174,ولیعصر,tertiary,50,True,False,120.208,,"LINESTRING (55.37205 37.2269236, 55.3706987 37.2270284)",
684010295,بعثت شرقی,residential,,True,False,66.431,,"LINESTRING (55.37205 37.2269236, 55.3727882 37.2268167)",
335342737,,tertiary,30,True,False,9.013,roundabout,"LINESTRING (55.3723627 37.2318646, 55.3723953 37.2318572, 55.3724293 37.2318586, 55.3724608 37.2318685)",
684004062,امام حسین,residential,,False,True,69.247,,"LINESTRING (55.3723627 37.2318646, 55.3721869 37.2316816, 55.3719465 37.2313391)",
335342737,,tertiary,30,True,False,11.968,roundabout,"LINESTRING (55.3724608 37.2318685, 55.3724866 37.2318859, 55.372504 37.231909, 55.3725112 37.2319352, 55.3725075 37.231962)",
335345124,سمیه,tertiary,50,True,False,99.09,,"LINESTRING (55.3724608 37.2318685, 55.3725409 37.2318332, 55.372608 37.2318033, 55.3727394 37.2317179, 55.3728548 37.2316324, 55.3730452 37.2314659, 55.3730988 37.2314082, 55.3732839 37.2312737)",
335342737,,tertiary,30,True,False,6.003,roundabout,"LINESTRING (55.3725075 37.231962, 55.3724932 37.2319865, 55.3724698 37.232006)",
367484366,کمیل,residential,,False,False,89.708,,"LINESTRING (55.3724698 37.232006, 55.3731552 37.2326002)",
335342737,,tertiary,30,True,False,10.120999999999999,roundabout,"LINESTRING (55.3724698 37.232006, 55.3724448 37.2320171, 55.372417 37.2320223, 55.3723885 37.2320214, 55.3723613 37.2320143)",
335342737,,tertiary,30,True,False,8.032,roundabout,"LINESTRING (55.3723062 37.2319185, 55.3723181 37.2318964, 55.3723374 37.2318779, 55.3723627 37.2318646)",
