osmid,highway,oneway,reversed,length,name,junction,geometry,lanes
321576772,tertiary,False,False,9.359,,,"LINESTRING (50.3683603 35.7211421, 50.3683686 35.721226)",
66732756,residential,False,False,234.843,کاویانی,,"LINESTRING (50.3653914 35.7271415, 50.3652336 35.7250334)",
321576480,tertiary,False,False,45.542,مطهری,,"LINESTRING (50.3653914 35.7271415, 50.3658958 35.7271329)",
321576480,tertiary,False,True,35.244,مطهری,,"LINESTRING (50.3653914 35.7271415, 50.3650011 35.7271498)",
440979809,tertiary,False,True,13.683,امام خمینی,,"LINESTRING (50.3647722 35.7249681, 50.3646226 35.7249879)",
321576476,tertiary,True,False,48.57,میدان آزادگان,roundabout,"LINESTRING (50.3647722 35.7249681, 50.3647962 35.724922, 50.3648366 35.7248854, 50.3650095 35.7248088, 50.3652081 35.7247341)",
314941537,secondary,True,False,18.977,میدان معلم,roundabout,"LINESTRING (50.3648288 35.7214457, 50.3646186 35.7214474)",3
321576475,secondary,True,False,30.057,خیابان معلم,,"LINESTRING (50.3648288 35.7214457, 50.3648589 35.7217149)",
866930050,secondary,True,False,30.792,بلوار آیت الله خامنه ای,,"LINESTRING (50.3652734 35.7212959, 50.3656137 35.7212771)",3
866930050,secondary,True,False,22.507,بلوار آیت الله خامنه ای,,"LINESTRING (50.3650242 35.7212899, 50.3652734 35.7212959)",3
314941537,secondary,True,False,23.409000000000002,میدان معلم,roundabout,"LINESTRING (50.3650242 35.7212899, 50.3650792 35.7213019, 50.3651047 35.7213106, 50.3651228 35.721322, 50.3651335 35.7213394, 50.3651369 35.7213574, 50.3651288 35.7213792, 50.3651107 35.7213966, 50.3650726 35.721422)",3
314941537,secondary,True,False,38.715999999999994,میدان معلم,roundabout,"LINESTRING (50.3645979 35.7213177, 50.364701 35.7213046, 50.3648197 35.7212921, 50.3648536 35.7212903, 50.3649216 35.7212866, 50.3650242 35.7212899)",3
385833757,secondary,True,False,21.957,بلوار آیت الله خامنه ای,,"LINESTRING (50.3643571 35.7213455, 50.3645979 35.7213177)",3
1124627596,secondary_link,True,False,13.178999999999998,,,"LINESTRING (50.3643571 35.7213455, 50.3643808 35.72138, 50.3643891 35.7214189, 50.3643811 35.7214579)",
866930051,secondary,True,False,8.51,بلوار آیت الله خامنه ای,,"LINESTRING (50.3652781 35.7214042, 50.3651844 35.7214126)",3
1124627597,secondary_link,True,False,12.796,,,"LINESTRING (50.3652781 35.7214042, 50.3652573 35.7213698, 50.3652556 35.7213314, 50.3652734 35.7212959)",
314941537,secondary,True,False,22.166,میدان معلم,roundabout,"LINESTRING (50.3650726 35.721422, 50.3648288 35.7214457)",3
751485976,secondary,True,False,21.472,بلوار آیت الله خامنه ای,,"LINESTRING (50.3646186 35.7214474, 50.3643811 35.7214579)",3
