osmid,oneway,ref,name,highway,junction,reversed,length,geometry,lanes,maxspeed
242043097,True,91,میدان امام خمینی,trunk,roundabout,False,3.201,"LINESTRING (57.5118918 33.2891627, 57.5119256 33.2891682)",,
242043097,True,91,میدان امام خمینی,trunk,roundabout,False,21.642999999999997,"LINESTRING (57.511683 33.2892336, 57.5117534 33.2891862, 57.5118207 33.2891668, 57.5118918 33.2891627)",,
242043097,True,91,میدان امام خمینی,trunk,roundabout,False,26.484,"LINESTRING (57.5121193 33.2892887, 57.5121424 33.289345, 57.5121473 33.2894044, 57.5121337 33.2894629, 57.5121025 33.2895164)",,
242043097,True,91,میدان امام خمینی,trunk,roundabout,False,24.612000000000002,"LINESTRING (57.5116076 33.2894357, 57.5116026 33.2893763, 57.5116163 33.2893179, 57.5116475 33.2892644, 57.511683 33.2892336)",,
1164329487,True,91,,trunk,roundabout,False,38.675,"LINESTRING (57.5121025 33.2895164, 57.5120307 33.2895695, 57.5119733 33.2895955, 57.5119018 33.2896064, 57.5118368 33.2896088, 57.5117799 33.2895979, 57.5117248 33.2895807)",,
"[1270347004, 1270347005]",True,91,جهاد,trunk,,False,170.867,"LINESTRING (57.5121025 33.2895164, 57.5120759 33.2896379, 57.5120928 33.2898179, 57.5125185 33.2904674, 57.5126003 33.2909546)",2,
242043097,True,91,میدان امام خمینی,trunk,roundabout,False,19.917,"LINESTRING (57.5117248 33.2895807, 57.5116705 33.2895414, 57.5116307 33.289492, 57.5116076 33.2894357)",,
464398365,True,,,residential,,False,73.377,"LINESTRING (57.5217263 33.2945674, 57.5209477 33.2946766)",,30
464398368,False,,,residential,,True,74.413,"LINESTRING (57.5217263 33.2945674, 57.5218221 33.2952318)",,30
464398248,False,,,residential,,True,95.847,"LINESTRING (57.5205188 33.2932058, 57.5196002 33.2935975)",,30
464398488,True,,معلم,secondary,,False,96.762,"LINESTRING (57.5205188 33.2932058, 57.5202365 33.2923682)",,
464398248,False,,,residential,,False,75.021,"LINESTRING (57.5188812 33.2939041, 57.5196002 33.2935975)",,30
464398352,True,,بلوار شهید رجایی,tertiary,,False,166.127,"LINESTRING (57.5188812 33.2939041, 57.5204566 33.2936411, 57.5206338 33.2936108)",,
464398277,False,,,residential,,False,94.619,"LINESTRING (57.5171739 33.2934313, 57.5161772 33.2936045)",,30
464398466,False,,,residential,,False,90.388,"LINESTRING (57.5171739 33.2934313, 57.5173522 33.2942304)",,30
