osmid,oneway,name,highway,maxspeed,reversed,length,geometry,bridge,lanes,junction
89083378,True,خیابان دکتر بهشتی,secondary,60,False,210.845,"LINESTRING (48.080549 39.0298564, 48.0805705 39.0300481, 48.0805061 39.0304857, 48.0801742 39.0317224)",,,
395219825,False,۲۲ بهمن,residential,30,True,25.052999999999997,"LINESTRING (48.080549 39.0298564, 48.0806975 39.0298225, 48.080828 39.0298501)",,,
895031963,False,,secondary_link,,True,12.536,"LINESTRING (48.0797537 39.0284885, 48.0798801 39.0284331)",,,
895031964,True,خیابان امام خمینی,secondary,,False,183.267,"LINESTRING (48.0797537 39.0284885, 48.0796569 39.028319, 48.0795378 39.0281455, 48.0794366 39.0279875, 48.0793185 39.0278078, 48.0792271 39.0276582, 48.0790624 39.027511, 48.0787914 39.027312, 48.0786423 39.0272076, 48.078566 39.0271515)",,,
895031963,False,,secondary_link,,False,12.536,"LINESTRING (48.0798801 39.0284331, 48.0797537 39.0284885)",,,
89083378,True,خیابان دکتر بهشتی,secondary,60,False,169.266,"LINESTRING (48.0798801 39.0284331, 48.0802379 39.0290438, 48.0803613 39.0292689, 48.0805061 39.0296439, 48.080549 39.0298564)",,,
440037542,False,,secondary,,False,63.698,"LINESTRING (48.0807002 39.0280695, 48.0807541 39.0281383, 48.0808537 39.0282022, 48.0812579 39.0284368)",,,
"[395047951, 440037542, 440037543]",False,,secondary,,True,138.063,"LINESTRING (48.0807002 39.0280695, 48.0804649 39.0280959, 48.0801564 39.0281115, 48.0800131 39.0280686, 48.0799363 39.0280069, 48.0798047 39.0278675, 48.0795415 39.0276763, 48.0794261 39.02763, 48.0793517 39.0276342)",yes,,
395048063,False,خیابان دکتر شهید سیدحسین فاطمی,tertiary,,False,514.2860000000001,"LINESTRING (48.0814772 39.0285748, 48.0817812 39.0287503, 48.082092 39.0289795, 48.0823777 39.0292387, 48.0826986 39.0296284, 48.0830252 39.0300632, 48.0830719 39.0301254, 48.0836492 39.0313013, 48.0840425 39.0320598, 48.0841996 39.0322812, 48.0843517 39.0324956, 48.0843828 39.0325334)",,,
440037542,False,,secondary,,False,412.75800000000004,"LINESTRING (48.0814772 39.0285748, 48.0818995 39.0287505, 48.082377 39.0290101, 48.082703 39.0292569, 48.0831411 39.0297284, 48.0839 39.0304743, 48.0841196 39.030671, 48.0843707 39.0308616, 48.0844945 39.0309415, 48.0846341 39.0309848, 48.0848858 39.0310989)",,,
440037542,False,,secondary,,True,24.554,"LINESTRING (48.0814772 39.0285748, 48.0814368 39.0285352, 48.0812579 39.0284368)",,,
440037542,False,,secondary,,False,42.602,"LINESTRING (48.0848858 39.0310989, 48.085346 39.0312367)",,,
440037542,False,,secondary,,True,412.75800000000004,"LINESTRING (48.0848858 39.0310989, 48.0846341 39.0309848, 48.0844945 39.0309415, 48.0843707 39.0308616, 48.0841196 39.030671, 48.0839 39.0304743, 48.0831411 39.0297284, 48.082703 39.0292569, 48.082377 39.0290101, 48.0818995 39.0287505, 48.0814772 39.0285748)",,,
541924683,False,,residential,30,True,90.176,"LINESTRING (48.0848858 39.0310989, 48.084701 39.0313178, 48.0846707 39.0313483, 48.0844882 39.0315316, 48.0842718 39.0317542)",,,
440037542,False,,secondary,,True,42.602,"LINESTRING (48.085346 39.0312367, 48.0848858 39.0310989)",,,
541924687,False,,residential,30,True,102.765,"LINESTRING (48.085346 39.0312367, 48.0846383 39.0319796)",,,
395048063,False,خیابان دکتر شهید سیدحسین فاطمی,tertiary,,True,23.285,"LINESTRING (48.0850321 39.033206, 48.0848524 39.0330499)",,,
1235464020,False,,residential,,False,36.177,"LINESTRING (48.0850321 39.033206, 48.0847308 39.033432)",,,
395048063,False,خیابان دکتر شهید سیدحسین فاطمی,tertiary,,False,45.488,"LINESTRING (48.0850321 39.033206, 48.0851318 39.0332576, 48.0854703 39.0334329)",,,
395219825,False,۲۲ بهمن,residential,30,True,8.576,"LINESTRING (48.0816068 39.0319833, 48.0815816 39.0320579)",,,
395219825,False,۲۲ بهمن,residential,30,False,32.487,"LINESTRING (48.0816068 39.0319833, 48.0816204 39.0318071, 48.0815633 39.0317003)",,,
395219825,False,۲۲ بهمن,residential,30,False,217.22,"LINESTRING (48.0815633 39.0317003, 48.0813015 39.0312663, 48.0812091 39.031113, 48.0809189 39.0299638, 48.080828 39.0298501)",,,
395219825,False,۲۲ بهمن,residential,30,True,32.487,"LINESTRING (48.0815633 39.0317003, 48.0816204 39.0318071, 48.0816068 39.0319833)",,,
1151509263,False,,residential,30,False,70.497,"LINESTRING (48.0815633 39.0317003, 48.0818205 39.0316287, 48.0820657 39.0316102, 48.0823623 39.0316102)",,,
"[1151509264, 1151509263]",False,,residential,30,False,37.368,"LINESTRING (48.0823623 39.0316102, 48.0824212 39.0315963, 48.0827584 39.031476)",yes,,
1151509263,False,,residential,30,True,70.497,"LINESTRING (48.0823623 39.0316102, 48.0820657 39.0316102, 48.0818205 39.0316287, 48.0815633 39.0317003)",,,
1151509265,False,,residential,,True,146.624,"LINESTRING (48.0823623 39.0316102, 48.0826167 39.0322946, 48.082681 39.0328988)",,,
542261757,False,شهید اصبرزاده,residential,30,False,376.391,"LINESTRING (48.0827584 39.031476, 48.0825716 39.0311431, 48.0819243 39.030249, 48.08177 39.0299793, 48.0816109 39.0297312, 48.0814786 39.0295879, 48.0813036 39.0293943, 48.081138 39.0291716, 48.0810945 39.0290346, 48.081107 39.0289193, 48.0811471 39.0287598, 48.0812579 39.0284368)",,,
542261757,False,شهید اصبرزاده,residential,30,True,215.63099999999997,"LINESTRING (48.0827584 39.031476, 48.082774 39.0315038, 48.0828078 39.0316088, 48.0831096 39.0320532, 48.0831592 39.0320917, 48.0832245 39.0320882, 48.0833596 39.032041, 48.083425 39.0320497, 48.0837223 39.0323454, 48.0838011 39.0324836, 48.0838822 39.0325536, 48.0839745 39.0325851, 48.0840849 39.0325991, 48.0843828 39.0325334)",,,
"[1151509264, 1151509263]",False,,residential,30,True,37.368,"LINESTRING (48.0827584 39.031476, 48.0824212 39.0315963, 48.0823623 39.0316102)",yes,,
440037542,False,,secondary,,False,24.554,"LINESTRING (48.0812579 39.0284368, 48.0814368 39.0285352, 48.0814772 39.0285748)",,,
440037542,False,,secondary,,True,63.69800000000001,"LINESTRING (48.0812579 39.0284368, 48.0808537 39.0282022, 48.0807541 39.0281383, 48.0807002 39.0280695)",,,
