osmid,oneway,highway,reversed,length,geometry,lanes,name,bridge,maxspeed,junction
65211226,True,primary_link,False,70.928,"LINESTRING (59.176421 33.7333764, 59.1764804 33.7329313, 59.1764524 33.7327427)",,,,,
"[198629880, 198629875, 65211244]",True,primary,False,230.483,"LINESTRING (59.176421 33.7333764, 59.176861 33.732556, 59.1770312 33.7322737, 59.1774255 33.7314801)",2,"['جاده سنتو', 'بلوار امام رضا (ع)']",yes,,
65211172,True,primary_link,False,70.097,"LINESTRING (59.1771702 33.7331129, 59.176982 33.7331421, 59.1767854 33.7332427, 59.1765233 33.7334172)",,,,,
831735483,True,tertiary,False,59.69499999999999,"LINESTRING (59.1771702 33.7331129, 59.1770362 33.7332121, 59.1768 33.7335463)",,,,,
198629875,True,primary,False,193.553,"LINESTRING (59.1774255 33.7314801, 59.1776795 33.7309298, 59.1781432 33.7298451)",2,بلوار امام رضا (ع),,,
726876121,True,secondary,False,53.686,"LINESTRING (59.1756983 33.7313701, 59.1753047 33.7310152)",,بلوار چمران,,,
198629869,False,residential,False,28.681,"LINESTRING (59.1769931 33.731781, 59.1771269 33.7315483)",,,,30,
65211235,True,primary_link,False,53.39,"LINESTRING (59.1769931 33.731781, 59.1772267 33.7316855, 59.1774255 33.7314801)",,,,,
198629697,False,residential,False,199.329,"LINESTRING (59.1782827 33.7333361, 59.1797118 33.7346781)",,,,30,
198629697,False,residential,True,19.225,"LINESTRING (59.1782827 33.7333361, 59.1781451 33.7332065)",,,,30,
464198449,False,residential,False,161.367,"LINESTRING (59.1782827 33.7333361, 59.1793322 33.7321767)",,,,30,
65211226,True,primary_link,False,15.974,"LINESTRING (59.1764524 33.7327427, 59.176393 33.7326078)",,,,,
464198266,False,residential,True,147.555,"LINESTRING (59.1764524 33.7327427, 59.1757451 33.7339322)",,شهید چدانی,,30,
65211235,True,primary_link,False,128.69400000000002,"LINESTRING (59.1757706 33.731311, 59.1761101 33.7315357, 59.1765476 33.7317349, 59.1767654 33.7317975, 59.1769931 33.731781)",,,,,
"[478936401, 726876122]",True,secondary,False,303.791,"LINESTRING (59.1757706 33.731311, 59.176999 33.7324214, 59.1780161 33.733305)",,"['بلوار جهاد', 'بلوار چمران']",,,
65211172,True,primary_link,False,92.909,"LINESTRING (59.1780387 33.7335067, 59.1775122 33.7332063, 59.1773386 33.7331295, 59.1771702 33.7331129)",,,,,
"[726876121, 722668283]",True,secondary,False,321.40200000000004,"LINESTRING (59.1780387 33.7335067, 59.1769548 33.7324916, 59.1756983 33.7313701)",,"['بلوار جهاد', 'بلوار چمران']",,,
198629876,False,residential,True,253.073,"LINESTRING (59.174625 33.7295697, 59.1751603 33.7301107, 59.1753167 33.7302514, 59.1754963 33.7303715, 59.1768031 33.7308612)",,شاهد ۶,,30,
725279276,False,tertiary,False,16.026,"LINESTRING (59.1843968 33.7301572, 59.1845082 33.7302676)",,,,,
734258507,False,tertiary,True,46.816,"LINESTRING (59.1843968 33.7301572, 59.1840974 33.7298177)",,خیابان معلم,,,
478936405,True,secondary,False,246.58800000000002,"LINESTRING (59.184069 33.7305371, 59.1837876 33.7307362, 59.183516 33.7309562, 59.1832308 33.7312421, 59.1823397 33.7322157)",,بلوار بسیج,,,
"[725252363, 725252364]",False,residential,True,131.746,"LINESTRING (59.184069 33.7305371, 59.1844548 33.7310351, 59.1848406 33.7315331)",,بسیج ۱,,,
198629876,False,residential,True,59.998,"LINESTRING (59.1768031 33.7308612, 59.1773946 33.7310829)",,شاهد ۶,,30,
548014083,False,residential,True,57.391,"LINESTRING (59.1768031 33.7308612, 59.1765485 33.7313319)",,,,30,
198629876,False,residential,False,253.07300000000004,"LINESTRING (59.1768031 33.7308612, 59.1754963 33.7303715, 59.1753167 33.7302514, 59.1751603 33.7301107, 59.174625 33.7295697)",,شاهد ۶,,30,
198629704,False,residential,True,100.654,"LINESTRING (59.1755559 33.7309605, 59.1765485 33.7313319)",,,,30,
198629869,False,residential,True,57.367,"LINESTRING (59.1773946 33.7310829, 59.1771269 33.7315483)",,,,30,
198629876,False,residential,False,59.998,"LINESTRING (59.1773946 33.7310829, 59.1768031 33.7308612)",,شاهد ۶,,30,
198629869,False,residential,False,146.438,"LINESTRING (59.1773946 33.7310829, 59.1777751 33.7304214, 59.177831 33.7303242, 59.1779155 33.7301592, 59.1779608 33.7300218, 59.1779433 33.7298684)",,,,30,
198629704,False,residential,False,100.654,"LINESTRING (59.1765485 33.7313319, 59.1755559 33.7309605)",,,,30,
198629704,False,residential,True,58.651,"LINESTRING (59.1765485 33.7313319, 59.1771269 33.7315483)",,,,30,
548014083,False,residential,False,57.391,"LINESTRING (59.1765485 33.7313319, 59.1768031 33.7308612)",,,,30,
198629704,False,residential,False,58.651,"LINESTRING (59.1771269 33.7315483, 59.1765485 33.7313319)",,,,30,
198629869,False,residential,False,57.367,"LINESTRING (59.1771269 33.7315483, 59.1773946 33.7310829)",,,,30,
198629869,False,residential,True,28.681,"LINESTRING (59.1771269 33.7315483, 59.1769931 33.731781)",,,,30,
722668284,True,secondary,False,208.18,"LINESTRING (59.1822081 33.7321419, 59.1831051 33.7311579, 59.1833973 33.7308651, 59.1836185 33.7306858)",,بلوار بسیج,,,
1206768917,True,secondary,False,15.27,"LINESTRING (59.1822081 33.7321419, 59.1822532 33.732147, 59.1823397 33.7322157)",,,,,roundabout
198629622,True,residential,False,23.119,"LINESTRING (59.1823611 33.7323136, 59.1824106 33.7325174)",,,,30,
1206768917,True,secondary,False,25.075999999999997,"LINESTRING (59.1823611 33.7323136, 59.1823093 33.7324032, 59.182204 33.7324504, 59.1821723 33.7324468)",,,,,roundabout
"[725252371, 725252373]",False,residential,True,166.546,"LINESTRING (59.1847493 33.7323924, 59.1835381 33.7331703, 59.1833239 33.7333079)",,"['خیابان فدک', 'بصیرت ۳']",,30,
198629647,True,residential,False,23.393,"LINESTRING (59.1824106 33.7325174, 59.1821723 33.7324468)",,,,30,
725252368,False,residential,True,19.199,"LINESTRING (59.1824106 33.7325174, 59.1825743 33.7326236)",,خیابان بصیرت,,30,
724081760,False,residential,True,100.89,"LINESTRING (59.1833239 33.7333079, 59.1825314 33.7339315)",,خیابان فدک,,30,
725252365,False,residential,True,43.625,"LINESTRING (59.1833239 33.7333079, 59.183744 33.7334864)",,خیابان بصیرت,,30,
725252372,False,residential,False,102.931,"LINESTRING (59.1833239 33.7333079, 59.1825743 33.7326236)",,خیابان بصیرت,,30,
"[725252371, 725252373]",False,residential,False,166.546,"LINESTRING (59.1833239 33.7333079, 59.1835381 33.7331703, 59.1847493 33.7323924)",,"['بصیرت ۳', 'خیابان فدک']",,30,
198629881,False,tertiary,False,79.919,"LINESTRING (59.1768 33.7335463, 59.1764239 33.7341934)",,,,,
831735482,True,tertiary,False,81.66900000000001,"LINESTRING (59.1768 33.7335463, 59.1768131 33.7334555, 59.1767956 33.7334221, 59.1767514 33.7334098, 59.1766655 33.73346, 59.1766092 33.7335146, 59.1762985 33.7338311)",,,,,
725252365,False,residential,False,21.365,"LINESTRING (59.1839398 33.7335884, 59.183744 33.7334864)",,خیابان بصیرت,,30,
725252365,False,residential,True,52.256,"LINESTRING (59.1839398 33.7335884, 59.1844064 33.7338535)",,خیابان بصیرت,,30,
725252374,False,residential,False,47.09,"LINESTRING (59.1839398 33.7335884, 59.1842952 33.7332851)",,بصیرت 7,,,
725252365,False,residential,False,52.256,"LINESTRING (59.1844064 33.7338535, 59.1839398 33.7335884)",,خیابان بصیرت,,30,
725252391,False,residential,False,46.059,"LINESTRING (59.1844064 33.7338535, 59.1847381 33.7341625)",,,,,
722668283,True,secondary,False,57.907,"LINESTRING (59.1784486 33.7339004, 59.1780387 33.7335067)",,بلوار جهاد,,,
"[726876107, 198629676]",False,residential,True,157.784,"LINESTRING (59.1784486 33.7339004, 59.1777788 33.7341528, 59.1768944 33.734486)",,جهاد ۳,,30,
198629697,False,residential,True,199.329,"LINESTRING (59.1797118 33.7346781, 59.1782827 33.7333361)",,,,30,
464198573,True,secondary_link,False,26.639000000000003,"LINESTRING (59.1797118 33.7346781, 59.1798226 33.7346772, 59.1799926 33.7346354)",,,,,
722668285,True,secondary_link,False,14.158,"LINESTRING (59.1797375 33.7349059, 59.1798464 33.7349954)",,,,,
1206768916,True,secondary,False,38.225,"LINESTRING (59.1797375 33.7349059, 59.1799926 33.7346354)",,بلوار بسیج,,,
478936406,True,secondary,False,14.454,"LINESTRING (59.1796516 33.7350145, 59.1797375 33.7349059)",,بلوار بسیج,,,
722668283,True,secondary,False,110.247,"LINESTRING (59.1796516 33.7350145, 59.1788584 33.7342743)",,بلوار جهاد,,,
