osmid,oneway,name,highway,reversed,length,lanes,geometry,maxspeed,junction
467805270,True,بلوار قائم,secondary,False,43.378,,"LINESTRING (58.549241 28.9139457, 58.5493498 28.914324)",,
467805272,False,دور برگردان,secondary_link,True,14.981,,"LINESTRING (58.549241 28.9139457, 58.549091 28.9139759)",,
467805272,False,دور برگردان,secondary_link,False,14.981,,"LINESTRING (58.549091 28.9139759, 58.549241 28.9139457)",,
467805273,False,,residential,True,138.234,,"LINESTRING (58.549091 28.9139759, 58.5477069 28.9142544)",,
467805276,True,بلوار قائم,secondary,False,45.603,,"LINESTRING (58.549091 28.9139759, 58.5489766 28.9135782)",,
467805273,False,,residential,False,138.234,,"LINESTRING (58.5477069 28.9142544, 58.549091 28.9139759)",,
467805270,True,بلوار قائم,secondary,False,69.575,,"LINESTRING (58.5479039 28.9164797, 58.5473598 28.9168855)",,
467805274,False,دور برگردان,secondary_link,True,16.297,,"LINESTRING (58.5479039 28.9164797, 58.547793 28.9163699)",,
467805274,False,دور برگردان,secondary_link,False,16.297,,"LINESTRING (58.547793 28.9163699, 58.5479039 28.9164797)",,
467805276,True,بلوار قائم,secondary,False,42.312,,"LINESTRING (58.547793 28.9163699, 58.5481297 28.9161292)",,
467805275,False,دور برگردان,secondary_link,True,16.311,,"LINESTRING (58.5459964 28.9178431, 58.5458845 28.9177339)",,
467805275,False,دور برگردان,secondary_link,False,16.311,,"LINESTRING (58.5458845 28.9177339, 58.5459964 28.9178431)",,
467805276,True,بلوار قائم,secondary,False,212.448,,"LINESTRING (58.5458845 28.9177339, 58.5475752 28.9165255)",,
467838309,False,,tertiary,True,26.615,2,"LINESTRING (58.5505426 28.9189532, 58.5504075 28.9187451)",,
578734664,False,,tertiary,False,148.813,,"LINESTRING (58.5505426 28.9189532, 58.5520599 28.9191182)",,
467805270,True,بلوار قائم,secondary,False,20.654,,"LINESTRING (58.5480709 28.9163651, 58.5479039 28.9164797)",,
467838307,False,,residential,True,114.151,,"LINESTRING (58.5480709 28.9163651, 58.5482948 28.9173728)",,
467838307,False,,residential,False,114.151,,"LINESTRING (58.5482948 28.9173728, 58.5480709 28.9163651)",,
467838308,False,,tertiary,False,44.617,,"LINESTRING (58.5482948 28.9173728, 58.5487367 28.9172661)",,
