osmid,highway,maxspeed,oneway,reversed,length,geometry,junction,bridge
299732794,primary,50,False,False,3.233,"LINESTRING (54.2317744 36.4259021, 54.2317875 36.4259292)",,
299732796,primary,50,False,True,21.347,"LINESTRING (54.2319123 36.4262696, 54.2318468 36.426085)",,
299732807,primary,50,True,False,5.988,"LINESTRING (54.2319123 36.4262696, 54.2319475 36.4263154)",,
299732806,primary,50,True,False,114.52799999999999,"LINESTRING (54.2316658 36.427316, 54.2317599 36.4271044, 54.2318599 36.4268336, 54.2318966 36.4266539, 54.2319012 36.4263133)",,
963337321,primary,,True,False,36.815,"LINESTRING (54.2316658 36.427316, 54.2318027 36.4273094, 54.2319305 36.4273494, 54.2320257 36.4274289)",roundabout,
963337321,primary,,True,False,12.697,"LINESTRING (54.2320257 36.4274289, 54.2320714 36.427537)",roundabout,
299732787,primary,,True,False,36.664,"LINESTRING (54.2320714 36.427537, 54.2320544 36.4276504, 54.2319781 36.4277468, 54.2318704 36.4277991)",roundabout,
589693867,residential,,False,False,72.941,"LINESTRING (54.2320714 36.427537, 54.2323765 36.4276831, 54.2328346 36.4277187)",,
299732787,primary,,True,False,3.956,"LINESTRING (54.2314642 36.4277276, 54.231436 36.4277002)",roundabout,
589692791,tertiary,,True,False,66.457,"LINESTRING (54.231436 36.4277002, 54.2309954 36.4277299, 54.2306957 36.4277491)",,
963337321,primary,,True,False,52.007000000000005,"LINESTRING (54.231436 36.4277002, 54.2314352 36.4275345, 54.2314705 36.427443, 54.2315449 36.4273682, 54.2316658 36.427316)",roundabout,
299732787,primary,,True,False,38.83,"LINESTRING (54.2318704 36.4277991, 54.2317165 36.4278195, 54.2315826 36.4277816, 54.2314642 36.4277276)",roundabout,
299732800,primary,50,True,False,263.193,"LINESTRING (54.2318704 36.4277991, 54.2317051 36.4279382, 54.2315063 36.4280801, 54.2313471 36.4282335, 54.2312415 36.4283823, 54.2302227 36.4297441)",,
299732800,primary,50,True,False,159.874,"LINESTRING (54.2292704 36.4309681, 54.2290893 36.431139, 54.2288803 36.4312986, 54.2286586 36.4314175, 54.2284372 36.4315221, 54.2277884 36.431726)",,
589692796,residential,,False,False,133.29000000000002,"LINESTRING (54.2292704 36.4309681, 54.2298 36.4313448, 54.2299877 36.4319564)",,
589693871,residential,,False,False,42.049,"LINESTRING (54.2277884 36.431726, 54.2280902 36.4320159)",,
299732800,primary,50,True,False,176.701,"LINESTRING (54.2277884 36.431726, 54.2263889 36.4321721, 54.2259432 36.4322916)",,
299732802,primary,50,True,False,516.035,"LINESTRING (54.2243802 36.4325432, 54.2247069 36.4324842, 54.2254969 36.4323072, 54.2263468 36.4320793, 54.2277434 36.4316341, 54.2283834 36.431433, 54.2285934 36.4313337, 54.2288034 36.4312211, 54.229 36.4310709, 54.2291734 36.4309073, 54.22936 36.4306955, 54.2294491 36.430578)",,
299732800,primary,50,True,False,43.664,"LINESTRING (54.2295386 36.4306406, 54.2294627 36.4307498, 54.2292704 36.4309681)",,
589692184,residential,,False,True,129.503,"LINESTRING (54.2295386 36.4306406, 54.2297409 36.4307312, 54.2304742 36.4310576, 54.23083 36.4311602)",,
299732802,primary,50,True,False,16.807,"LINESTRING (54.2294491 36.430578, 54.229547 36.430449)",,
589692185,tertiary,,False,False,239.984,"LINESTRING (54.2294491 36.430578, 54.2290747 36.4305103, 54.2285609 36.4303034, 54.2280185 36.430154, 54.227758 36.4300043, 54.2274583 36.4296911, 54.2273086 36.429446)",,
589692184,residential,,False,False,129.503,"LINESTRING (54.23083 36.4311602, 54.2304742 36.4310576, 54.2297409 36.4307312, 54.2295386 36.4306406)",,
589692184,residential,,False,True,271.7,"LINESTRING (54.23083 36.4311602, 54.2316911 36.4311066, 54.2322382 36.4310108, 54.233047 36.4309419, 54.2333705 36.4310721, 54.2337416 36.4312598)",,
589693874,residential,,False,False,147.4,"LINESTRING (54.23083 36.4311602, 54.2305741 36.4313884, 54.2309967 36.4323482)",,
589692185,tertiary,,False,True,322.639,"LINESTRING (54.2245716 36.427682, 54.2249178 36.4278888, 54.2257634 36.4282566, 54.2267018 36.4287856, 54.2271372 36.4290504, 54.2272442 36.4293406, 54.2273086 36.429446)",,
589692184,residential,,False,False,271.70000000000005,"LINESTRING (54.2337416 36.4312598, 54.2333705 36.4310721, 54.233047 36.4309419, 54.2322382 36.4310108, 54.2316911 36.4311066, 54.23083 36.4311602)",,
589692796,residential,,False,True,92.668,"LINESTRING (54.2337416 36.4312598, 54.2334406 36.4314598, 54.2332841 36.4319636)",,
