osmid,lanes,name,highway,oneway,reversed,length,geometry,junction,bridge,tunnel
178143233,2,آیت الله غفاری,secondary,False,True,75.212,"LINESTRING (51.5661099 31.4144566, 51.5659475 31.4141112, 51.5658456 31.413915, 51.565796 31.413836)",,,
178143243,,میدان شهدا,secondary,True,False,27.945999999999998,"LINESTRING (51.5661099 31.4144566, 51.5661575 31.4144669, 51.5661991 31.4144892, 51.5662308 31.4145212, 51.5662496 31.4145598, 51.5662537 31.4146016, 51.5662428 31.4146424)",roundabout,,
178143243,,میدان شهدا,secondary,True,False,5.471,"LINESTRING (51.5662428 31.4146424, 51.5662298 31.4146644, 51.5662123 31.4146839)",roundabout,,
178143712,,طالقانی,secondary,True,False,95.341,"LINESTRING (51.5662428 31.4146424, 51.5663585 31.4147051, 51.566448 31.4147536, 51.5667152 31.4148907, 51.5668297 31.4149472, 51.5669399 31.4149824, 51.5671329 31.4150269)",,,
178143243,,میدان شهدا,secondary,True,False,14.692,"LINESTRING (51.5659663 31.4146729, 51.5659546 31.4146525, 51.5659428 31.4146337, 51.5659351 31.4145902, 51.5659442 31.4145468)",roundabout,,
534308399,2,فلسطین,secondary,False,True,34.639,"LINESTRING (51.5656208 31.4152973, 51.5657369 31.415123, 51.5658074 31.4150297)",,,
1076238144,,ناصرموحد,residential,False,False,95.878,"LINESTRING (51.5656208 31.4152973, 51.566065 31.4155392, 51.5662259 31.4156765, 51.5664023 31.4158347)",,,
358598046,,پست,secondary_link,True,False,38.796,"LINESTRING (51.5671329 31.4150269, 51.5669104 31.4153196)",,,
178143712,,طالقانی,secondary,True,False,75.843,"LINESTRING (51.5671329 31.4150269, 51.567212 31.4150202, 51.5673258 31.4150106, 51.5677871 31.4149377, 51.5679208 31.4149154)",,,
534304989,,میدان ماندگار,secondary,True,False,68.288,"LINESTRING (51.573081 31.4136803, 51.5730423 31.4136384, 51.5730767 31.4135415, 51.5731559 31.4134416, 51.5732729 31.4133006, 51.5733177 31.4132477, 51.5733658 31.4132095, 51.5734146 31.413193)",roundabout,,
845602257,,طالقانی,secondary,False,True,21.893,"LINESTRING (51.573081 31.4136803, 51.5729755 31.4137268, 51.5729097 31.4137558, 51.5728752 31.4137692)",,,
178143760,,قدس,secondary,False,False,16.403,"LINESTRING (51.5734146 31.413193, 51.5735138 31.4130722)",,,
