osmid,name,highway,maxspeed,oneway,reversed,length,ref,junction,geometry,access
379212265,خیابان سید قطب غربی,residential,30,False,False,35.191,,,"LINESTRING (45.1375224 36.7033672, 45.1379049 36.703289)",
519718447,امام خمینی,primary,,False,True,102.681,26,,"LINESTRING (45.1375224 36.7033672, 45.1370067 36.7025415)",
260222071,میدان جمهوری اسلامی,secondary,,True,False,16.418,,roundabout,"LINESTRING (45.1399925 36.6999403, 45.1400843 36.699946, 45.14017 36.699973)",
260222066,بلوار شهید بهشتی,secondary,,True,False,49.707,,,"LINESTRING (45.1398256 36.6999911, 45.1397712 36.6997928, 45.1396538 36.6995677)",
260222071,میدان جمهوری اسلامی,secondary,,True,False,16.088,,roundabout,"LINESTRING (45.1398256 36.6999911, 45.1399044 36.6999558, 45.1399925 36.6999403)",
260222067,بلوار شهید بهشتی,secondary,,True,False,167.297,,,"LINESTRING (45.1402368 36.7003624, 45.140242 36.7004883, 45.1402727 36.7005955, 45.1408564 36.7017746)",
260222071,میدان جمهوری اسلامی,secondary,,True,False,23.965,,roundabout,"LINESTRING (45.1402368 36.7003624, 45.1401656 36.7004061, 45.1400819 36.7004315, 45.1399925 36.7004368)",
260222071,میدان جمهوری اسلامی,secondary,,True,False,7.818,,roundabout,"LINESTRING (45.1399925 36.7004368, 45.1399068 36.7004219)",
260482536,آزادی شرقی,tertiary,,False,False,97.66900000000001,,,"LINESTRING (45.1392235 36.698422, 45.1394894 36.6983038, 45.1395198 36.6982903, 45.1401869 36.6980039)",
533305879,بلوار شهید بهشتی,secondary,,True,False,98.668,,,"LINESTRING (45.1392235 36.698422, 45.1393065 36.6985781, 45.1393371 36.6986432, 45.1393622 36.6987116, 45.1396419 36.699243)",
260222071,میدان جمهوری اسلامی,secondary,,True,False,17.040999999999997,,roundabout,"LINESTRING (45.1403214 36.700227, 45.1402922 36.7003, 45.1402368 36.7003624)",
260222071,میدان جمهوری اسلامی,secondary,,True,False,43.028999999999996,,roundabout,"LINESTRING (45.1399068 36.7004219, 45.1398356 36.7003919, 45.1397765 36.7003482, 45.1397333 36.7002937, 45.139709 36.7002323, 45.1397053 36.7001678, 45.1397223 36.7001048)",
260285735,جمهوری اسلامی غربی,tertiary,,True,False,48.679,,,"LINESTRING (45.1399068 36.7004219, 45.1397298 36.700429, 45.1395853 36.700441, 45.1393785 36.700509)",
