osmid,oneway,name,highway,reversed,length,geometry,ref,junction,bridge,maxspeed,lanes
179002875,True,کمربندی بطرف میدان امام حسین ع,secondary,False,43.991,"LINESTRING (45.0663128 39.3469259, 45.0658013 39.3469332)",,,,,
179002928,False,خیابان پاسداران,secondary,True,37.317,"LINESTRING (45.0663128 39.3469259, 45.0664309 39.3469505, 45.0666035 39.3470207, 45.0666913 39.3470801)",,,,,
179002867,True,میدان امام حسین,primary,False,34.557,"LINESTRING (45.0655724 39.3469847, 45.0654717 39.3469754, 45.0653614 39.3469498, 45.0652621 39.3469114, 45.0651987 39.3468815)",12,roundabout,,,
179002867,True,میدان امام حسین,primary,False,19.206,"LINESTRING (45.065786 39.3469476, 45.0657116 39.3469775, 45.0655724 39.3469847)",12,roundabout,,,
437022669,True,شهدا,primary,False,50.676,"LINESTRING (45.065786 39.3469476, 45.065871 39.3470394, 45.0658764 39.3470923, 45.0658576 39.3471338, 45.0658402 39.3471773, 45.0657949 39.3472233, 45.0656554 39.3473163)",,,,,
179002867,True,میدان امام حسین,primary,False,19.775,"LINESTRING (45.0651987 39.3468815, 45.0651518 39.3468282, 45.0651463 39.3467706, 45.0651911 39.3467271)",12,roundabout,,,
203413828,True,بلوار بسیج,secondary,False,82.248,"LINESTRING (45.0651987 39.3468815, 45.0648865 39.3468592, 45.0646367 39.3468873, 45.0643732 39.3469435, 45.0642644 39.3469772)",,,,,
179002885,True,,primary,False,37.579,"LINESTRING (45.0656554 39.3473163, 45.065625 39.3471649, 45.0655724 39.3469847)",12,,,,
179009909,False,شهدا,primary,True,267.665,"LINESTRING (45.0656554 39.3473163, 45.0654015 39.3476239, 45.0646229 39.348745, 45.0642217 39.3494494)",12,,,,
179002880,False,خیابان سرباز,tertiary,False,100.774,"LINESTRING (45.0739462 39.3517907, 45.0730239 39.3512315)",,,,,
1173021255,False,خیابان سرباز,tertiary,False,70.414,"LINESTRING (45.0739462 39.3517907, 45.0746058 39.352166)",,,,,
179002874,False,خیابان گلگشت,tertiary,True,222.397,"LINESTRING (45.0739462 39.3517907, 45.0733853 39.3523367, 45.0726908 39.3530128, 45.0723374 39.3533568)",,,,,
179002870,False,خیابان گلگشت,tertiary,False,110.686,"LINESTRING (45.068302 39.3521749, 45.0678096 39.3519581, 45.0671833 39.3516824)",,,,,
179002871,False,خیابان آزادی,tertiary,True,329.945,"LINESTRING (45.068302 39.3521749, 45.0685625 39.351716, 45.0685797 39.3516858, 45.068811 39.3512784, 45.0692012 39.3505912, 45.0696601 39.3497831, 45.0698447 39.349458)",,,,,
