osmid,oneway,highway,reversed,length,lanes,name,maxspeed,tunnel,geometry,junction
732321463,True,secondary,False,38.564,,,,,"LINESTRING (48.7555603 33.895102, 48.7552463 33.8953308)",
"[177867765, 428455701, 428455710]",False,secondary,False,483.41100000000006,2,زیرگذر قیام,30,yes,"LINESTRING (48.7555603 33.895102, 48.7569637 33.8943838, 48.7573067 33.8941607, 48.7574476 33.8940574, 48.7576227 33.8939176, 48.7577344 33.8938193, 48.757821 33.8937317, 48.7579596 33.8935824, 48.7581017 33.8934008, 48.7589933 33.8919755)",
602350064,True,tertiary,False,163.46300000000002,2,جعفری,,,"LINESTRING (48.7581142 33.8955034, 48.7589043 33.8955113, 48.7591065 33.8955133, 48.7598851 33.8955211)",
602350065,True,secondary,False,74.901,2,بلوار صفا,,,"LINESTRING (48.7581142 33.8955034, 48.7581251 33.8955554, 48.7581972 33.8958991, 48.7582122 33.8959703, 48.7582535 33.896167)",
542736989,False,residential,True,74.063,,بحرالعلوم,30,,"LINESTRING (48.7555159 33.8923214, 48.7555835 33.8929851)",
584376828,False,secondary,False,26.585,2,سعدی,,,"LINESTRING (48.7555159 33.8923214, 48.7553008 33.8921624)",
584376828,False,secondary,True,67.013,2,سعدی,,,"LINESTRING (48.7555159 33.8923214, 48.7560581 33.8927222)",
320981487,False,tertiary,False,16.038,,خرم,,,"LINESTRING (48.7515311 33.8905021, 48.7514245 33.890616)",
177867653,True,secondary,False,10.788,,میدان توحید (کوروش),,,"LINESTRING (48.7515311 33.8905021, 48.7515147 33.8904874, 48.7514911 33.8904434, 48.751488 33.8904147)",roundabout
575928558,True,secondary_link,False,38.899,,,,,"LINESTRING (48.7589933 33.8919755, 48.7591776 33.8916609)",
"[428455701, 177867765, 428455710]",False,secondary,True,483.41100000000006,2,زیرگذر قیام,30,yes,"LINESTRING (48.7589933 33.8919755, 48.7581017 33.8934008, 48.7579596 33.8935824, 48.757821 33.8937317, 48.7577344 33.8938193, 48.7576227 33.8939176, 48.7574476 33.8940574, 48.7573067 33.8941607, 48.7569637 33.8943838, 48.7555603 33.895102)",
489438232,True,tertiary,False,38.553,2,(قدغون) شهید رضایی,,,"LINESTRING (48.758827 33.8921111, 48.7586139 33.8918129)",
681699009,True,secondary,False,59.726,1,آزادی,30,,"LINESTRING (48.758827 33.8921111, 48.7589236 33.8919582, 48.7591776 33.8916609)",
177867766,True,secondary,False,132.815,1,آزادی,30,,"LINESTRING (48.7589073 33.8922515, 48.7582358 33.8933079)",
542781553,False,residential,False,25.374,,امام جمعه,30,,"LINESTRING (48.7589073 33.8922515, 48.7589357 33.8923148, 48.7589756 33.8924389, 48.7589764 33.8924711)",
480311846,True,secondary,False,58.162,2,حافظ جنوبی,,,"LINESTRING (48.7524546 33.8929647, 48.7525987 33.8934739)",
