osmid,oneway,name,highway,maxspeed,reversed,length,geometry,junction,tunnel,lanes
512302757,True,خیابان ولی عصر,primary,30,False,26.152,"LINESTRING (51.0576473 35.6606324, 51.0575851 35.6608621)",,,
516998950,True,محمود طالقانی,tertiary,30,False,121.60600000000001,"LINESTRING (51.0576473 35.6606324, 51.0577338 35.6607425, 51.0577942 35.6608078, 51.0578527 35.6608476, 51.057947 35.6609148, 51.05827 35.6610687, 51.0583981 35.6611463, 51.0584788 35.6612235, 51.0586414 35.6613488)",,,
136721456,False,محمود طالقانی,tertiary,30,False,57.084,"LINESTRING (51.0625813 35.6630672, 51.0620199 35.6628316)",,,
299445869,True,مصطفی خمینی,secondary,50,False,79.902,"LINESTRING (51.0625813 35.6630672, 51.0629179 35.6624027)",,,
647450399,False,سیرت,residential,30,True,57.199,"LINESTRING (51.0559192 35.6551546, 51.0558151 35.655662)",,,
673548203,False,شهید بهشتی,tertiary,40,False,83.775,"LINESTRING (51.0559192 35.6551546, 51.055 35.6550557)",,,
673548203,False,شهید بهشتی,tertiary,40,True,113.276,"LINESTRING (51.0559192 35.6551546, 51.0571525 35.6553378)",,,
299223791,True,بلوار کشاورز,tertiary,40,False,21.417,"LINESTRING (51.0535397 35.6562477, 51.0536106 35.6561746, 51.0536642 35.6560851)",,,
299383653,True,میدان شهدای گمنام,secondary,30,False,38.829,"LINESTRING (51.0535397 35.6562477, 51.0535949 35.656214, 51.0536418 35.6562026, 51.0536974 35.6562097, 51.0539377 35.6562802)",roundabout,,
299223791,True,بلوار کشاورز,tertiary,40,False,30.991,"LINESTRING (51.0536832 35.6558857, 51.0536665 35.6557755, 51.0536166 35.6556128)",,,
647449537,False,بهداد,residential,,False,64.163,"LINESTRING (51.0536832 35.6558857, 51.0532093 35.6557303, 51.0531836 35.6557319, 51.0531653 35.6557482, 51.053118 35.6558606)",,,
299432822,False,خیابان سراج,residential,30,False,78.216,"LINESTRING (51.054003 35.6563046, 51.0544757 35.6557153)",,,
299383653,True,میدان شهدای گمنام,secondary,30,False,24.567999999999998,"LINESTRING (51.054003 35.6563046, 51.0540465 35.6563441, 51.0540666 35.6563795, 51.0540767 35.6564243, 51.0540649 35.6564815, 51.0540546 35.6565055)",roundabout,,
299432825,False,شهید ثمری,residential,30,False,75.25699999999999,"LINESTRING (51.054003 35.6563046, 51.0546961 35.6560652, 51.0547748 35.6560543)",,,
299383653,True,میدان شهدای گمنام,secondary,30,False,59.094,"LINESTRING (51.0532853 35.6568016, 51.053514 35.6563037)",roundabout,,
