osmid,oneway,ref,name,highway,reversed,length,geometry,bridge,lanes
238298745,True,49,بلوارسپهبد شهید حاج قاسم سلیمانی,trunk,False,20.693,"LINESTRING (48.8927201 38.1788103, 48.892742 38.1789956)",,
77679786,False,,,tertiary,True,180.963,"LINESTRING (48.8927201 38.1788103, 48.8943637 38.1787037, 48.8947848 38.178707)",,
370674919,False,,بالامحله چوبر,residential,False,142.584,"LINESTRING (48.8896985 38.178851, 48.8909806 38.1796438)",,
542415041,False,,,residential,True,67.597,"LINESTRING (48.8896985 38.178851, 48.8904595 38.1787428)",,
370674919,False,,بالامحله چوبر,residential,True,236.365,"LINESTRING (48.8896985 38.178851, 48.8891943 38.1785348, 48.8880624 38.1778052, 48.8875274 38.1775999)",,
370674919,False,,بالامحله چوبر,residential,False,27.833,"LINESTRING (48.8909806 38.1796438, 48.8912853 38.1797165)",,
370674919,False,,بالامحله چوبر,residential,True,142.584,"LINESTRING (48.8909806 38.1796438, 48.8896985 38.178851)",,
767526457,False,,,residential,False,114.608,"LINESTRING (48.8909806 38.1796438, 48.8905817 38.1797877, 48.8897234 38.1796654)",,
370674919,False,,بالامحله چوبر,residential,True,125.42699999999999,"LINESTRING (48.8927067 38.179804, 48.8915814 38.1797872, 48.8912853 38.1797165)",,
542415037,True,49,بلوارسپهبد شهید حاج قاسم سلیمانی,trunk,False,119.651,"LINESTRING (48.8927067 38.179804, 48.8926014 38.1789683, 48.8925704 38.1787333)",,
370674920,False,,,residential,False,275.093,"LINESTRING (48.8937756 38.1833196, 48.8943387 38.1832027, 48.8952614 38.183422, 48.8962378 38.1834557, 48.89686 38.1834895)",,
542415037,True,49,بلوارسپهبد شهید حاج قاسم سلیمانی,trunk,False,126.369,"LINESTRING (48.8925704 38.1787333, 48.8924459 38.1780785, 48.8923447 38.1777207, 48.892315 38.1776154)",,
542415041,False,,,residential,False,192.287,"LINESTRING (48.8925704 38.1787333, 48.8918288 38.178919, 48.8915487 38.1789522, 48.8912573 38.1789305, 48.890562 38.1787282, 48.8904595 38.1787428)",,
370674920,False,,,residential,True,275.09299999999996,"LINESTRING (48.89686 38.1834895, 48.8962378 38.1834557, 48.8952614 38.183422, 48.8943387 38.1832027, 48.8937756 38.1833196)",,
745543803,False,,,residential,True,812.364,"LINESTRING (48.89686 38.1834895, 48.8970129 38.1832817, 48.8971477 38.1830855, 48.8972276 38.182901, 48.8972625 38.1826459, 48.8971926 38.1824261, 48.8974572 38.1818649, 48.8975471 38.1816726, 48.8975072 38.181496, 48.8975371 38.181288, 48.8973823 38.1812488, 48.8972825 38.1812095, 48.8972276 38.1811154, 48.8972376 38.1810604, 48.8972176 38.1808877, 48.8968881 38.1799615, 48.8967433 38.1799184, 48.8964936 38.179887, 48.8961591 38.1799223, 48.8958396 38.1800361, 48.895545 38.1802245, 48.8953853 38.1803932, 48.8947612 38.1807857, 48.8945914 38.1809898, 48.8943218 38.1812488, 48.8941321 38.1814646, 48.8940023 38.1816883, 48.8938525 38.1818335, 48.8936478 38.1819356)",,
704139508,True,49,آستارا - رشت,trunk,False,116.008,"LINESTRING (48.8935499 38.183324, 48.8932392 38.1823097)",,
542418467,False,,,residential,False,265.897,"LINESTRING (48.8935499 38.183324, 48.8922048 38.183387, 48.8915577 38.1832861, 48.8908698 38.1831029, 48.8905667 38.183057)",,
542418467,False,,,residential,False,96.034,"LINESTRING (48.8905667 38.183057, 48.8894882 38.183222)",,
542418467,False,,,residential,True,265.89700000000005,"LINESTRING (48.8905667 38.183057, 48.8908698 38.1831029, 48.8915577 38.1832861, 48.8922048 38.183387, 48.8935499 38.183324)",,
888795651,False,,,residential,True,141.04199999999997,"LINESTRING (48.8905667 38.183057, 48.890607 38.1829177, 48.8906952 38.1827617, 48.8910259 38.1824463, 48.8911802 38.1823077, 48.8913302 38.1822383, 48.8914845 38.1822141, 48.8915776 38.1821438)",,
542418467,False,,,residential,True,96.034,"LINESTRING (48.8894882 38.183222, 48.8905667 38.183057)",,
542418467,False,,,residential,False,278.284,"LINESTRING (48.8894882 38.183222, 48.8884855 38.1832449, 48.8880366 38.1831945, 48.8863128 38.183108)",,
238298745,True,49,بلوارسپهبد شهید حاج قاسم سلیمانی,trunk,False,108.741,"LINESTRING (48.8928951 38.1802886, 48.8929454 38.1807729, 48.8930291 38.1812605)",,
745543806,False,,,residential,True,242.90300000000002,"LINESTRING (48.8928951 38.1802886, 48.8934132 38.1802809, 48.8936821 38.180319, 48.8939643 38.1805789, 48.8939643 38.180721, 48.8939246 38.1808631, 48.8934705 38.1812513, 48.8933426 38.1813518, 48.8932845 38.1813404, 48.8932368 38.181331, 48.8930291 38.1812605)",,
"[704139508, 542415037, 542415038]",True,49,"['آستارا - رشت', 'بلوارسپهبد شهید حاج قاسم سلیمانی']",trunk,False,283.30400000000003,"LINESTRING (48.8932392 38.1823097, 48.8931385 38.1820392, 48.8929507 38.1814675, 48.8929042 38.1812731, 48.8928295 38.1808685, 48.8927067 38.179804)",yes,2
745543802,False,,,residential,False,69.61500000000001,"LINESTRING (48.8932392 38.1823097, 48.893133 38.1822965, 48.8930633 38.1821046, 48.8928004 38.1821299, 48.8926851 38.1821341, 48.8926304 38.1821363)",,
745543802,False,,,residential,True,437.746,"LINESTRING (48.8870471 38.1811095, 48.8871785 38.1811643, 48.8876479 38.1813456, 48.8881253 38.1815586, 48.8884874 38.181936, 48.8887959 38.1820772, 48.8890292 38.182111, 48.8892653 38.1821067, 48.8899431 38.1820637, 48.8910918 38.1819908, 48.8915776 38.1821438)",,
888785954,False,,,residential,True,76.05,"LINESTRING (48.8870471 38.1811095, 48.8868813 38.1813079, 48.8867879 38.1814303, 48.8866983 38.1815099, 48.8865893 38.1815803, 48.8864958 38.1816262)",,
745543803,False,,,residential,False,69.303,"LINESTRING (48.893474 38.1825437, 48.8936478 38.1819356)",,
238298756,True,49,رشت - آستارا,trunk,False,90.214,"LINESTRING (48.893474 38.1825437, 48.8937075 38.1831443, 48.8937756 38.1833196)",,
745543803,False,,,residential,True,69.303,"LINESTRING (48.8936478 38.1819356, 48.893474 38.1825437)",,
745543803,False,,,residential,False,812.3639999999998,"LINESTRING (48.8936478 38.1819356, 48.8938525 38.1818335, 48.8940023 38.1816883, 48.8941321 38.1814646, 48.8943218 38.1812488, 48.8945914 38.1809898, 48.8947612 38.1807857, 48.8953853 38.1803932, 48.895545 38.1802245, 48.8958396 38.1800361, 48.8961591 38.1799223, 48.8964936 38.179887, 48.8967433 38.1799184, 48.8968881 38.1799615, 48.8972176 38.1808877, 48.8972376 38.1810604, 48.8972276 38.1811154, 48.8972825 38.1812095, 48.8973823 38.1812488, 48.8975371 38.181288, 48.8975072 38.181496, 48.8975471 38.1816726, 48.8974572 38.1818649, 48.8971926 38.1824261, 48.8972625 38.1826459, 48.8972276 38.182901, 48.8971477 38.1830855, 48.8970129 38.1832817, 48.89686 38.1834895)",,
745543804,False,,,residential,False,104.08199999999998,"LINESTRING (48.8936478 38.1819356, 48.893523 38.1818846, 48.8934483 38.181883, 48.8933333 38.1818806, 48.8929239 38.1819748, 48.8926693 38.182018, 48.8926143 38.1820651, 48.8926304 38.1821363)",,
745543802,False,,,residential,False,92.779,"LINESTRING (48.8926304 38.1821363, 48.8916739 38.1821742, 48.8915776 38.1821438)",,
745543802,False,,,residential,True,69.615,"LINESTRING (48.8926304 38.1821363, 48.8926851 38.1821341, 48.8928004 38.1821299, 48.8930633 38.1821046, 48.893133 38.1822965, 48.8932392 38.1823097)",,
745543804,False,,,residential,True,104.082,"LINESTRING (48.8926304 38.1821363, 48.8926143 38.1820651, 48.8926693 38.182018, 48.8929239 38.1819748, 48.8933333 38.1818806, 48.8934483 38.181883, 48.893523 38.1818846, 48.8936478 38.1819356)",,
"[238298745, 238298756, 358839094]",True,49,"['رشت - آستارا', 'بلوارسپهبد شهید حاج قاسم سلیمانی']",trunk,False,147.946,"LINESTRING (48.8930291 38.1812605, 48.8930909 38.181464, 48.8932631 38.1820033, 48.893474 38.1825437)",yes,2
745543806,False,,,residential,False,242.90300000000002,"LINESTRING (48.8930291 38.1812605, 48.8932368 38.181331, 48.8932845 38.1813404, 48.8933426 38.1813518, 48.8934705 38.1812513, 48.8939246 38.1808631, 48.8939643 38.180721, 48.8939643 38.1805789, 48.8936821 38.180319, 48.8934132 38.1802809, 48.8928951 38.1802886)",,
767526455,False,,,residential,True,228.679,"LINESTRING (48.8925022 38.1813184, 48.8921267 38.1811434, 48.8920569 38.1808841, 48.8919014 38.180844, 48.8917163 38.1807471, 48.8916611 38.1806961, 48.8913354 38.180395, 48.8913267 38.1803497, 48.8912684 38.1800471, 48.8912853 38.1797165)",,
370674919,False,,بالامحله چوبر,residential,True,27.833,"LINESTRING (48.8912853 38.1797165, 48.8909806 38.1796438)",,
370674919,False,,بالامحله چوبر,residential,False,125.42699999999999,"LINESTRING (48.8912853 38.1797165, 48.8915814 38.1797872, 48.8927067 38.179804)",,
767526455,False,,,residential,False,228.679,"LINESTRING (48.8912853 38.1797165, 48.8912684 38.1800471, 48.8913267 38.1803497, 48.8913354 38.180395, 48.8916611 38.1806961, 48.8917163 38.1807471, 48.8919014 38.180844, 48.8920569 38.1808841, 48.8921267 38.1811434, 48.8925022 38.1813184)",,
767526456,False,,,residential,True,177.686,"LINESTRING (48.8896376 38.1812404, 48.889541 38.1808335, 48.8895249 38.1804856, 48.8895947 38.1802516, 48.8896805 38.1799459, 48.8897234 38.1796654)",,
