osmid,highway,maxspeed,oneway,reversed,length,name,geometry,junction
95461656,residential,30,False,False,74.491,,"LINESTRING (58.809445 34.0235653, 58.8093824 34.0228974)",
95461727,residential,30,False,False,177.931,کمالی,"LINESTRING (58.809445 34.0235653, 58.8113742 34.0235024)",
95461643,tertiary,,False,True,138.835,بهشتی,"LINESTRING (58.8127071 34.0227824, 58.8112018 34.0228313)",
95461701,tertiary,,True,False,11.574,خیابان آزادگان,"LINESTRING (58.8127071 34.0227824, 58.8128324 34.0227754)",
95461651,secondary,,True,False,191.79399999999998,امام خمینی,"LINESTRING (58.8127071 34.0227824, 58.8126781 34.0221491, 58.8126253 34.0210589)",
95461686,tertiary,,True,False,219.38899999999998,خیابان آزادگان,"LINESTRING (58.8178854 34.0227236, 58.8177333 34.022692, 58.8155111 34.0227601)",
95461690,secondary,,True,False,12.465999999999998,,"LINESTRING (58.8178854 34.0227236, 58.8178673 34.0226894, 58.8178605 34.0226525, 58.8178655 34.0226153)",roundabout
95461729,residential,30,False,True,54.712,جانبازان,"LINESTRING (58.8175402 34.0247868, 58.8181335 34.0247693)",
95461735,residential,30,False,False,75.199,,"LINESTRING (58.8175402 34.0247868, 58.8174612 34.0241137)",
95461735,residential,30,False,True,58.586,,"LINESTRING (58.8175402 34.0247868, 58.8176018 34.0253112)",
95461729,residential,30,False,False,85.134,جانبازان,"LINESTRING (58.8175402 34.0247868, 58.8169505 34.0248043, 58.816617 34.0248142)",
95461650,residential,30,False,False,35.618,مطهری,"LINESTRING (58.8163275 34.0260575, 58.8163055 34.0257377)",
829966580,residential,30,False,False,64.546,مطهری ۶,"LINESTRING (58.8163275 34.0260575, 58.8156303 34.0261129)",
829966579,residential,30,False,True,175.551,قائم 6,"LINESTRING (58.8163275 34.0260575, 58.8170444 34.0259995, 58.8176766 34.0259488, 58.8182235 34.0259049)",
95461648,residential,30,False,False,71.783,ابوذر,"LINESTRING (58.8136054 34.0211904, 58.8135702 34.0205455)",
95461648,residential,30,False,True,94.39,ابوذر,"LINESTRING (58.8136054 34.0211904, 58.8136518 34.0220384)",
95461696,residential,30,False,True,257.761,ابوذر ۳,"LINESTRING (58.8136054 34.0211904, 58.8163997 34.0210919)",
95461661,secondary,,False,True,57.115,مالک اشتر,"LINESTRING (58.8086921 34.0239004, 58.8091415 34.0242541)",
95461648,residential,30,False,False,81.183,ابوذر,"LINESTRING (58.8133292 34.0199194, 58.8128719 34.0192954)",
95461648,residential,30,False,True,11.107,ابوذر,"LINESTRING (58.8133292 34.0199194, 58.8133907 34.0200053)",
95461754,residential,30,False,True,223.669,ابوذر ۱,"LINESTRING (58.8133292 34.0199194, 58.8157523 34.0198072)",
95461684,residential,30,False,False,76.296,,"LINESTRING (58.8113742 34.0235024, 58.8112018 34.0228313)",
95461727,residential,30,False,False,124.626,کمالی,"LINESTRING (58.8113742 34.0235024, 58.8127254 34.0234574)",
95461727,residential,30,False,True,177.931,کمالی,"LINESTRING (58.8113742 34.0235024, 58.809445 34.0235653)",
95461787,residential,30,False,False,45.108,ابوعلی سینا,"LINESTRING (58.8111042 34.0213805, 58.8114422 34.0210871)",
95461787,residential,30,False,True,18.458,ابوعلی سینا,"LINESTRING (58.8111042 34.0213805, 58.811104 34.0215465)",
95462624,residential,30,False,False,107.375,,"LINESTRING (58.8111042 34.0213805, 58.8109379 34.0212084, 58.8107475 34.0210485, 58.8105966 34.0209439, 58.8104161 34.0208722, 58.8101925 34.0208238)",
95461647,secondary_link,,False,False,15.364,,"LINESTRING (58.8129018 34.0239584, 58.8127354 34.0239668)",
95461706,secondary,,True,False,32.955,امام خمینی,"LINESTRING (58.8129018 34.0239584, 58.8129117 34.024115, 58.8129165 34.0242545)",
95461696,residential,30,False,False,35.551,ابوذر ۳,"LINESTRING (58.8167851 34.0210783, 58.8163997 34.0210919)",
95461755,secondary,,False,False,193.269,طالقانی,"LINESTRING (58.8167851 34.0210783, 58.8179438 34.022527)",
95461755,secondary,,False,True,82.246,طالقانی,"LINESTRING (58.8167851 34.0210783, 58.8162866 34.0204648)",
95461661,secondary,,False,False,16.003,مالک اشتر,"LINESTRING (58.8099673 34.0248634, 58.8098376 34.0247677)",
95461661,secondary,,False,True,46.662,مالک اشتر,"LINESTRING (58.8099673 34.0248634, 58.8103385 34.0251488)",
95461668,residential,30,False,False,254.228,,"LINESTRING (58.8099673 34.0248634, 58.8127222 34.0247449)",
95461690,secondary,,True,False,16.62,,"LINESTRING (58.8181578 34.0227486, 58.8181226 34.022772, 58.8180814 34.022787, 58.8180368 34.0227927, 58.817992 34.0227885)",roundabout
95461706,secondary,,True,False,8.465,امام خمینی,"LINESTRING (58.8129573 34.0254479, 58.8129599 34.025524)",
95461793,residential,30,False,False,143.952,,"LINESTRING (58.8129573 34.0254479, 58.8145176 34.025387)",
