osmid,oneway,ref,highway,maxspeed,reversed,length,bridge,geometry,name,tunnel,junction,lanes
"[1186148665, 659560585, 247546875]",True,79,trunk,60,False,424.815,yes,"LINESTRING (53.0577124 36.1141471, 53.0577515 36.1142764, 53.057739 36.1148917, 53.0576885 36.1152008, 53.0576395 36.1154356, 53.0575809 36.1156514, 53.0574783 36.1159332, 53.0573569 36.1161857, 53.0571851 36.1164642, 53.0569648 36.1167552, 53.0567739 36.1169593, 53.0566425 36.1171013, 53.0561846 36.1176372)",,,,
1235592821,False,,tertiary,,False,47.73,,"LINESTRING (53.0578422 36.1150687, 53.0577411 36.1154901)",,,,
678876901,False,,residential,,True,85.214,,"LINESTRING (53.0578422 36.1150687, 53.0579625 36.1148182, 53.0579456 36.1146238, 53.0579687 36.1143216)",کوچه شهید نژادی,,,
1235592821,False,,tertiary,,True,47.73,,"LINESTRING (53.0577411 36.1154901, 53.0578422 36.1150687)",,,,
1235592822,False,,residential,,False,35.74,,"LINESTRING (53.0577411 36.1154901, 53.0581366 36.115455)",کوچه خلیل مهر,,,
1235592821,False,,tertiary,,False,90.882,,"LINESTRING (53.0577411 36.1154901, 53.0576798 36.1156955, 53.0577074 36.1158601, 53.057738 36.1160643, 53.0577089 36.1161856, 53.0576507 36.1162858)",,,,
"[659560586, 659560587]",False,,tertiary,,True,40.427,,"LINESTRING (53.0576507 36.1162858, 53.0575875 36.1162509, 53.0572684 36.1160941)",,yes,,
1230584640,False,,tertiary,,False,154.99900000000002,,"LINESTRING (53.0576507 36.1162858, 53.0572831 36.1168898, 53.0568893 36.1175367)",خیابان امام خمینی,,,
1235592821,False,,tertiary,,True,90.882,,"LINESTRING (53.0576507 36.1162858, 53.0577089 36.1161856, 53.057738 36.1160643, 53.0577074 36.1158601, 53.0576798 36.1156955, 53.0577411 36.1154901)",,,,
659560585,True,79,trunk,60,False,219.978,,"LINESTRING (53.0561846 36.1176372, 53.0560019 36.1178566, 53.0557098 36.1182291, 53.055432 36.1187164, 53.0553722 36.1188213, 53.0552806 36.1190592, 53.0552209 36.1192922, 53.0551873 36.1194233)",,,,
247546687,True,79,trunk,,False,24.171,,"LINESTRING (53.0549739 36.1193828, 53.0550077 36.119361, 53.0550502 36.1193497, 53.0550967 36.1193478, 53.0551373 36.1193662, 53.0551691 36.1193916, 53.0551873 36.1194233)",میدان پل سفید,,roundabout,
247546882,True,79,trunk,60,False,101.253,,"LINESTRING (53.0549739 36.1193828, 53.055036 36.1192453, 53.0551372 36.1190214, 53.0552387 36.1188282, 53.0552621 36.1187837, 53.0554105 36.1185444)",,,,
