osmid,oneway,lanes,highway,reversed,length,geometry,name,junction,ref,maxspeed
282864418,True,2,tertiary,False,151.526,"LINESTRING (48.9061064 33.6667756, 48.9065354 33.6666665, 48.9076941 33.6664455)",,,,
282864420,True,,tertiary,False,18.195999999999998,"LINESTRING (48.9061064 33.6667756, 48.9062095 33.6668217, 48.9062405 33.6668827)",میدان شهدای گمنام,roundabout,,
282864438,True,2,tertiary,False,15.367,"LINESTRING (48.9024833 33.6681167, 48.9026254 33.6680452)",,,,
282864420,True,,tertiary,False,42.894,"LINESTRING (48.9062405 33.6668827, 48.9063236 33.6672622)",میدان شهدای گمنام,roundabout,,
282864420,True,,tertiary,False,21.959,"LINESTRING (48.9053204 33.6675795, 48.9052184 33.6675505, 48.9051724 33.6675012, 48.9051562 33.6674579)",میدان شهدای گمنام,roundabout,,
282864423,True,2,tertiary,False,153.152,"LINESTRING (48.9053204 33.6675795, 48.9049864 33.6676709, 48.9037121 33.6678985)",,,,
282864411,True,2,tertiary,False,198.472,"LINESTRING (48.9063236 33.6672622, 48.906749 33.6686309, 48.9071063 33.668853)",,,,
282864420,True,,tertiary,False,21.641000000000002,"LINESTRING (48.9063236 33.6672622, 48.9062834 33.667356, 48.9062363 33.6673927, 48.9062001 33.667421)",میدان شهدای گمنام,roundabout,,
282864420,True,,tertiary,False,83.297,"LINESTRING (48.9062001 33.667421, 48.9053204 33.6675795)",میدان شهدای گمنام,roundabout,,
282864420,True,,tertiary,False,22.262,"LINESTRING (48.9050629 33.6670839, 48.9051111 33.6669857, 48.9051998 33.6669273)",میدان شهدای گمنام,roundabout,,
284793782,True,2,tertiary,False,79.272,"LINESTRING (48.9050629 33.6670839, 48.9050066 33.6670238, 48.9048399 33.6664024)",,,,
282864418,True,2,tertiary,False,117.772,"LINESTRING (48.9076941 33.6664455, 48.9089314 33.6661978)",,,,
927802873,False,,tertiary,True,9.421,"LINESTRING (48.9076941 33.6664455, 48.9077099 33.6665292)",,,,
927802888,False,,tertiary,True,107.551,"LINESTRING (48.9076941 33.6664455, 48.907442 33.6655013)",,,,
282864420,True,,tertiary,False,42.474,"LINESTRING (48.9051562 33.6674579, 48.9050629 33.6670839)",میدان شهدای گمنام,roundabout,,
282864420,True,,tertiary,False,85.58,"LINESTRING (48.9051998 33.6669273, 48.9061064 33.6667756)",میدان شهدای گمنام,roundabout,,
284793777,False,,tertiary,False,89.205,"LINESTRING (48.9070103 33.6648893, 48.9077572 33.6653964)",,,,
284793787,True,,tertiary,False,27.848,"LINESTRING (48.9070103 33.6648893, 48.9070141 33.6649519, 48.9069946 33.6650123, 48.9069537 33.6650649, 48.9068954 33.6651044)",میدان معلم,roundabout,,
